Date,System Price,Total Vol,NO Buy Vol,NO Sell Vol,SE Buy Vol,SE Sell Vol,DK Buy Vol,DK Sell Vol,FI Buy Vol,FI Sell Vol,Nordic Buy Vol,Nordic Sell Vol,Baltic Buy Vol,Baltic Sell Vol,NO Prod,SE Prod,FI Prod,DK Prod,Nordic Prod,EE Prod,LV Prod,LT Prod,Baltic Prod,Total Prod,NO Hydro,SE Hydro,FI Hydro,Total Hydro,NO Consume,SE Consume,FI Consume,DK Consume,Nordic Consume,EE Consume,LV Consume,LT Consume,Baltic Consume,Total Consume,Sine Week,Sine Month,Sine Season,NO Hydro Dev,SE Hydro Dev,FI Hydro Dev,Total Hydro Dev
2014-01-01,28.25,884300,340886,299489,355291,408669,58534.4,101167,134389,98827.4,889099,908152,42944.1,23891.8,328002,426643,186861,97425,1.03894e+06,19197,11231,7138,37566,1.07651e+06,54821.7,21822.1,3736.57,80380.4,366427,384749,222609,83837,1.05764e+06,19487,17885,22959,60331,1.11797e+06,0.06,0.259,0.707,-1933.72,1661.81,161.333,-110.6
2014-01-02,29.89,1.02091e+06,378381,373477,395229,449284,84394.1,93826.9,152884,107438,1.01089e+06,1.02403e+06,47289.7,34152.2,400497,479735,198299,115572,1.19411e+06,27935,11973,11359,51267,1.24537e+06,54633.6,21742.7,3742.86,80119.1,399918,411970,246089,99705,1.15768e+06,23373,21578,27295,72246,1.22993e+06,0.06,0.259,0.707,-1867,1699.97,175.787,8.733
2014-01-03,29.3,999570,370183,351857,390348,442626,76113.8,101328,151959,107010,988604,1.00282e+06,55180.8,40963,382850,477557,199582,117254,1.17724e+06,29862,16031,6828,52721,1.22996e+06,54445.4,21663.3,3749.14,79857.9,394838,412474,252240,98515,1.15808e+06,24053,22123,27322,73498,1.23158e+06,0.06,0.259,0.707,-1804.36,1737.84,190.022,123.55
2014-01-04,27.96,933224,347920,332070,362855,419280,66868.5,86929.5,144882,102373,922525,940653,48741,30613.1,371175,460574,192831,110653,1.13524e+06,24566,13783,6528,44877,1.18011e+06,54257.3,21583.9,3755.43,79596.6,373405,390819,239997,89931,1.09417e+06,21959,20152,24993,67104,1.16127e+06,0.06,0.259,0.707,-1741.71,1775.69,204.263,238.267
2014-01-05,29.05,951251,349025,367521,380999,421858,74217.6,73429.9,142502,102470,946744,965280,48783.8,30247.5,393367,438804,188391,77929,1.0985e+06,22392,11420,6315,40127,1.13863e+06,54069.1,21504.4,3761.71,79335.3,369245,388306,229357,88121,1.07503e+06,21025,19587,24387,64999,1.14003e+06,0.06,0.259,0.707,-1673.69,1813.55,218.713,358.567
2014-01-06,28.19,961145,382402,342777,370852,427429,72326.2,113921,140261,101000,965842,985128,54456.5,35170.1,377089,467330,192777,122169,1.15936e+06,25834,15732,8047,49613,1.20897e+06,53881,21425,3768,79074,403916,403736,235181,106722,1.14956e+06,24258,22621,28333,75212,1.22477e+06,0.121,0.259,0.707,-1602.81,1852.55,233.95,483.683
2014-01-07,29.16,1.0379e+06,381550,383386,404347,442532,82848.9,100860,158790,116062,1.02754e+06,1.04284e+06,54583.1,39279.4,409824,474693,202379,130456,1.21736e+06,29820,15710,8669,54199,1.27156e+06,53480.3,21257.9,3758.86,78497,390178,424245,249519,106674,1.17062e+06,24441,22707,28536,75684,1.24631e+06,0.121,0.259,0.707,-1709.07,1818.45,236.337,345.717
2014-01-08,29.36,1.04899e+06,386373,389696,402298,450712,85760.4,92894.7,157399,117472,1.03183e+06,1.05078e+06,57520.9,38576.5,414662,490065,197907,123860,1.2265e+06,28242,14318,8286,50846,1.27734e+06,53079.6,21090.7,3749.71,77920,392452,429362,245834,105888,1.17355e+06,24196,22177,28314,74687,1.24823e+06,0.121,0.259,0.707,-1794.08,1792.16,239.352,237.467
2014-01-09,29.72,1.04998e+06,393550,405291,408717,447588,80545.4,89579.4,158362,117191,1.04117e+06,1.05965e+06,52833.3,34358.1,437213,487393,204715,118546,1.24787e+06,25992,16278,10554,52824,1.3007e+06,52678.9,20923.6,3740.57,77343,413342,443218,247173,109110,1.21285e+06,24021,22371,28118,74510,1.28736e+06,0.121,0.259,0.707,-1831.92,1769.88,243.88,181.817
2014-01-10,30.17,1.07753e+06,406219,410900,422025,461532,79796.7,96320.1,162305,111272,1.07035e+06,1.08002e+06,53238.7,43561.4,448185,509828,213855,130134,1.302e+06,30516,17845,12321,60682,1.36268e+06,52278.1,20756.4,3731.43,76766,429543,463875,261582,106588,1.2616e+06,24591,22169,27639,74399,1.336e+06,0.121,0.259,0.707,-1875.48,1750.19,249.072,123.783
2014-01-11,29.82,1.05685e+06,397779,392735,409704,455431,74279.5,93257.7,160161,117153,1.04192e+06,1.05858e+06,52140.8,35488.2,425550,484113,214009,121281,1.24496e+06,25844,10680,8873,45397,1.29036e+06,51877.4,20589.3,3722.29,76189,422670,431245,258779,93996,1.2067e+06,22821,20097,24713,67631,1.27433e+06,0.121,0.259,0.707,-1919.02,1730.51,254.267,65.75
2014-01-12,30.4,1.06477e+06,407855,406579,423122,458774,71387.9,97202,161463,116363,1.06383e+06,1.07892e+06,48630.7,33540.6,449780,495113,213509,112148,1.27055e+06,22615,15766,7381,45762,1.31631e+06,51476.7,20422.1,3713.14,75612,442077,456611,260660,92250,1.25161e+06,22514,19543,24347,66404,1.31801e+06,0.121,0.259,0.707,-1957.22,1712.55,260.452,15.8
2014-01-13,39.16,1.28675e+06,457750,522195,525958,528168,103509,97310.7,192188,135295,1.2794e+06,1.28297e+06,53015.3,49451.1,562897,557394,237517,129072,1.48688e+06,30385,21967,10397,62749,1.54962e+06,51076,20255,3704,75035,502913,538963,290887,110391,1.44317e+06,26303,23019,29001,78323,1.52149e+06,0.18,0.259,0.707,-1972.79,1705.38,267.428,0.017
2014-01-14,41.65,1.27964e+06,464397,536210,490629,518284,116367,78317.4,191145,138149,1.26254e+06,1.27096e+06,54630.5,46206.6,587877,552179,248047,100727,1.48883e+06,29217,21740,10021,60978,1.54981e+06,50690.4,20071.7,3687.86,74450,497240,525510,305437,107974,1.43616e+06,27373,23505,29232,80110,1.51628e+06,0.18,0.259,0.707,-1975.74,1684.76,268.575,-22.4
2014-01-15,41.6,1.28007e+06,468101,541061,501746,505621,105161,90229,193206,139909,1.26821e+06,1.27682e+06,56279.4,47673.6,578048,532903,247914,120527,1.4794e+06,26643,23232,11342,61217,1.54062e+06,50304.9,19888.4,3671.71,73865,488335,518387,307855,107664,1.42225e+06,27884,23801,29588,81273,1.50352e+06,0.18,0.259,0.707,-1965.73,1668.29,271.187,-26.267
2014-01-16,32.53,1.23986e+06,454649,480962,485674,496516,86644.5,112398,191528,140293,1.2185e+06,1.23017e+06,58353.7,46680.3,518829,543251,251059,155271,1.46841e+06,29069,24325,9556,62950,1.53136e+06,49919.3,19705.1,3655.57,73280,484556,513415,311563,112181,1.42172e+06,28403,24407,30309,83119,1.50484e+06,0.18,0.259,0.707,-1965.43,1647.4,273.355,-44.65
2014-01-17,34.21,1.24656e+06,456720,495274,479809,512941,99566.5,91622.2,195228,138973,1.23132e+06,1.23881e+06,59183,51697.1,535176,565832,254530,133911,1.48945e+06,30829,26402,11665,68896,1.55835e+06,49533.7,19521.9,3639.43,72695,486450,523841,317499,108661,1.43647e+06,28231,24611,30974,83816,1.52028e+06,0.18,0.259,0.707,-1963.08,1623.86,276.118,-63.1
