Date,NO Consume,SE Consume,FI Consume,DK Consume,Nordic Consume,EE Consume,LV Consume,LT Consume,Baltic Consume
01-01-2014,366427,384749,222609,83837,1.05764e+06,19487,17885,22959,60331
02-01-2014,399918,411970,246089,99705,1.15768e+06,23373,21578,27295,72246
03-01-2014,394838,412474,252240,98515,1.15808e+06,24053,22123,27322,73498
04-01-2014,373405,390819,239997,89931,1.09417e+06,21959,20152,24993,67104
05-01-2014,369245,388306,229357,88121,1.07503e+06,21025,19587,24387,64999
06-01-2014,403916,403736,235181,106722,1.14956e+06,24258,22621,28333,75212
07-01-2014,390178,424245,249519,106674,1.17062e+06,24441,22707,28536,75684
08-01-2014,392452,429362,245834,105888,1.17355e+06,24196,22177,28314,74687
09-01-2014,413342,443218,247173,109110,1.21285e+06,24021,22371,28118,74510
10-01-2014,429543,463875,261582,106588,1.2616e+06,24591,22169,27639,74399
11-01-2014,422670,431245,258779,93996,1.2067e+06,22821,20097,24713,67631
12-01-2014,442077,456611,260660,92250,1.25161e+06,22514,19543,24347,66404
13-01-2014,502913,538963,290887,110391,1.44317e+06,26303,23019,29001,78323
14-01-2014,497240,525510,305437,107974,1.43616e+06,27373,23505,29232,80110
15-01-2014,488335,518387,307855,107664,1.42225e+06,27884,23801,29588,81273
16-01-2014,484556,513415,311563,112181,1.42172e+06,28403,24407,30309,83119
17-01-2014,486450,523841,317499,108661,1.43647e+06,28231,24611,30974,83816
18-01-2014,466279,481553,303536,98479,1.34986e+06,26120,21876,27850,75846
19-01-2014,453734,474909,300360,100607,1.32962e+06,25580,21783,26500,73863
20-01-2014,485931,521899,320256,116427,1.44452e+06,28759,25166,31119,85044
21-01-2014,489459,520674,311348,114541,1.43603e+06,29621,25743,31868,87232
22-01-2014,497550,522528,311512,115552,1.44715e+06,30404,26085,32940,89429
23-01-2014,495954,533996,318617,118856,1.46743e+06,31069,26246,33439,90754
24-01-2014,489866,519498,316081,115301,1.44074e+06,31496,26395,32900,90791
25-01-2014,463497,482263,279513,103964,1.32924e+06,28282,24025,29768,82075
26-01-2014,453660,475926,262966,105188,1.29776e+06,27068,23458,28383,78909
27-01-2014,486716,523259,292747,117910,1.42064e+06,30019,26247,31947,88213
28-01-2014,472297,512713,300011,117243,1.40227e+06,30589,26293,32041,88923
29-01-2014,471806,523438,302929,119748,1.41792e+06,31266,26551,32444,90261
30-01-2014,488194,534829,307966,119014,1.45002e+06,31867,26805,33028,91700
31-01-2014,477196,529315,314443,113942,1.43490e+06,31434,26660,33280,91374
01-02-2014,449662,461742,285103,100576,1.29708e+06,27543,23464,29132,80139
02-02-2014,415070,430691,264396,92290,1.20245e+06,25150,22420,28153,75723
03-02-2014,428934,461330,275032,108182,1.27349e+06,27771,25023,32082,84876
04-02-2014,433068,469669,269455,110349,1.28255e+06,27872,24370,30863,83105
05-02-2014,431760,470851,272563,108814,1.28399e+06,28023,24359,30421,82803
06-02-2014,436406,469745,278352,110323,1.29483e+06,28253,24082,30306,82641
07-02-2014,427900,456863,279692,109105,1.27357e+06,26968,23553,29547,80068
08-02-2014,400446,414958,255354,95483,1.16625e+06,23656,20813,26036,70505
09-02-2014,390891,411411,243198,93525,1.13903e+06,22633,20259,25161,68053
10-02-2014,415263,455591,262034,105170,1.23807e+06,25578,23489,30091,79158
11-02-2014,418027,458178,259647,108954,1.24482e+06,25921,23767,29762,79450
12-02-2014,421715,465822,261301,108970,1.25781e+06,25783,23453,28966,78202
13-02-2014,427237,464971,264434,108320,1.26497e+06,25744,23400,29431,78575
14-02-2014,418112,448067,268344,102628,1.23716e+06,25543,23184,29210,77937
15-02-2014,399187,415821,252835,96203,1.16406e+06,22528,20585,25291,68404
16-02-2014,384399,408057,244843,93842,1.13115e+06,22448,19857,24031,66336
17-02-2014,415790,439097,262780,104205,1.22189e+06,25056,22498,27715,75269
18-02-2014,434008,453639,263122,105786,1.25656e+06,24686,22415,27985,75086
19-02-2014,442808,466660,264869,106154,1.28049e+06,25343,22788,29526,77657
20-02-2014,451585,463655,271407,105968,1.29261e+06,25772,22528,29430,77730
21-02-2014,435610,453456,273696,102094,1.26486e+06,25574,22214,28332,76120
22-02-2014,398612,401701,254556,93135,1.14801e+06,22314,19521,25309,67144
23-02-2014,384988,386999,239203,90351,1.10155e+06,21375,18739,24335,64449
24-02-2014,398761,422096,251764,101860,1.17449e+06,21142,21358,28289,70789
25-02-2014,395311,436348,250381,101201,1.18325e+06,24183,21779,27959,73921
26-02-2014,402901,447317,256786,101914,1.20893e+06,25330,22444,29006,76780
27-02-2014,404951,446758,257502,103742,1.21296e+06,25063,22311,28985,76359
28-02-2014,406188,430019,257200,100050,1.19346e+06,24860,21909,28117,74886
01-03-2014,389838,401619,237676,88903,1.11804e+06,22391,19569,25128,67088
02-03-2014,388873,407017,235961,88111,1.11997e+06,21643,18954,24138,64735
03-03-2014,410206,444943,256490,103045,1.2147e+06,24567,21704,27817,74088
04-03-2014,405882,439360,255104,102740,1.2031e+06,24317,21767,28136,74220
05-03-2014,407085,447597,252983,104229,1.21191e+06,23925,21893,28409,74227
06-03-2014,399575,433557,253497,103297,1.18993e+06,24324,22177,28604,75105
07-03-2014,395345,415595,252948,101774,1.16567e+06,23973,21592,27809,73374
08-03-2014,376527,376292,235088,85646,1.07356e+06,21445,19075,23753,64273
09-03-2014,360607,365411,226513,83528,1.03607e+06,20392,18411,22853,61656
10-03-2014,387633,409950,239876,96287,1.13376e+06,22965,20766,24623,68354
11-03-2014,392387,416420,239226,97812,1.14586e+06,23260,21249,22559,67068
12-03-2014,385124,411412,238134,98392,1.13307e+06,23201,21121,25914,70236
13-03-2014,389715,401839,235318,98407,1.12529e+06,22960,20888,25691,69539
