Date,Hour,NO Consume,SE Consume,FI Consume,DK Consume,Nordic Consume,EE Consume,LV Consume,LT Consume,Baltic Consume,Total Consume
01-01-2014,0,14374,15210,8967,3274,41825,757,716,912,2385,44210
01-01-2014,1,14181,14775,8642,3171,40769,730,675,863,2268,43037
01-01-2014,2,13936,14434,8453,3043,39866,703,647,824,2174,42040
01-01-2014,3,13654,14011,8384,2963,39012,688,628,797,2113,41125
01-01-2014,4,13613,13944,8452,2879,38888,687,628,792,2107,40995
01-01-2014,5,13710,14119,8655,2854,39338,688,641,803,2132,41470
01-01-2014,6,13983,14505,8657,2958,40103,697,654,821,2172,42275
01-01-2014,7,14324,14946,8832,3090,41192,729,659,819,2207,43399
01-01-2014,8,14637,15169,8917,3165,41888,737,663,850,2250,44138
01-01-2014,9,14891,15514,8954,3289,42648,775,696,909,2380,45028
01-01-2014,10,15424,15967,9131,3509,44031,809,731,961,2501,46532
01-01-2014,11,15828,16380,9233,3647,45088,824,750,989,2563,47651
01-01-2014,12,16174,16735,9287,3712,45908,835,762,993,2590,48498
01-01-2014,13,16250,16846,9414,3725,46235,851,773,995,2619,48854
01-01-2014,14,16397,17314,9825,3754,47290,886,791,1017,2694,49984
01-01-2014,15,16540,17699,10073,3794,48106,951,863,1114,2928,51034
01-01-2014,16,16753,18165,10103,4065,49086,960,896,1182,3038,52124
01-01-2014,17,17052,18381,10164,4364,49961,952,898,1184,3034,52995
01-01-2014,18,16585,18035,10160,4316,49096,946,890,1169,3005,52101
01-01-2014,19,16210,17522,9947,4118,47797,933,878,1137,2948,50745
01-01-2014,20,16062,17094,9599,3892,46647,905,852,1086,2843,49490
01-01-2014,21,15685,16643,9841,3670,45839,863,796,993,2652,48491
01-01-2014,22,15273,16016,9686,3410,44385,817,727,910,2454,46839
01-01-2014,23,14891,15325,9233,3175,42624,764,671,839,2274,44898
02-01-2014,0,14308,14607,8886,2999,40800,730,630,792,2152,42952
02-01-2014,1,13968,14279,8671,2875,39793,707,612,768,2087,41880
02-01-2014,2,13983,14142,8594,2849,39568,698,605,759,2062,41630
02-01-2014,3,13936,14068,8642,2886,39532,702,611,766,2079,41611
02-01-2014,4,14065,14096,8946,2965,40072,729,643,814,2186,42258
02-01-2014,5,14585,14674,9743,3215,42217,812,728,964,2504,44721
02-01-2014,6,15630,15800,10277,3735,45442,924,851,1123,2898,48340
02-01-2014,7,17084,17112,10629,4407,49232,1038,962,1254,3254,52486
02-01-2014,8,17596,17687,10705,4679,50667,1073,1003,1324,3400,54067
02-01-2014,9,17764,17925,10658,4742,51089,1107,1035,1358,3500,54589
02-01-2014,10,17963,18330,10706,4858,51857,1105,1039,1335,3479,55336
02-01-2014,11,18190,18734,10704,4876,52504,1097,1024,1324,3445,55949
02-01-2014,12,18204,18693,10695,4836,52428,1127,1042,1338,3507,55935
02-01-2014,13,18229,18982,10823,4827,52861,1117,1047,1323,3487,56348
02-01-2014,14,18374,19002,11057,4760,53193,1139,1057,1320,3516,56709
02-01-2014,15,18451,19384,11152,4739,53726,1167,1104,1361,3632,57358
02-01-2014,16,18419,19513,11125,4930,53987,1153,1096,1384,3633,57620
02-01-2014,17,18208,19482,11072,5317,54079,1122,1078,1355,3555,57634
02-01-2014,18,17904,19067,11085,5093,53149,1094,1038,1313,3445,56594
02-01-2014,19,17547,18737,10912,4729,51925,1055,1007,1259,3321,55246
02-01-2014,20,17199,18220,10450,4355,50224,1016,961,1181,3158,53382
02-01-2014,21,16744,17497,10503,4045,48789,949,884,1062,2895,51684
02-01-2014,22,16104,16416,10293,3682,46495,884,797,952,2633,49128
02-01-2014,23,15463,15523,9761,3306,44053,828,724,866,2418,46471
03-01-2014,0,14833,14877,9354,3047,42111,784,669,810,2263,44374
03-01-2014,1,14467,14445,9163,2927,41002,763,648,778,2189,43191
03-01-2014,2,14282,14321,9038,2880,40521,751,636,766,2153,42674
03-01-2014,3,14207,14255,9115,2882,40459,756,640,765,2161,42620
03-01-2014,4,14220,14424,9421,2963,41028,779,670,808,2257,43285
03-01-2014,5,14594,14722,10067,3172,42555,858,762,960,2580,45135
03-01-2014,6,15767,16143,10580,3669,46159,978,889,1116,2983,49142
03-01-2014,7,17063,17568,10986,4307,49924,1087,1006,1252,3345,53269
03-01-2014,8,17666,18284,11052,4576,51578,1111,1047,1301,3459,55037
03-01-2014,9,17759,18579,10931,4633,51902,1129,1061,1323,3513,55415
03-01-2014,10,17651,18825,10907,4729,52112,1138,1069,1338,3545,55657
03-01-2014,11,17504,18960,10919,4730,52113,1139,1048,1328,3515,55628
03-01-2014,12,17699,18800,10992,4677,52168,1152,1062,1344,3558,55726
03-01-2014,13,17789,18640,10956,4676,52061,1142,1066,1342,3550,55611
03-01-2014,14,17814,18834,11230,4635,52513,1156,1074,1332,3562,56075
03-01-2014,15,17751,18946,11372,4637,52706,1188,1118,1366,3672,56378
03-01-2014,16,17783,19315,11307,4910,53315,1166,1117,1385,3668,56983
03-01-2014,17,17803,19386,11310,5220,53719,1137,1089,1352,3578,57297
03-01-2014,18,17543,19023,11164,5036,52766,1107,1050,1300,3457,56223
03-01-2014,19,17051,18117,10929,4648,50745,1069,1016,1247,3332,54077
03-01-2014,20,16620,17419,10505,4274,48818,1011,964,1181,3156,51974
03-01-2014,21,16218,16888,10654,4024,47784,952,885,1073,2910,50694
03-01-2014,22,15648,16228,10416,3756,46048,877,806,968,2651,48699
03-01-2014,23,15106,15475,9872,3507,43960,823,731,887,2441,46401
