Date,NO,SE
2014-01-01,53881.0,21425.0
2014-01-02,53881.0,21425.0
2014-01-03,53881.0,21425.0
2014-01-04,53881.0,21425.0
2014-01-05,53881.0,21425.0
2014-01-06,53881.0,21425.0
2014-01-07,53881.0,21425.0
2014-01-08,53881.0,21425.0
2014-01-09,53881.0,21425.0
2014-01-10,53881.0,21425.0
2014-01-11,53881.0,21425.0
2014-01-12,53881.0,21425.0
2014-01-13,51076.0,20255.0
2014-01-14,51076.0,20255.0
2014-01-15,51076.0,20255.0
2014-01-16,51076.0,20255.0
2014-01-17,51076.0,20255.0
2014-01-18,51076.0,20255.0
2014-01-19,51076.0,20255.0
2014-01-20,48377.0,18972.0
2014-01-21,48377.0,18972.0
2014-01-22,48377.0,18972.0
2014-01-23,48377.0,18972.0
2014-01-24,48377.0,18972.0
2014-01-25,48377.0,18972.0
2014-01-26,48377.0,18972.0
2014-01-27,45710.0,17688.0
2014-01-28,45710.0,17688.0
2014-01-29,45710.0,17688.0
2014-01-30,45710.0,17688.0
2014-01-31,45710.0,17688.0
2014-02-01,45710.0,17688.0
2014-02-02,45710.0,17688.0
2014-02-03,43538.0,16616.0
2014-02-04,43538.0,16616.0
2014-02-05,43538.0,16616.0
2014-02-06,43538.0,16616.0
2014-02-07,43538.0,16616.0
2014-02-08,43538.0,16616.0
2014-02-09,43538.0,16616.0
2014-02-10,41732.0,15595.0
2014-02-11,41732.0,15595.0
2014-02-12,41732.0,15595.0
2014-02-13,41732.0,15595.0
2014-02-14,41732.0,15595.0
2014-02-15,41732.0,15595.0
2014-02-16,41732.0,15595.0
2014-02-17,39740.0,14564.0
2014-02-18,39740.0,14564.0
2014-02-19,39740.0,14564.0
2014-02-20,39740.0,14564.0
2014-02-21,39740.0,14564.0
2014-02-22,39740.0,14564.0
2014-02-23,39740.0,14564.0
2014-02-24,38121.0,13544.0
2014-02-25,38121.0,13544.0
2014-02-26,38121.0,13544.0
2014-02-27,38121.0,13544.0
2014-02-28,38121.0,13544.0
2014-03-01,38121.0,13544.0
2014-03-02,38121.0,13544.0
2014-03-03,36595.0,12640.0
2014-03-04,36595.0,12640.0
2014-03-05,36595.0,12640.0
2014-03-06,36595.0,12640.0
2014-03-07,36595.0,12640.0
2014-03-08,36595.0,12640.0
2014-03-09,36595.0,12640.0
2014-03-10,35204.0,12023.0
2014-03-11,35204.0,12023.0
2014-03-12,35204.0,12023.0
2014-03-13,35204.0,12023.0
2014-03-14,35204.0,12023.0
2014-03-15,35204.0,12023.0
2014-03-16,35204.0,12023.0
2014-03-17,34311.0,11290.0
2014-03-18,34311.0,11290.0
2014-03-19,34311.0,11290.0
2014-03-20,34311.0,11290.0
2014-03-21,34311.0,11290.0
2014-03-22,34311.0,11290.0
2014-03-23,34311.0,11290.0
2014-03-24,32343.0,10258.0
2014-03-25,32343.0,10258.0
2014-03-26,32343.0,10258.0
2014-03-27,32343.0,10258.0
2014-03-28,32343.0,10258.0
2014-03-29,32343.0,10258.0
2014-03-30,32343.0,10258.0
2014-03-31,30209.0,9228.0
2014-04-01,30209.0,9228.0
2014-04-02,30209.0,9228.0
2014-04-03,30209.0,9228.0
2014-04-04,30209.0,9228.0
2014-04-05,30209.0,9228.0
2014-04-06,30209.0,9228.0
2014-04-07,29359.0,8618.0
2014-04-08,29359.0,8618.0
2014-04-09,29359.0,8618.0
2014-04-10,29359.0,8618.0
2014-04-11,29359.0,8618.0
2014-04-12,29359.0,8618.0
2014-04-13,29359.0,8618.0
2014-04-14,28311.0,8285.0
2014-04-15,28311.0,8285.0
2014-04-16,28311.0,8285.0
2014-04-17,28311.0,8285.0
2014-04-18,28311.0,8285.0
2014-04-19,28311.0,8285.0
2014-04-20,28311.0,8285.0
2014-04-21,28450.0,8568.0
2014-04-22,28450.0,8568.0
2014-04-23,28450.0,8568.0
2014-04-24,28450.0,8568.0
2014-04-25,28450.0,8568.0
2014-04-26,28450.0,8568.0
2014-04-27,28450.0,8568.0
2014-04-28,28661.0,8992.0
2014-04-29,28661.0,8992.0
2014-04-30,28661.0,8992.0
2014-05-01,28661.0,8992.0
2014-05-02,28661.0,8992.0
2014-05-03,28661.0,8992.0
2014-05-04,28661.0,8992.0
2014-05-05,28251.0,9049.0
2014-05-06,28251.0,9049.0
2014-05-07,28251.0,9049.0
2014-05-08,28251.0,9049.0
2014-05-09,28251.0,9049.0
2014-05-10,28251.0,9049.0
2014-05-11,28251.0,9049.0
2014-05-12,29661.0,9993.0
2014-05-13,29661.0,9993.0
2014-05-14,29661.0,9993.0
2014-05-15,29661.0,9993.0
2014-05-16,29661.0,9993.0
2014-05-17,29661.0,9993.0
2014-05-18,29661.0,9993.0
