,Week,NO,SE
0,02 - 14,53881.0,21425.0
1,03 - 14,51076.0,20255.0
2,04 - 14,48377.0,18972.0
3,05 - 14,45710.0,17688.0
4,06 - 14,43538.0,16616.0
5,07 - 14,41732.0,15595.0
6,08 - 14,39740.0,14564.0
7,09 - 14,38121.0,13544.0
8,10 - 14,36595.0,12640.0
9,11 - 14,35204.0,12023.0
10,12 - 14,34311.0,11290.0
11,13 - 14,32343.0,10258.0
12,14 - 14,30209.0,9228.0
13,15 - 14,29359.0,8618.0
14,16 - 14,28311.0,8285.0
15,17 - 14,28450.0,8568.0
16,18 - 14,28661.0,8992.0
17,19 - 14,28251.0,9049.0
18,20 - 14,29661.0,9993.0
19,21 - 14,37221.0,13990.0
20,22 - 14,42648.0,17048.0
21,23 - 14,48433.0,19560.0
22,24 - 14,53515.0,21648.0
23,25 - 14,56286.0,22267.0
24,26 - 14,57003.0,22437.0
25,27 - 14,58732.0,23042.0
26,28 - 14,62821.0,23835.0
27,29 - 14,64394.0,24609.0
28,30 - 14,64806.0,24793.0
29,31 - 14,65147.0,24832.0
30,32 - 14,65754.0,24946.0
31,33 - 14,66330.0,24819.0
32,34 - 14,66711.0,25140.0
33,35 - 14,66309.0,25000.0
34,36 - 14,66054.0,24523.0
35,37 - 14,65951.0,24126.0
36,38 - 14,64615.0,23606.0
37,39 - 14,64405.0,23403.0
38,40 - 14,64449.0,23427.0
39,41 - 14,65237.0,23518.0
40,42 - 14,64640.0,23401.0
41,43 - 14,66817.0,23627.0
42,44 - 14,69426.0,24152.0
43,45 - 14,69011.0,24114.0
44,46 - 14,68133.0,23917.0
45,47 - 14,66210.0,23240.0
46,48 - 14,64331.0,22655.0
47,49 - 14,62297.0,22092.0
48,50 - 14,60443.0,21497.0
49,51 - 14,58655.0,20901.0
50,52 - 14,56579.0,20125.0
51,01 - 15,55533.0,19854.0
52,02 - 15,53780.0,19180.0
53,03 - 15,51907.0,18458.0
54,04 - 15,49084.0,17283.0
55,05 - 15,46803.0,16448.0
56,06 - 15,44087.0,15350.0
57,07 - 15,42114.0,14769.0
58,08 - 15,40447.0,13946.0
59,09 - 15,38639.0,13062.0
60,10 - 15,36967.0,12118.0
61,11 - 15,35389.0,11178.0
62,12 - 15,33219.0,10133.0
63,13 - 15,31043.0,9256.0
64,14 - 15,29108.0,8432.0
65,15 - 15,27718.0,7944.0
66,16 - 15,26492.0,7650.0
67,17 - 15,26026.0,7991.0
68,18 - 15,24829.0,8165.0
69,19 - 15,25457.0,9568.0
70,20 - 15,27086.0,11564.0
71,21 - 15,27913.0,13216.0
72,22 - 15,29475.0,15687.0
73,23 - 15,32335.0,18867.0
74,24 - 15,35345.0,20434.0
75,25 - 15,37853.0,21232.0
76,26 - 15,41611.0,23010.0
77,27 - 15,47242.0,24601.0
78,28 - 15,54074.0,26647.0
79,29 - 15,57693.0,27690.0
80,30 - 15,60958.0,28659.0
81,31 - 15,63654.0,30191.0
82,32 - 15,66488.0,30449.0
83,33 - 15,68749.0,30435.0
84,34 - 15,70520.0,30033.0
85,35 - 15,73339.0,30003.0
86,36 - 15,74646.0,29785.0
87,37 - 15,74047.0,29093.0
88,38 - 15,75719.0,29515.0
89,39 - 15,76036.0,30044.0
90,40 - 15,76191.0,30694.0
91,41 - 15,75205.0,30341.0
92,42 - 15,73925.0,29741.0
93,43 - 15,73489.0,29323.0
94,44 - 15,72651.0,28725.0
95,45 - 15,72148.0,28638.0
96,46 - 15,72314.0,28218.0
97,47 - 15,70592.0,27372.0
98,48 - 15,69397.0,26620.0
99,49 - 15,69670.0,26130.0
100,50 - 15,69344.0,25381.0
101,51 - 15,68811.0,24619.0
102,52 - 15,69372.0,24625.0
103,53 - 15,67816.0,23841.0
104,01 - 17,64848.0,22522.0
105,02 - 16,61654.0,21203.0
106,03 - 16,58235.0,19811.0
107,04 - 16,56990.0,18956.0
108,05 - 16,55266.0,17939.0
109,06 - 16,52814.0,16813.0
