Date,NO Hydro,SE Hydro,FI Hydro,Total Hydro
01-01-2014,54821.71,21822.14,3736.57,80380.4
02-01-2014,54633.57,21742.71,3742.86,80119.1
03-01-2014,54445.43,21663.29,3749.14,79857.9
04-01-2014,54257.29,21583.86,3755.43,79596.6
05-01-2014,54069.14,21504.43,3761.71,79335.3
06-01-2014,53881.0,21425.0,3768.0,79074
07-01-2014,53480.29,21257.86,3758.86,78497
08-01-2014,53079.57,21090.71,3749.71,77920
09-01-2014,52678.86,20923.57,3740.57,77343
10-01-2014,52278.14,20756.43,3731.43,76766
11-01-2014,51877.43,20589.29,3722.29,76189
12-01-2014,51476.71,20422.14,3713.14,75612
13-01-2014,51076.0,20255.0,3704.0,75035
14-01-2014,50690.43,20071.71,3687.86,74450
15-01-2014,50304.86,19888.43,3671.71,73865
16-01-2014,49919.29,19705.14,3655.57,73280
17-01-2014,49533.71,19521.86,3639.43,72695
18-01-2014,49148.14,19338.57,3623.29,72110
19-01-2014,48762.57,19155.29,3607.14,71525
20-01-2014,48377.0,18972.0,3591.0,70940
21-01-2014,47996.0,18788.57,3572.14,70356.7
22-01-2014,47615.0,18605.14,3553.29,69773.4
23-01-2014,47234.0,18421.71,3534.43,69190.1
24-01-2014,46853.0,18238.29,3515.57,68606.9
25-01-2014,46472.0,18054.86,3496.71,68023.6
26-01-2014,46091.0,17871.43,3477.86,67440.3
27-01-2014,45710.0,17688.0,3459.0,66857
28-01-2014,45399.71,17534.86,3440.86,66375.4
29-01-2014,45089.43,17381.71,3422.71,65893.9
30-01-2014,44779.14,17228.57,3404.57,65412.3
31-01-2014,44468.86,17075.43,3386.43,64930.7
01-02-2014,44158.57,16922.29,3368.29,64449.2
02-02-2014,43848.29,16769.14,3350.14,63967.6
03-02-2014,43538.0,16616.0,3332.0,63486
04-02-2014,43280.0,16470.14,3316.29,63066.4
05-02-2014,43022.0,16324.29,3300.57,62646.9
06-02-2014,42764.0,16178.43,3284.86,62227.3
07-02-2014,42506.0,16032.57,3269.14,61807.7
08-02-2014,42248.0,15886.71,3253.43,61388.1
09-02-2014,41990.0,15740.86,3237.71,60968.6
10-02-2014,41732.0,15595.0,3222.0,60549
11-02-2014,41447.43,15447.71,3195.57,60090.7
12-02-2014,41162.86,15300.43,3169.14,59632.4
13-02-2014,40878.29,15153.14,3142.71,59174.1
14-02-2014,40593.71,15005.86,3116.29,58715.9
15-02-2014,40309.14,14858.57,3089.86,58257.6
16-02-2014,40024.57,14711.29,3063.43,57799.3
17-02-2014,39740.0,14564.0,3037.0,57341
18-02-2014,39508.71,14418.29,3016.71,56943.7
19-02-2014,39277.43,14272.57,2996.43,56546.4
20-02-2014,39046.14,14126.86,2976.14,56149.1
21-02-2014,38814.86,13981.14,2955.86,55751.9
22-02-2014,38583.57,13835.43,2935.57,55354.6
23-02-2014,38352.29,13689.71,2915.29,54957.3
24-02-2014,38121.0,13544.0,2895.0,54560
25-02-2014,37903.0,13414.86,2880.29,54198.2
26-02-2014,37685.0,13285.71,2865.57,53836.3
27-02-2014,37467.0,13156.57,2850.86,53474.4
28-02-2014,37249.0,13027.43,2836.14,53112.6
01-03-2014,37031.0,12898.29,2821.43,52750.7
02-03-2014,36813.0,12769.14,2806.71,52388.8
03-03-2014,36595.0,12640.0,2792.0,52027
04-03-2014,36396.29,12551.86,2781.14,51729.3
05-03-2014,36197.57,12463.71,2770.29,51431.6
06-03-2014,35998.86,12375.57,2759.43,51133.9
07-03-2014,35800.14,12287.43,2748.57,50836.1
08-03-2014,35601.43,12199.29,2737.71,50538.4
09-03-2014,35402.71,12111.14,2726.86,50240.7
10-03-2014,35204.0,12023.0,2716.0,49943
11-03-2014,35076.43,11918.29,2700.57,49695.3
12-03-2014,34948.86,11813.57,2685.14,49447.6
13-03-2014,34821.29,11708.86,2669.71,49199.9
14-03-2014,34693.71,11604.14,2654.29,48952.1
15-03-2014,34566.14,11499.43,2638.86,48704.4
16-03-2014,34438.57,11394.71,2623.43,48456.7
17-03-2014,34311.0,11290.0,2608.0,48209
18-03-2014,34029.86,11142.57,2594.57,47767
19-03-2014,33748.71,10995.14,2581.14,47325
20-03-2014,33467.57,10847.71,2567.71,46883
