Date,Hour,NO Hydro,SE Hydro,FI Hydro,Total Hydro
01-01-2014,0,54821.7,21822.1,3736.57,80380.4
01-01-2014,1,54813.9,21818.8,3736.83,80369.5
01-01-2014,2,54806,21815.5,3737.09,80358.6
01-01-2014,3,54798.2,21812.2,3737.36,80347.7
01-01-2014,4,54790.4,21808.9,3737.62,80336.8
01-01-2014,5,54782.5,21805.6,3737.88,80326
01-01-2014,6,54774.7,21802.3,3738.14,80315.1
01-01-2014,7,54766.8,21799,3738.4,80304.2
01-01-2014,8,54759,21795.7,3738.67,80293.3
01-01-2014,9,54751.2,21792.4,3738.93,80282.4
01-01-2014,10,54743.3,21789,3739.19,80271.5
01-01-2014,11,54735.5,21785.7,3739.45,80260.6
01-01-2014,12,54727.6,21782.4,3739.72,80249.8
01-01-2014,13,54719.8,21779.1,3739.98,80238.9
01-01-2014,14,54712,21775.8,3740.24,80228
01-01-2014,15,54704.1,21772.5,3740.5,80217.1
01-01-2014,16,54696.3,21769.2,3740.76,80206.2
01-01-2014,17,54688.4,21765.9,3741.03,80195.3
01-01-2014,18,54680.6,21762.6,3741.29,80184.4
01-01-2014,19,54672.8,21759.3,3741.55,80173.5
01-01-2014,20,54664.9,21755.9,3741.81,80162.7
01-01-2014,21,54657.1,21752.6,3742.07,80151.8
01-01-2014,22,54649.2,21749.3,3742.34,80140.9
01-01-2014,23,54641.4,21746,3742.6,80130
02-01-2014,0,54633.6,21742.7,3742.86,80119.1
02-01-2014,1,54625.7,21739.4,3743.12,80108.2
02-01-2014,2,54617.9,21736.1,3743.38,80097.3
02-01-2014,3,54610.1,21732.8,3743.64,80086.5
02-01-2014,4,54602.2,21729.5,3743.91,80075.6
02-01-2014,5,54594.4,21726.2,3744.17,80064.7
02-01-2014,6,54586.5,21722.9,3744.43,80053.8
02-01-2014,7,54578.7,21719.5,3744.69,80042.9
02-01-2014,8,54570.9,21716.2,3744.95,80032
02-01-2014,9,54563,21712.9,3745.22,80021.1
02-01-2014,10,54555.2,21709.6,3745.48,80010.3
02-01-2014,11,54547.3,21706.3,3745.74,79999.4
02-01-2014,12,54539.5,21703,3746,79988.5
02-01-2014,13,54531.7,21699.7,3746.26,79977.6
02-01-2014,14,54523.8,21696.4,3746.52,79966.7
02-01-2014,15,54516,21693.1,3746.78,79955.9
02-01-2014,16,54508.1,21689.8,3747.05,79945
02-01-2014,17,54500.3,21686.5,3747.31,79934.1
02-01-2014,18,54492.5,21683.1,3747.57,79923.2
02-01-2014,19,54484.6,21679.8,3747.83,79912.3
02-01-2014,20,54476.8,21676.5,3748.09,79901.4
02-01-2014,21,54468.9,21673.2,3748.36,79890.5
02-01-2014,22,54461.1,21669.9,3748.62,79879.7
02-01-2014,23,54453.3,21666.6,3748.88,79868.8
03-01-2014,0,54445.4,21663.3,3749.14,79857.9
03-01-2014,1,54437.6,21660,3749.4,79847
03-01-2014,2,54429.8,21656.7,3749.66,79836.1
03-01-2014,3,54421.9,21653.4,3749.93,79825.2
03-01-2014,4,54414.1,21650.1,3750.19,79814.3
03-01-2014,5,54406.2,21646.7,3750.45,79803.5
03-01-2014,6,54398.4,21643.4,3750.71,79792.6
03-01-2014,7,54390.6,21640.1,3750.97,79781.7
03-01-2014,8,54382.7,21636.8,3751.24,79770.8
03-01-2014,9,54374.9,21633.5,3751.5,79759.9
03-01-2014,10,54367,21630.2,3751.76,79749
03-01-2014,11,54359.2,21626.9,3752.02,79738.1
03-01-2014,12,54351.4,21623.6,3752.28,79727.2
03-01-2014,13,54343.5,21620.3,3752.55,79716.4
03-01-2014,14,54335.7,21617,3752.81,79705.5
03-01-2014,15,54327.8,21613.6,3753.07,79694.6
03-01-2014,16,54320,21610.3,3753.33,79683.7
03-01-2014,17,54312.2,21607,3753.6,79672.8
03-01-2014,18,54304.3,21603.7,3753.86,79661.9
03-01-2014,19,54296.5,21600.4,3754.12,79651
03-01-2014,20,54288.6,21597.1,3754.38,79640.2
03-01-2014,21,54280.8,21593.8,3754.64,79629.3
03-01-2014,22,54273,21590.5,3754.91,79618.4
03-01-2014,23,54265.1,21587.2,3755.17,79607.5
04-01-2014,0,54257.3,21583.9,3755.43,79596.6
04-01-2014,1,54249.5,21580.6,3755.69,79585.7
04-01-2014,2,54241.6,21577.2,3755.95,79574.8
04-01-2014,3,54233.8,21573.9,3756.21,79563.9
04-01-2014,4,54225.9,21570.6,3756.48,79553.1
04-01-2014,5,54218.1,21567.3,3756.74,79542.2
04-01-2014,6,54210.3,21564,3757,79531.3
04-01-2014,7,54202.4,21560.7,3757.26,79520.4
04-01-2014,8,54194.6,21557.4,3757.52,79509.5
04-01-2014,9,54186.7,21554.1,3757.78,79498.6
04-01-2014,10,54178.9,21550.8,3758.05,79487.7
04-01-2014,11,54171.1,21547.5,3758.31,79476.8
04-01-2014,12,54163.2,21544.1,3758.57,79466
04-01-2014,13,54155.4,21540.8,3758.83,79455.1
04-01-2014,14,54147.5,21537.5,3759.09,79444.2
04-01-2014,15,54139.7,21534.2,3759.36,79433.3
04-01-2014,16,54131.9,21530.9,3759.62,79422.4
04-01-2014,17,54124,21527.6,3759.88,79411.5
04-01-2014,18,54116.2,21524.3,3760.14,79400.6
04-01-2014,19,54108.3,21521,3760.4,79389.7
04-01-2014,20,54100.5,21517.7,3760.66,79378.9
04-01-2014,21,54092.7,21514.4,3760.93,79368
04-01-2014,22,54084.8,21511,3761.19,79357.1
04-01-2014,23,54077,21507.7,3761.45,79346.2
05-01-2014,0,54069.1,21504.4,3761.71,79335.3
05-01-2014,1,54061.3,21501.1,3761.97,79324.4
05-01-2014,2,54053.5,21497.8,3762.23,79313.5
05-01-2014,3,54045.6,21494.5,3762.5,79302.6
05-01-2014,4,54037.8,21491.2,3762.76,79291.8
05-01-2014,5,54029.9,21487.9,3763.02,79280.9
05-01-2014,6,54022.1,21484.6,3763.28,79270
05-01-2014,7,54014.3,21481.3,3763.54,79259.1
05-01-2014,8,54006.4,21478,3763.81,79248.2
05-01-2014,9,53998.6,21474.6,3764.07,79237.3
05-01-2014,10,53990.7,21471.3,3764.33,79226.4
05-01-2014,11,53982.9,21468,3764.59,79215.5
05-01-2014,12,53975.1,21464.7,3764.86,79204.6
05-01-2014,13,53967.2,21461.4,3765.12,79193.8
05-01-2014,14,53959.4,21458.1,3765.38,79182.9
05-01-2014,15,53951.6,21454.8,3765.64,79172
05-01-2014,16,53943.7,21451.5,3765.9,79161.1
05-01-2014,17,53935.9,21448.2,3766.17,79150.2
05-01-2014,18,53928,21444.9,3766.43,79139.3
05-01-2014,19,53920.2,21441.5,3766.69,79128.4
05-01-2014,20,53912.4,21438.2,3766.95,79117.6
05-01-2014,21,53904.5,21434.9,3767.21,79106.7
05-01-2014,22,53896.7,21431.6,3767.48,79095.8
05-01-2014,23,53888.8,21428.3,3767.74,79084.9
06-01-2014,0,53881,21425,3768,79074
06-01-2014,1,53864.3,21418,3767.62,79050
06-01-2014,2,53847.6,21411.1,3767.24,79025.9
06-01-2014,3,53830.9,21404.1,3766.86,79001.9
06-01-2014,4,53814.2,21397.1,3766.48,78977.8
06-01-2014,5,53797.5,21390.2,3766.1,78953.8
06-01-2014,6,53780.8,21383.2,3765.72,78929.8
06-01-2014,7,53764.1,21376.3,3765.33,78905.7
06-01-2014,8,53747.4,21369.3,3764.95,78881.7
06-01-2014,9,53730.7,21362.3,3764.57,78857.6
06-01-2014,10,53714,21355.4,3764.19,78833.6
06-01-2014,11,53697.3,21348.4,3763.81,78809.5
06-01-2014,12,53680.6,21341.4,3763.43,78785.5
06-01-2014,13,53663.9,21334.5,3763.05,78761.5
06-01-2014,14,53647.3,21327.5,3762.67,78737.4
06-01-2014,15,53630.6,21320.5,3762.29,78713.4
06-01-2014,16,53613.9,21313.6,3761.91,78689.3
06-01-2014,17,53597.2,21306.6,3761.53,78665.3
06-01-2014,18,53580.5,21299.6,3761.14,78641.2
06-01-2014,19,53563.8,21292.7,3760.76,78617.2
06-01-2014,20,53547.1,21285.7,3760.38,78593.2
06-01-2014,21,53530.4,21278.8,3760,78569.1
06-01-2014,22,53513.7,21271.8,3759.62,78545.1
06-01-2014,23,53497,21264.8,3759.24,78521
07-01-2014,0,53480.3,21257.9,3758.86,78497
07-01-2014,1,53463.6,21250.9,3758.48,78473
07-01-2014,2,53446.9,21243.9,3758.1,78448.9
07-01-2014,3,53430.2,21237,3757.72,78424.9
07-01-2014,4,53413.5,21230,3757.34,78400.8
07-01-2014,5,53396.8,21223,3756.95,78376.8
07-01-2014,6,53380.1,21216.1,3756.57,78352.8
07-01-2014,7,53363.4,21209.1,3756.19,78328.7
07-01-2014,8,53346.7,21202.1,3755.81,78304.7
07-01-2014,9,53330,21195.2,3755.43,78280.6
07-01-2014,10,53313.3,21188.2,3755.05,78256.6
07-01-2014,11,53296.6,21181.2,3754.67,78232.5
07-01-2014,12,53279.9,21174.3,3754.28,78208.5
07-01-2014,13,53263.2,21167.3,3753.9,78184.5
07-01-2014,14,53246.5,21160.4,3753.52,78160.4
07-01-2014,15,53229.8,21153.4,3753.14,78136.4
07-01-2014,16,53213.1,21146.4,3752.76,78112.3
07-01-2014,17,53196.4,21139.5,3752.38,78088.3
07-01-2014,18,53179.8,21132.5,3752,78064.2
07-01-2014,19,53163.1,21125.5,3751.62,78040.2
07-01-2014,20,53146.4,21118.6,3751.24,78016.2
07-01-2014,21,53129.7,21111.6,3750.85,77992.1
07-01-2014,22,53113,21104.6,3750.47,77968.1
07-01-2014,23,53096.3,21097.7,3750.09,77944
08-01-2014,0,53079.6,21090.7,3749.71,77920
08-01-2014,1,53062.9,21083.7,3749.33,77896
08-01-2014,2,53046.2,21076.8,3748.95,77871.9
08-01-2014,3,53029.5,21069.8,3748.57,77847.9
08-01-2014,4,53012.8,21062.9,3748.19,77823.8
08-01-2014,5,52996.1,21055.9,3747.81,77799.8
08-01-2014,6,52979.4,21048.9,3747.43,77775.8
08-01-2014,7,52962.7,21042,3747.04,77751.7
08-01-2014,8,52946,21035,3746.66,77727.7
08-01-2014,9,52929.3,21028,3746.28,77703.6
08-01-2014,10,52912.6,21021.1,3745.9,77679.6
08-01-2014,11,52895.9,21014.1,3745.52,77655.5
08-01-2014,12,52879.2,21007.1,3745.14,77631.5
08-01-2014,13,52862.5,21000.2,3744.76,77607.5
08-01-2014,14,52845.8,20993.2,3744.38,77583.4
08-01-2014,15,52829.1,20986.2,3744,77559.4
08-01-2014,16,52812.4,20979.3,3743.62,77535.3
08-01-2014,17,52795.7,20972.3,3743.24,77511.3
08-01-2014,18,52779,20965.4,3742.86,77487.2
08-01-2014,19,52762.3,20958.4,3742.47,77463.2
08-01-2014,20,52745.6,20951.4,3742.09,77439.2
08-01-2014,21,52728.9,20944.5,3741.71,77415.1
08-01-2014,22,52712.3,20937.5,3741.33,77391.1
08-01-2014,23,52695.6,20930.5,3740.95,77367
09-01-2014,0,52678.9,20923.6,3740.57,77343
09-01-2014,1,52662.2,20916.6,3740.19,77319
09-01-2014,2,52645.5,20909.6,3739.81,77294.9
09-01-2014,3,52628.8,20902.7,3739.43,77270.9
09-01-2014,4,52612.1,20895.7,3739.05,77246.8
09-01-2014,5,52595.4,20888.7,3738.67,77222.8
09-01-2014,6,52578.7,20881.8,3738.28,77198.8
09-01-2014,7,52562,20874.8,3737.9,77174.7
09-01-2014,8,52545.3,20867.9,3737.52,77150.7
09-01-2014,9,52528.6,20860.9,3737.14,77126.6
09-01-2014,10,52511.9,20853.9,3736.76,77102.6
09-01-2014,11,52495.2,20847,3736.38,77078.5
09-01-2014,12,52478.5,20840,3736,77054.5
09-01-2014,13,52461.8,20833,3735.62,77030.5
09-01-2014,14,52445.1,20826.1,3735.24,77006.4
09-01-2014,15,52428.4,20819.1,3734.86,76982.4
09-01-2014,16,52411.7,20812.1,3734.48,76958.3
09-01-2014,17,52395,20805.2,3734.1,76934.3
09-01-2014,18,52378.3,20798.2,3733.72,76910.2
09-01-2014,19,52361.6,20791.3,3733.33,76886.2
09-01-2014,20,52344.9,20784.3,3732.95,76862.2
09-01-2014,21,52328.2,20777.3,3732.57,76838.1
09-01-2014,22,52311.5,20770.4,3732.19,76814.1
09-01-2014,23,52294.8,20763.4,3731.81,76790
10-01-2014,0,52278.1,20756.4,3731.43,76766
10-01-2014,1,52261.4,20749.5,3731.05,76742
10-01-2014,2,52244.7,20742.5,3730.67,76717.9
10-01-2014,3,52228.1,20735.5,3730.29,76693.9
10-01-2014,4,52211.4,20728.6,3729.91,76669.8
10-01-2014,5,52194.7,20721.6,3729.53,76645.8
10-01-2014,6,52178,20714.6,3729.14,76621.8
10-01-2014,7,52161.3,20707.7,3728.76,76597.7
10-01-2014,8,52144.6,20700.7,3728.38,76573.7
10-01-2014,9,52127.9,20693.8,3728,76549.6
10-01-2014,10,52111.2,20686.8,3727.62,76525.6
10-01-2014,11,52094.5,20679.8,3727.24,76501.5
10-01-2014,12,52077.8,20672.9,3726.86,76477.5
10-01-2014,13,52061.1,20665.9,3726.48,76453.5
10-01-2014,14,52044.4,20658.9,3726.1,76429.4
10-01-2014,15,52027.7,20652,3725.72,76405.4
10-01-2014,16,52011,20645,3725.34,76381.3
10-01-2014,17,51994.3,20638,3724.96,76357.3
10-01-2014,18,51977.6,20631.1,3724.57,76333.2
10-01-2014,19,51960.9,20624.1,3724.19,76309.2
10-01-2014,20,51944.2,20617.1,3723.81,76285.2
10-01-2014,21,51927.5,20610.2,3723.43,76261.1
10-01-2014,22,51910.8,20603.2,3723.05,76237.1
10-01-2014,23,51894.1,20596.3,3722.67,76213
11-01-2014,0,51877.4,20589.3,3722.29,76189
11-01-2014,1,51860.7,20582.3,3721.91,76165
11-01-2014,2,51844,20575.4,3721.53,76140.9
11-01-2014,3,51827.3,20568.4,3721.15,76116.9
11-01-2014,4,51810.6,20561.4,3720.76,76092.8
11-01-2014,5,51793.9,20554.5,3720.38,76068.8
11-01-2014,6,51777.2,20547.5,3720,76044.8
11-01-2014,7,51760.6,20540.5,3719.62,76020.7
11-01-2014,8,51743.9,20533.6,3719.24,75996.7
11-01-2014,9,51727.2,20526.6,3718.86,75972.6
11-01-2014,10,51710.5,20519.6,3718.48,75948.6
11-01-2014,11,51693.8,20512.7,3718.1,75924.5
11-01-2014,12,51677.1,20505.7,3717.72,75900.5
11-01-2014,13,51660.4,20498.8,3717.33,75876.5
11-01-2014,14,51643.7,20491.8,3716.95,75852.4
11-01-2014,15,51627,20484.8,3716.57,75828.4
11-01-2014,16,51610.3,20477.9,3716.19,75804.3
11-01-2014,17,51593.6,20470.9,3715.81,75780.3
11-01-2014,18,51576.9,20463.9,3715.43,75756.2
11-01-2014,19,51560.2,20457,3715.05,75732.2
11-01-2014,20,51543.5,20450,3714.66,75708.2
11-01-2014,21,51526.8,20443,3714.28,75684.1
11-01-2014,22,51510.1,20436.1,3713.9,75660.1
11-01-2014,23,51493.4,20429.1,3713.52,75636
12-01-2014,0,51476.7,20422.1,3713.14,75612
12-01-2014,1,51460,20415.2,3712.76,75588
12-01-2014,2,51443.3,20408.2,3712.38,75563.9
12-01-2014,3,51426.6,20401.2,3712,75539.9
12-01-2014,4,51409.9,20394.3,3711.62,75515.8
12-01-2014,5,51393.2,20387.3,3711.24,75491.8
12-01-2014,6,51376.5,20380.4,3710.86,75467.8
12-01-2014,7,51359.8,20373.4,3710.47,75443.7
12-01-2014,8,51343.1,20366.4,3710.09,75419.7
12-01-2014,9,51326.4,20359.5,3709.71,75395.6
12-01-2014,10,51309.7,20352.5,3709.33,75371.6
12-01-2014,11,51293.1,20345.5,3708.95,75347.5
12-01-2014,12,51276.4,20338.6,3708.57,75323.5
12-01-2014,13,51259.7,20331.6,3708.19,75299.5
12-01-2014,14,51243,20324.6,3707.81,75275.4
