Date,SYS,Tr.heim
01-01-2014,28.25,28.45
02-01-2014,29.89,29.99
03-01-2014,29.3,29.25
04-01-2014,27.96,27.92
05-01-2014,29.05,29.21
06-01-2014,28.19,28.39
07-01-2014,29.16,29.1
08-01-2014,29.36,29.18
09-01-2014,29.72,29.47
10-01-2014,30.17,29.79
11-01-2014,29.82,29.75
12-01-2014,30.4,30.97
13-01-2014,39.16,37.62
14-01-2014,41.65,36.08
15-01-2014,41.6,40.67
16-01-2014,32.53,31.74
17-01-2014,34.21,32.4
18-01-2014,30.9,30.64
19-01-2014,30.7,30.76
20-01-2014,34.59,32.59
21-01-2014,42.12,42.24
22-01-2014,42.43,42.16
23-01-2014,40.4,38.63
24-01-2014,41.52,39.02
25-01-2014,32.52,32.36
26-01-2014,31.56,31.71
27-01-2014,33.02,32.49
28-01-2014,33.87,32.98
29-01-2014,34.45,33.35
30-01-2014,35.93,34.09
31-01-2014,37.15,35.0
01-02-2014,31.1,31.41
02-02-2014,30.27,30.71
03-02-2014,33.24,32.99
04-02-2014,32.41,32.1
05-02-2014,31.85,31.45
06-02-2014,31.42,31.22
07-02-2014,30.41,30.39
08-02-2014,28.84,29.32
09-02-2014,28.17,29.03
10-02-2014,31.08,31.0
11-02-2014,31.84,31.91
12-02-2014,31.42,31.34
13-02-2014,31.0,30.99
14-02-2014,31.02,30.65
15-02-2014,27.74,28.38
16-02-2014,27.64,28.22
17-02-2014,30.47,30.21
18-02-2014,31.67,31.79
19-02-2014,33.79,34.38
20-02-2014,32.01,32.86
21-02-2014,29.79,29.73
22-02-2014,27.72,28.17
23-02-2014,26.18,27.32
24-02-2014,27.55,26.9
25-02-2014,28.2,28.13
26-02-2014,30.18,30.12
27-02-2014,29.63,29.48
28-02-2014,29.83,29.21
01-03-2014,28.89,28.78
02-03-2014,27.79,27.78
03-03-2014,28.17,28.04
04-03-2014,30.61,29.79
05-03-2014,31.27,30.33
06-03-2014,28.57,28.5
07-03-2014,26.37,26.33
08-03-2014,25.62,25.56
09-03-2014,23.53,23.64
10-03-2014,26.51,26.71
11-03-2014,27.21,27.81
12-03-2014,26.99,27.22
13-03-2014,27.19,27.27
14-03-2014,26.35,26.4
15-03-2014,23.47,24.96
16-03-2014,23.98,25.45
17-03-2014,25.9,26.4
18-03-2014,26.85,27.21
19-03-2014,25.54,26.99
20-03-2014,24.43,26.93
21-03-2014,23.49,25.43
22-03-2014,24.13,25.7
23-03-2014,23.76,25.62
24-03-2014,27.59,27.98
25-03-2014,27.32,27.98
26-03-2014,27.33,27.66
27-03-2014,28.08,28.19
28-03-2014,28.57,28.98
29-03-2014,27.09,26.95
30-03-2014,26.78,26.62
31-03-2014,29.47,30.52
01-04-2014,31.66,35.76
02-04-2014,31.3,35.37
03-04-2014,29.77,33.32
04-04-2014,28.07,29.27
05-04-2014,27.09,27.94
06-04-2014,25.85,26.93
07-04-2014,28.1,28.88
08-04-2014,25.96,27.04
09-04-2014,25.51,27.19
10-04-2014,29.17,32.96
11-04-2014,26.82,29.53
12-04-2014,24.18,25.13
13-04-2014,19.39,22.58
14-04-2014,22.95,24.36
15-04-2014,24.1,25.52
16-04-2014,25.75,27.74
17-04-2014,23.27,23.86
18-04-2014,23.31,23.71
19-04-2014,24.0,24.68
20-04-2014,21.76,22.59
21-04-2014,21.94,23.06
22-04-2014,24.14,25.26
23-04-2014,24.04,26.17
24-04-2014,25.56,28.47
25-04-2014,26.02,28.46
26-04-2014,24.15,26.83
27-04-2014,22.13,24.4
28-04-2014,25.96,28.67
29-04-2014,26.02,28.61
30-04-2014,27.73,35.89
01-05-2014,23.38,26.78
02-05-2014,26.2,31.22
03-05-2014,24.68,30.05
04-05-2014,25.35,30.02
05-05-2014,29.78,41.25
06-05-2014,28.96,33.06
07-05-2014,29.79,34.33
08-05-2014,30.66,38.44
09-05-2014,30.83,40.6
10-05-2014,26.69,31.49
11-05-2014,26.42,31.92
12-05-2014,32.66,44.0
13-05-2014,32.09,40.28
14-05-2014,31.72,42.72
15-05-2014,30.95,38.9
16-05-2014,28.5,35.04
17-05-2014,23.48,29.49
18-05-2014,22.08,28.73
19-05-2014,27.64,39.0
20-05-2014,27.69,36.75
21-05-2014,26.36,40.63
22-05-2014,24.31,31.2
23-05-2014,24.63,37.08
24-05-2014,18.77,29.21
25-05-2014,17.56,27.37
26-05-2014,28.08,40.81
27-05-2014,25.88,35.69
28-05-2014,25.24,31.34
29-05-2014,20.86,29.75
30-05-2014,25.56,34.1
31-05-2014,18.64,26.94
01-06-2014,19.35,26.11
02-06-2014,28.42,38.93
03-06-2014,28.98,40.21
04-06-2014,28.31,39.71
05-06-2014,26.11,34.49
06-06-2014,24.6,30.8
07-06-2014,20.55,28.66
08-06-2014,18.87,24.98
09-06-2014,23.27,28.97
10-06-2014,25.68,31.47
11-06-2014,26.62,32.91
12-06-2014,26.63,34.39
13-06-2014,22.34,28.61
14-06-2014,18.72,25.25
15-06-2014,18.9,24.81
16-06-2014,25.44,31.38
17-06-2014,27.96,32.54
18-06-2014,26.85,32.47
19-06-2014,23.62,28.12
20-06-2014,22.17,24.87
21-06-2014,20.71,22.36
22-06-2014,20.19,22.48
23-06-2014,26.69,30.35
24-06-2014,30.25,33.88
25-06-2014,30.86,35.59
26-06-2014,30.7,35.34
27-06-2014,29.68,32.71
28-06-2014,27.13,30.57
29-06-2014,26.02,28.36
30-06-2014,30.11,32.16
01-07-2014,30.5,31.87
02-07-2014,29.63,31.09
03-07-2014,27.66,28.9
04-07-2014,27.94,29.06
05-07-2014,26.44,26.7
06-07-2014,24.78,25.54
07-07-2014,27.91,29.51
08-07-2014,27.18,28.66
09-07-2014,25.98,27.43
10-07-2014,27.47,29.55
11-07-2014,27.94,30.03
12-07-2014,26.79,29.02
13-07-2014,24.84,25.51
14-07-2014,27.44,28.78
15-07-2014,28.88,30.97
16-07-2014,29.3,31.09
17-07-2014,29.3,31.12
18-07-2014,28.94,30.96
19-07-2014,27.66,28.87
20-07-2014,24.87,24.43
21-07-2014,28.14,28.49
22-07-2014,29.23,30.33
23-07-2014,29.71,30.52
24-07-2014,29.51,30.26
25-07-2014,29.93,30.7
26-07-2014,30.39,30.44
27-07-2014,29.98,30.9
28-07-2014,31.68,32.43
29-07-2014,31.85,32.18
30-07-2014,31.33,32.04
31-07-2014,31.04,31.56
01-08-2014,31.03,31.22
02-08-2014,29.24,28.99
03-08-2014,29.51,29.42
04-08-2014,31.89,32.84
05-08-2014,32.21,33.46
06-08-2014,32.46,33.28
07-08-2014,32.66,33.39
08-08-2014,32.46,33.4
09-08-2014,29.06,32.11
10-08-2014,28.83,30.72
11-08-2014,29.73,31.61
12-08-2014,31.66,33.71
13-08-2014,32.61,33.46
14-08-2014,32.75,34.44
15-08-2014,32.87,34.05
16-08-2014,30.61,32.08
17-08-2014,29.73,31.41
18-08-2014,32.57,33.22
19-08-2014,33.12,34.19
20-08-2014,32.74,35.56
21-08-2014,33.09,34.86
22-08-2014,32.97,34.67
23-08-2014,30.76,32.62
24-08-2014,30.43,32.11
25-08-2014,33.84,34.8
26-08-2014,36.32,35.15
27-08-2014,35.23,34.61
28-08-2014,34.59,34.88
29-08-2014,33.84,35.05
30-08-2014,32.53,33.6
31-08-2014,32.87,33.47
01-09-2014,34.95,37.38
02-09-2014,35.66,37.92
03-09-2014,34.96,36.91
04-09-2014,34.46,35.68
05-09-2014,35.42,37.29
06-09-2014,33.76,34.43
07-09-2014,33.69,34.44
08-09-2014,34.71,36.36
09-09-2014,34.51,35.95
10-09-2014,34.74,35.54
11-09-2014,34.94,36.54
12-09-2014,34.61,37.37
13-09-2014,34.07,35.03
14-09-2014,33.69,34.23
15-09-2014,36.44,38.11
16-09-2014,37.57,39.54
