Date,Hours,SYS,Tr.heim
2014-01-01,00:00:00,"28,53","28,67"
2014-01-01,01:00:00,"28,01","28,08"
2014-01-01,02:00:00,"27,16","27,38"
2014-01-01,03:00:00,"26,05","26,21"
2014-01-01,04:00:00,"25,16","25,98"
2014-01-01,05:00:00,"25,58","26,38"
2014-01-01,06:00:00,"26,13","26,76"
2014-01-01,07:00:00,"26,62","27,14"
2014-01-01,08:00:00,"26,67","26,97"
2014-01-01,09:00:00,"26,4","26,54"
2014-01-01,10:00:00,"27,55","27,59"
2014-01-01,11:00:00,"28,47","28,43"
2014-01-01,12:00:00,"28,66","28,68"
2014-01-01,13:00:00,"28,83","28,82"
2014-01-01,14:00:00,"29,07","29,06"
2014-01-01,15:00:00,"29,4","29,39"
2014-01-01,16:00:00,"31,48","31,39"
2014-01-01,17:00:00,"32,15","32,09"
2014-01-01,18:00:00,"31,71","31,62"
2014-01-01,19:00:00,"30,64","30,63"
2014-01-01,20:00:00,"29,31","29,34"
2014-01-01,21:00:00,29,"29,19"
2014-01-01,22:00:00,"28,41","28,72"
2014-01-01,23:00:00,"27,05","27,84"
2014-01-02,00:00:00,"27,2","27,9"
2014-01-02,01:00:00,"26,06","26,94"
2014-01-02,02:00:00,"25,38","26,37"
2014-01-02,03:00:00,"25,02","26,56"
2014-01-02,04:00:00,"25,78","27,15"
2014-01-02,05:00:00,28,"28,41"
2014-01-02,06:00:00,"29,23","29,33"
2014-01-02,07:00:00,"29,96","29,86"
2014-01-02,08:00:00,"30,6","30,44"
2014-01-02,09:00:00,"30,76","30,63"
2014-01-02,10:00:00,"30,99","30,86"
2014-01-02,11:00:00,"31,24","31,04"
2014-01-02,12:00:00,"31,12","30,97"
2014-01-02,13:00:00,"31,26","31,04"
2014-01-02,14:00:00,"31,44","31,11"
2014-01-02,15:00:00,"31,77","31,41"
2014-01-02,16:00:00,"32,45","31,98"
2014-01-02,17:00:00,"32,72","32,27"
2014-01-02,18:00:00,"32,35","31,92"
2014-01-02,19:00:00,"31,82","31,45"
2014-01-02,20:00:00,"31,02","30,94"
2014-01-02,21:00:00,"30,86","30,78"
2014-01-02,22:00:00,"30,42","30,42"
2014-01-02,23:00:00,"29,91","29,91"
2014-01-03,00:00:00,"28,2","28,08"
2014-01-03,01:00:00,"26,24","26,24"
2014-01-03,02:00:00,"24,82","24,78"
2014-01-03,03:00:00,"24,71","25,14"
2014-01-03,04:00:00,"25,42","26,04"
2014-01-03,05:00:00,"27,38","27,77"
2014-01-03,06:00:00,"29,28","29,14"
2014-01-03,07:00:00,"30,95","30,78"
2014-01-03,08:00:00,"31,44","31,19"
2014-01-03,09:00:00,"31,38","31,18"
2014-01-03,10:00:00,"31,06","30,95"
2014-01-03,11:00:00,"30,99","30,91"
2014-01-03,12:00:00,"30,86","30,74"
2014-01-03,13:00:00,"30,75","30,63"
2014-01-03,14:00:00,"30,65","30,46"
2014-01-03,15:00:00,"30,71","30,43"
2014-01-03,16:00:00,"31,01","30,84"
2014-01-03,17:00:00,"31,35","31,02"
2014-01-03,18:00:00,"30,94","30,78"
2014-01-03,19:00:00,"30,46","30,33"
2014-01-03,20:00:00,"29,72","29,66"
2014-01-03,21:00:00,"28,76","28,72"
2014-01-03,22:00:00,"28,49","28,63"
2014-01-03,23:00:00,"27,56","27,66"
2014-01-04,00:00:00,"26,52","26,67"
2014-01-04,01:00:00,"25,26","25,34"
2014-01-04,02:00:00,"24,61","23,95"
2014-01-04,03:00:00,"23,86","23,45"
2014-01-04,04:00:00,"24,28","24,25"
2014-01-04,05:00:00,"25,09","25,63"
2014-01-04,06:00:00,"26,18","26,69"
2014-01-04,07:00:00,"27,28","27,57"
2014-01-04,08:00:00,"27,8","27,85"
2014-01-04,09:00:00,"28,68","28,71"
2014-01-04,10:00:00,"28,9","28,91"
2014-01-04,11:00:00,"29,08","29,07"
2014-01-04,12:00:00,"29,22","29,2"
2014-01-04,13:00:00,"29,26","29,2"
2014-01-04,14:00:00,"29,47","29,35"
2014-01-04,15:00:00,"29,91","29,68"
2014-01-04,16:00:00,"30,59","30,31"
2014-01-04,17:00:00,"30,97","30,66"
2014-01-04,18:00:00,"30,69","30,45"
2014-01-04,19:00:00,"30,1","29,93"
2014-01-04,20:00:00,"28,87","28,81"
2014-01-04,21:00:00,"28,7","28,56"
2014-01-04,22:00:00,"28,42","28,31"
2014-01-04,23:00:00,"27,4","27,6"
2014-01-05,00:00:00,"27,66","27,82"
2014-01-05,01:00:00,"26,92","27,21"
2014-01-05,02:00:00,"26,67","26,95"
2014-01-05,03:00:00,"26,41","26,62"
2014-01-05,04:00:00,"26,67","26,73"
2014-01-05,05:00:00,"26,99","27,1"
2014-01-05,06:00:00,"27,71","27,72"
2014-01-05,07:00:00,"28,04","28,03"
2014-01-05,08:00:00,"28,11","28,15"
2014-01-05,09:00:00,"28,48","28,54"
2014-01-05,10:00:00,"29,87","29,93"
2014-01-05,11:00:00,"30,64","30,96"
2014-01-05,12:00:00,"30,77","31,16"
