Date,System Price
01-01-2014,28.25
02-01-2014,29.89
03-01-2014,29.3
04-01-2014,27.96
05-01-2014,29.05
06-01-2014,28.19
07-01-2014,29.16
08-01-2014,29.36
09-01-2014,29.72
10-01-2014,30.17
11-01-2014,29.82
12-01-2014,30.4
13-01-2014,39.16
14-01-2014,41.65
15-01-2014,41.6
16-01-2014,32.53
17-01-2014,34.21
18-01-2014,30.9
19-01-2014,30.7
20-01-2014,34.59
21-01-2014,42.12
22-01-2014,42.43
23-01-2014,40.4
24-01-2014,41.52
25-01-2014,32.52
26-01-2014,31.56
27-01-2014,33.02
28-01-2014,33.87
29-01-2014,34.45
30-01-2014,35.93
31-01-2014,37.15
01-02-2014,31.1
02-02-2014,30.27
03-02-2014,33.24
04-02-2014,32.41
05-02-2014,31.85
06-02-2014,31.42
07-02-2014,30.41
08-02-2014,28.84
09-02-2014,28.17
10-02-2014,31.08
11-02-2014,31.84
12-02-2014,31.42
13-02-2014,31.0
14-02-2014,31.02
15-02-2014,27.74
16-02-2014,27.64
17-02-2014,30.47
18-02-2014,31.67
19-02-2014,33.79
20-02-2014,32.01
21-02-2014,29.79
22-02-2014,27.72
23-02-2014,26.18
24-02-2014,27.55
25-02-2014,28.2
26-02-2014,30.18
27-02-2014,29.63
28-02-2014,29.83
01-03-2014,28.89
02-03-2014,27.79
03-03-2014,28.17
04-03-2014,30.61
05-03-2014,31.27
06-03-2014,28.57
07-03-2014,26.37
08-03-2014,25.62
09-03-2014,23.53
10-03-2014,26.51
11-03-2014,27.21
12-03-2014,26.99
13-03-2014,27.19
14-03-2014,26.35
15-03-2014,23.47
16-03-2014,23.98
17-03-2014,25.9
18-03-2014,26.85
19-03-2014,25.54
20-03-2014,24.43
21-03-2014,23.49
22-03-2014,24.13
23-03-2014,23.76
24-03-2014,27.59
25-03-2014,27.32
26-03-2014,27.33
27-03-2014,28.08
28-03-2014,28.57
29-03-2014,27.09
30-03-2014,26.78
31-03-2014,29.47
01-04-2014,31.66
02-04-2014,31.3
03-04-2014,29.77
04-04-2014,28.07
05-04-2014,27.09
06-04-2014,25.85
07-04-2014,28.1
08-04-2014,25.96
09-04-2014,25.51
10-04-2014,29.17
11-04-2014,26.82
12-04-2014,24.18
13-04-2014,19.39
14-04-2014,22.95
15-04-2014,24.1
16-04-2014,25.75
17-04-2014,23.27
18-04-2014,23.31
19-04-2014,24.0
20-04-2014,21.76
21-04-2014,21.94
22-04-2014,24.14
23-04-2014,24.04
24-04-2014,25.56
25-04-2014,26.02
26-04-2014,24.15
27-04-2014,22.13
28-04-2014,25.96
29-04-2014,26.02
30-04-2014,27.73
01-05-2014,23.38
02-05-2014,26.2
03-05-2014,24.68
04-05-2014,25.35
05-05-2014,29.78
06-05-2014,28.96
07-05-2014,29.79
08-05-2014,30.66
09-05-2014,30.83
10-05-2014,26.69
11-05-2014,26.42
12-05-2014,32.66
13-05-2014,32.09
14-05-2014,31.72
15-05-2014,30.95
16-05-2014,28.5
17-05-2014,23.48
18-05-2014,22.08
19-05-2014,27.64
20-05-2014,27.69
21-05-2014,26.36
22-05-2014,24.31
23-05-2014,24.63
24-05-2014,18.77
25-05-2014,17.56
26-05-2014,28.08
27-05-2014,25.88
28-05-2014,25.24
