Date,Hour,System Price
01-01-2014,0,28.53
01-01-2014,1,28.01
01-01-2014,2,27.16
01-01-2014,3,26.05
01-01-2014,4,25.16
01-01-2014,5,25.58
01-01-2014,6,26.13
01-01-2014,7,26.62
01-01-2014,8,26.67
01-01-2014,9,26.4
01-01-2014,10,27.55
01-01-2014,11,28.47
01-01-2014,12,28.66
01-01-2014,13,28.83
01-01-2014,14,29.07
01-01-2014,15,29.4
01-01-2014,16,31.48
01-01-2014,17,32.15
01-01-2014,18,31.71
01-01-2014,19,30.64
01-01-2014,20,29.31
01-01-2014,21,29.0
01-01-2014,22,28.41
01-01-2014,23,27.05
02-01-2014,0,27.2
02-01-2014,1,26.06
02-01-2014,2,25.38
02-01-2014,3,25.02
02-01-2014,4,25.78
02-01-2014,5,28.0
02-01-2014,6,29.23
02-01-2014,7,29.96
02-01-2014,8,30.6
02-01-2014,9,30.76
02-01-2014,10,30.99
02-01-2014,11,31.24
02-01-2014,12,31.12
02-01-2014,13,31.26
02-01-2014,14,31.44
02-01-2014,15,31.77
02-01-2014,16,32.45
02-01-2014,17,32.72
02-01-2014,18,32.35
02-01-2014,19,31.82
02-01-2014,20,31.02
02-01-2014,21,30.86
02-01-2014,22,30.42
02-01-2014,23,29.91
03-01-2014,0,28.2
03-01-2014,1,26.24
03-01-2014,2,24.82
03-01-2014,3,24.71
03-01-2014,4,25.42
03-01-2014,5,27.38
03-01-2014,6,29.28
03-01-2014,7,30.95
03-01-2014,8,31.44
03-01-2014,9,31.38
03-01-2014,10,31.06
03-01-2014,11,30.99
03-01-2014,12,30.86
03-01-2014,13,30.75
03-01-2014,14,30.65
03-01-2014,15,30.71
03-01-2014,16,31.01
03-01-2014,17,31.35
03-01-2014,18,30.94
03-01-2014,19,30.46
03-01-2014,20,29.72
03-01-2014,21,28.76
03-01-2014,22,28.49
03-01-2014,23,27.56
04-01-2014,0,26.52
04-01-2014,1,25.26
04-01-2014,2,24.61
04-01-2014,3,23.86
04-01-2014,4,24.28
04-01-2014,5,25.09
04-01-2014,6,26.18
04-01-2014,7,27.28
04-01-2014,8,27.8
04-01-2014,9,28.68
04-01-2014,10,28.9
04-01-2014,11,29.08
04-01-2014,12,29.22
04-01-2014,13,29.26
04-01-2014,14,29.47
04-01-2014,15,29.91
04-01-2014,16,30.59
04-01-2014,17,30.97
04-01-2014,18,30.69
04-01-2014,19,30.1
04-01-2014,20,28.87
04-01-2014,21,28.7
04-01-2014,22,28.42
04-01-2014,23,27.4
05-01-2014,0,27.66
05-01-2014,1,26.92
05-01-2014,2,26.67
05-01-2014,3,26.41
05-01-2014,4,26.67
05-01-2014,5,26.99
05-01-2014,6,27.71
05-01-2014,7,28.04
05-01-2014,8,28.11
05-01-2014,9,28.48
05-01-2014,10,29.87
05-01-2014,11,30.64
05-01-2014,12,30.77
05-01-2014,13,30.01
05-01-2014,14,29.35
05-01-2014,15,29.89
05-01-2014,16,31.36
05-01-2014,17,32.34
05-01-2014,18,31.93
05-01-2014,19,31.05
05-01-2014,20,30.49
05-01-2014,21,29.41
05-01-2014,22,28.82
05-01-2014,23,27.54
06-01-2014,0,26.76
06-01-2014,1,26.15
06-01-2014,2,25.22
06-01-2014,3,25.35
06-01-2014,4,25.69
06-01-2014,5,26.64
06-01-2014,6,28.06
06-01-2014,7,28.27
06-01-2014,8,28.55
06-01-2014,9,28.69
06-01-2014,10,28.74
06-01-2014,11,28.81
06-01-2014,12,28.79
06-01-2014,13,28.85
06-01-2014,14,28.9
06-01-2014,15,29.26
06-01-2014,16,30.39
06-01-2014,17,30.89
06-01-2014,18,30.45
06-01-2014,19,29.6
06-01-2014,20,28.97
06-01-2014,21,28.38
06-01-2014,22,28.07
06-01-2014,23,27.19
07-01-2014,0,26.74
07-01-2014,1,26.32
07-01-2014,2,25.44
07-01-2014,3,25.38
07-01-2014,4,26.41
07-01-2014,5,27.47
07-01-2014,6,28.71
07-01-2014,7,30.6
07-01-2014,8,31.15
07-01-2014,9,30.63
07-01-2014,10,30.4
07-01-2014,11,30.59
07-01-2014,12,30.27
07-01-2014,13,30.45
07-01-2014,14,30.56
07-01-2014,15,30.78
07-01-2014,16,31.36
07-01-2014,17,31.48
07-01-2014,18,30.87
07-01-2014,19,30.21
07-01-2014,20,29.63
07-01-2014,21,28.79
07-01-2014,22,28.24
07-01-2014,23,27.32
08-01-2014,0,26.84
08-01-2014,1,25.78
08-01-2014,2,25.38
08-01-2014,3,25.26
08-01-2014,4,26.05
08-01-2014,5,27.45
08-01-2014,6,29.55
08-01-2014,7,30.79
08-01-2014,8,31.38
08-01-2014,9,31.07
08-01-2014,10,30.73
08-01-2014,11,30.59
08-01-2014,12,30.21
08-01-2014,13,30.37
08-01-2014,14,30.68
08-01-2014,15,30.86
08-01-2014,16,31.37
08-01-2014,17,31.75
08-01-2014,18,31.14
08-01-2014,19,30.55
08-01-2014,20,29.88
08-01-2014,21,29.57
08-01-2014,22,28.96
08-01-2014,23,28.49
09-01-2014,0,27.18
09-01-2014,1,26.5
09-01-2014,2,25.4
09-01-2014,3,26.65
09-01-2014,4,27.18
09-01-2014,5,28.26
09-01-2014,6,30.39
09-01-2014,7,32.0
09-01-2014,8,33.11
09-01-2014,9,32.8
09-01-2014,10,32.67
09-01-2014,11,32.27
09-01-2014,12,30.66
09-01-2014,13,30.51
09-01-2014,14,30.31
