Date,NO Prod,SE Prod,FI Prod,DK Prod,Nordic Prod,EE Prod,LV Prod,LT Prod,Baltic Prod,Total Prod
01-01-2014,328002,426643,186861,97425,1.03894e+06,19197,11231,7138,37566,1.07651e+06
02-01-2014,400497,479735,198299,115572,1.19411e+06,27935,11973,11359,51267,1.24537e+06
03-01-2014,382850,477557,199582,117254,1.17724e+06,29862,16031,6828,52721,1.22996e+06
04-01-2014,371175,460574,192831,110653,1.13524e+06,24566,13783,6528,44877,1.18011e+06
05-01-2014,393367,438804,188391,77929,1.0985e+06,22392,11420,6315,40127,1.13863e+06
06-01-2014,377089,467330,192777,122169,1.15936e+06,25834,15732,8047,49613,1.20897e+06
07-01-2014,409824,474693,202379,130456,1.21736e+06,29820,15710,8669,54199,1.27156e+06
08-01-2014,414662,490065,197907,123860,1.2265e+06,28242,14318,8286,50846,1.27734e+06
09-01-2014,437213,487393,204715,118546,1.24787e+06,25992,16278,10554,52824,1.3007e+06
10-01-2014,448185,509828,213855,130134,1.302e+06,30516,17845,12321,60682,1.36268e+06
11-01-2014,425550,484113,214009,121281,1.24496e+06,25844,10680,8873,45397,1.29036e+06
12-01-2014,449780,495113,213509,112148,1.27055e+06,22615,15766,7381,45762,1.31631e+06
13-01-2014,562897,557394,237517,129072,1.48688e+06,30385,21967,10397,62749,1.54962e+06
14-01-2014,587877,552179,248047,100727,1.48883e+06,29217,21740,10021,60978,1.54981e+06
15-01-2014,578048,532903,247914,120527,1.4794e+06,26643,23232,11342,61217,1.54062e+06
16-01-2014,518829,543251,251059,155271,1.46841e+06,29069,24325,9556,62950,1.53136e+06
17-01-2014,535176,565832,254530,133911,1.48945e+06,30829,26402,11665,68896,1.55835e+06
18-01-2014,463302,531568,239617,152251,1.38674e+06,29857,18867,7614,56338,1.44308e+06
19-01-2014,444899,508235,241431,163436,1.358e+06,25802,16876,7509,50187,1.40818e+06
20-01-2014,515773,567047,255087,159399,1.49732e+06,33560,24329,12505,70394,1.56771e+06
21-01-2014,558208,555007,254715,129288,1.49721e+06,34194,26645,12980,73819,1.57103e+06
22-01-2014,559322,543926,253789,148591,1.50563e+06,33022,27080,10368,70470,1.5761e+06
23-01-2014,546125,558264,259557,161998,1.52594e+06,33253,25990,10487,69730,1.59567e+06
24-01-2014,538375,549414,254073,155387,1.49726e+06,35844,23061,10928,69833,1.56709e+06
25-01-2014,457563,530446,222649,157030,1.3677e+06,30595,20205,5297,56097,1.42379e+06
26-01-2014,415610,523840,217333,154566,1.31135e+06,27541,19983,7020,54544,1.3659e+06
27-01-2014,491092,584585,244047,148884,1.46862e+06,32699,20406,10627,63732,1.53235e+06
28-01-2014,500478,565253,247641,149204,1.46258e+06,34384,18611,12794,65789,1.52837e+06
29-01-2014,500702,565773,249930,153663,1.47007e+06,33995,19230,13952,67177,1.53725e+06
30-01-2014,532485,578812,253878,139625,1.50481e+06,34798,20277,14249,69324,1.57414e+06
31-01-2014,526805,571496,254795,132115,1.48521e+06,37105,24361,13497,74963,1.56018e+06
01-02-2014,434750,517966,220027,137862,1.31062e+06,32180,17948,7993,58456,1.36907e+06
02-02-2014,404890,498784,207538,120622,1.23184e+06,26682,17852,6708,51242,1.28309e+06
03-02-2014,496526,528839,222614,102856,1.35084e+06,31761,21244,8333,61338,1.41218e+06
04-02-2014,497826,534563,219685,106171,1.35825e+06,32753,20618,8704,62075,1.42032e+06
05-02-2014,483154,518337,222423,109433,1.33335e+06,34457,19512,8486,62455,1.3958e+06
06-02-2014,461974,516021,226440,125403,1.32984e+06,34293,20629,7933,62855,1.3927e+06
07-02-2014,413016,531241,226431,133234,1.30393e+06,32850,19111,8935,60896,1.36483e+06
08-02-2014,339482,504087,202936,126158,1.17266e+06,26873,15620,7021,49514,1.22218e+06
09-02-2014,332674,484770,197815,127254,1.14251e+06,24194,13712,8033,45939,1.18845e+06
10-02-2014,441169,542685,217097,103162,1.30412e+06,28965,17823,9342,56130,1.36024e+06
11-02-2014,459570,537169,214719,87058,1.29853e+06,32075,18355,8432,58862,1.35739e+06
12-02-2014,439196,530873,212361,119497,1.30193e+06,33620,17968,8095,59683,1.36161e+06
13-02-2014,415836,553689,219575,131617,1.32072e+06,30466,17912,7927,56305,1.37703e+06
14-02-2014,412392,531667,228944,109122,1.28212e+06,31116,17607,9388,58111,1.34024e+06
15-02-2014,327440,506689,206054,143191,1.18338e+06,28683,15113,7242,51038,1.23442e+06
16-02-2014,325672,499020,202917,131871,1.15948e+06,23920,14191,6855,44966,1.20445e+06
17-02-2014,423978,543401,208407,110164,1.28595e+06,33525,18127,12234,63886,1.34983e+06
18-02-2014,477326,543107,211295,95456,1.32719e+06,32441,18437,10586,61464,1.38866e+06
19-02-2014,506514,539904,218124,80471,1.34501e+06,31376,17398,9698,58472,1.40349e+06
20-02-2014,476547,533453,222106,107139,1.33925e+06,32582,16322,8758,57662,1.39691e+06
21-02-2014,449269,551288,219269,101858,1.32169e+06,34019,19001,7532,60552,1.38224e+06
22-02-2014,352031,495172,204540,128017,1.17977e+06,25242,14458,5718,45418,1.22519e+06
23-02-2014,310220,473800,192573,127459,1.10405e+06,23039,13563,5752,42354,1.1464e+06
24-02-2014,364779,528720,197522,120958,1.21198e+06,30877,16894,9243,57014,1.269e+06
25-02-2014,411933,525725,201666,98280,1.23760e+06,30384,16448,9532,56364,1.29397e+06
26-02-2014,469376,531121,208576,81540,1.29062e+06,30827,17921,9126,57874,1.3485e+06
27-02-2014,477037,525521,208755,84599,1.29591e+06,30641,18404,9305,58350,1.35426e+06
28-02-2014,464396,532797,208271,72471,1.27794e+06,28482,16837,9690,55009,1.33295e+06
01-03-2014,444308,502163,191863,56326,1.19466e+06,23847,15306,5607,44760,1.23942e+06
02-03-2014,382654,502781,191978,86855,1.16427e+06,22505,14208,5817,42530,1.2068e+06
03-03-2014,406793,513633,199152,117940,1.23752e+06,31655,18020,10275,59950,1.29748e+06
04-03-2014,462897,537494,200408,79308,1.28012e+06,32341,18168,8628,59137,1.33925e+06
05-03-2014,476483,534864,199078,71831,1.28227e+06,34412,18301,7444,60157,1.34242e+06
06-03-2014,429782,532185,200051,98366,1.26039e+06,31063,18098,8309,57470,1.31786e+06
07-03-2014,365218,534130,197389,131130,1.22787e+06,31497,18449,8896,58842,1.28672e+06
08-03-2014,354510,507961,186774,87460,1.13671e+06,23456,8692,7035,39183,1.17589e+06
09-03-2014,291817,473959,179678,101006,1.04646e+06,21587,8503,7159,37249,1.08371e+06
10-03-2014,398219,528096,188112,79478,1.19391e+06,28597,13569,8820,50986,1.2449e+06
11-03-2014,417870,525565,188676,64771,1.1969e+06,31433,14839,6913,53185,1.25008e+06
12-03-2014,408364,539884,188641,71052,1.20795e+06,30463,17554,7406,55423,1.26337e+06
13-03-2014,402818,545559,185711,77151,1.21124e+06,28659,15038,9064,52761,1.264e+06
14-03-2014,375397,538349,191317,104664,1.20973e+06,29014,15603,8728,53345,1.26307e+06
15-03-2014,311340,495681,179353,127200,1.11357e+06,22153,11350,8700,42203,1.15577e+06
16-03-2014,314774,464372,188616,108696,1.07646e+06,20359,11826,7609,39794,1.11626e+06
17-03-2014,382489,532167,208814,123077,1.24655e+06,26462,17816,10258,54536,1.30109e+06
18-03-2014,417790,531692,209993,101623,1.26112e+06,28617,20192,7592,56401,1.31752e+06
19-03-2014,389226,528431,209984,113844,1.24148e+06,28399,18679,9299,56377,1.29786e+06
20-03-2014,390436,520089,209646,126621,1.2468e+06,27573,19124,10392,57089,1.30388e+06
21-03-2014,372136,508985,197722,91245,1.17009e+06,32159,15550,9182,56891,1.22698e+06
22-03-2014,353832,482884,184207,90464,1.11139e+06,24136,13503,5912,43551,1.15494e+06
23-03-2014,354798,466408,177755,66899,1.06586e+06,20606,14038,4323,38967,1.10483e+06
24-03-2014,460507,501696,185359,59248,1.20682e+06,26731,17770,6245,50746,1.25756e+06
25-03-2014,428236,514042,186907,74305,1.20349e+06,28165,18328,7048,53541,1.25703e+06
26-03-2014,427231,512294,187391,100823,1.22775e+06,30139,19465,5685,55289,1.28304e+06
27-03-2014,438764,481562,188530,76801,1.18566e+06,29106,17271,6058,52435,1.2381e+06
28-03-2014,436917,466814,182987,75562,1.16228e+06,28057,22337,6394,56788,1.21907e+06
29-03-2014,380160,439426,174199,65044,1.05883e+06,20689,19322,2793,42804,1.10164e+06
30-03-2014,340354,415223,166347,48345,970274,20615,15328,1851,37794,1.00807e+06
31-03-2014,446300,468934,190487,65710,1.17144e+06,29937,18746,7845,56528,1.22796e+06
01-04-2014,469724,446256,194266,78470,1.18872e+06,31572,20737,5307,57616,1.24634e+06
02-04-2014,459607,439014,193088,84724,1.17644e+06,27457,22291,3528,53276,1.22972e+06
03-04-2014,461404,430239,190870,84898,1.1674e+06,27178,20588,3876,51642,1.21905e+06
04-04-2014,429356,422753,190387,110728,1.15323e+06,28856,19563,4392,52811,1.20604e+06
05-04-2014,434774,432624,172851,73642,1.1139e+06,22690,15966,2100,40756,1.15465e+06
06-04-2014,393630,394858,167350,67755,1.0236e+06,23269,16375,2404,42048,1.06564e+06
07-04-2014,422220,446951,188347,75108,1.13263e+06,26525,20086,4945,51556,1.18419e+06
08-04-2014,397418,434161,182495,99756,1.11384e+06,27065,19628,5128,51821,1.16566e+06
09-04-2014,406556,447575,184865,110940,1.14993e+06,28700,18874,3739,51313,1.20125e+06
10-04-2014,464405,471638,188047,66572,1.19067e+06,26713,18940,4561,50214,1.24088e+06
11-04-2014,443914,467474,189395,59126,1.15991e+06,24645,20828,3738,49211,1.20912e+06
12-04-2014,397760,425265,165329,80389,1.06875e+06,19091,20736,1497,41324,1.11007e+06
13-04-2014,317880,394558,162185,108299,982924,21177,18911,3177,43265,1.02619e+06
14-04-2014,369186,428285,175649,110194,1.08332e+06,28889,25375,5133,59397,1.14271e+06
15-04-2014,386850,461010,180923,95055,1.12384e+06,26379,23311,5498,55188,1.17903e+06
16-04-2014,406244,470323,181471,71461,1.1295e+06,29470,21958,5720,57148,1.18665e+06
17-04-2014,356738,460752,177333,94664,1.08949e+06,26712,22253,6226,55191,1.14468e+06
18-04-2014,347847,431132,166088,77283,1.02236e+06,18871,17627,6120,42618,1.06498e+06
19-04-2014,345114,415180,165130,52933,978367,20888,14788,2720,38396,1.01676e+06
20-04-2014,287738,366361,155400,67944,877447,19786,9666,3010,32462,909909
21-04-2014,297991,385170,156253,72142,911564,23408,13591,2647,39646,951210
22-04-2014,334106,447272,165623,75440,1.02245e+06,27796,15758,6643,50197,1.07265e+06
23-04-2014,345581,457052,174869,77759,1.05527e+06,27967,15915,7418,51300,1.10657e+06
24-04-2014,380950,442212,179480,83344,1.08599e+06,28500,15907,7443,51850,1.13784e+06
25-04-2014,381162,421656,176313,71690,1.05083e+06,29963,14621,7251,51835,1.10266e+06
26-04-2014,337724,388871,164441,63161,954197,27230,10666,2279,40175,994372
27-04-2014,317636,367731,161232,56094,902701,22991,11611,1664,36266,938967
28-04-2014,352132,423538,171603,67835,1.01511e+06,30972,14422,2714,48108,1.06322e+06
29-04-2014,358261,424454,172599,66235,1.02156e+06,31371,16241,3412,51024,1.07258e+06
30-04-2014,383182,391547,181644,68306,1.02468e+06,33431,15260,2796,51487,1.07617e+06
01-05-2014,327622,349191,174014,68705,919532,29243,10798,3026,43067,962599
02-05-2014,351502,390242,182547,63763,988054,32293,15389,1964,49646,1.0377e+06
03-05-2014,330923,357747,178782,72422,939883,27543,11296,5040,43879,983762
04-05-2014,330649,344057,179595,63398,917711,22751,11208,2955,36914,954625
05-05-2014,388710,377636,193828,72600,1.03278e+06,26219,14090,5106,45415,1.07819e+06
06-05-2014,385149,384059,193200,91155,1.05356e+06,26589,13544,4916,45049,1.09861e+06
07-05-2014,391754,387412,196491,75071,1.05072e+06,25538,14116,6516,46170,1.0969e+06
08-05-2014,400177,360343,196256,85341,1.04212e+06,23625,16914,5789,46328,1.08845e+06
09-05-2014,391118,351055,192145,73901,1.00823e+06,24402,11800,4042,40244,1.04847e+06
10-05-2014,350521,303791,166755,60264,881335,20832,10997,2147,33976,915311
11-05-2014,324123,298126,157694,65639,845580,21344,10508,2353,34205,879785
12-05-2014,380318,346276,170782,76494,973883,26594,12570,6579,45743,1.01963e+06
13-05-2014,384492,353389,175712,99595,1.01319e+06,27459,13537,6867,47863,1.06106e+06
14-05-2014,397510,352597,182322,84634,1.01708e+06,27618,15681,7023,50322,1.0674e+06
