Date,Total Vol,NO Buy Vol,NO Sell Vol,SE Buy Vol,SE Sell Vol,DK Buy Vol,DK Sell Vol,FI Buy Vol,FI Sell Vol,Nordic Buy Vol,Nordic Sell Vol,Baltic Buy Vol,Baltic Sell Vol
01-01-2014,884300,340886,299489,355291,408669,58534.4,101167,134389,98827.4,889099,908152,42944.1,23891.8
02-01-2014,1.02091e+06,378381,373477,395229,449284,84394.1,93826.9,152884,107438,1.01089e+06,1.02403e+06,47289.7,34152.2
03-01-2014,999570,370183,351857,390348,442626,76113.8,101328,151959,107010,988604,1.00282e+06,55180.8,40963
04-01-2014,933224,347920,332070,362855,419280,66868.5,86929.5,144882,102373,922525,940653,48741,30613.1
05-01-2014,951251,349025,367521,380999,421858,74217.6,73429.9,142502,102470,946744,965280,48783.8,30247.5
06-01-2014,961145,382402,342777,370852,427429,72326.2,113921,140261,101000,965842,985128,54456.5,35170.1
07-01-2014,1.0379e+06,381550,383386,404347,442532,82848.9,100860,158790,116062,1.02754e+06,1.04284e+06,54583.1,39279.4
08-01-2014,1.04899e+06,386373,389696,402298,450712,85760.4,92894.7,157399,117472,1.03183e+06,1.05078e+06,57520.9,38576.5
09-01-2014,1.04998e+06,393550,405291,408717,447588,80545.4,89579.4,158362,117191,1.04117e+06,1.05965e+06,52833.3,34358.1
10-01-2014,1.07753e+06,406219,410900,422025,461532,79796.7,96320.1,162305,111272,1.07035e+06,1.08002e+06,53238.7,43561.4
11-01-2014,1.05685e+06,397779,392735,409704,455431,74279.5,93257.7,160161,117153,1.04192e+06,1.05858e+06,52140.8,35488.2
12-01-2014,1.06477e+06,407855,406579,423122,458774,71387.9,97202,161463,116363,1.06383e+06,1.07892e+06,48630.7,33540.6
13-01-2014,1.28675e+06,457750,522195,525958,528168,103509,97310.7,192188,135295,1.2794e+06,1.28297e+06,53015.3,49451.1
14-01-2014,1.27964e+06,464397,536210,490629,518284,116367,78317.4,191145,138149,1.26254e+06,1.27096e+06,54630.5,46206.6
15-01-2014,1.28007e+06,468101,541061,501746,505621,105161,90229,193206,139909,1.26821e+06,1.27682e+06,56279.4,47673.6
16-01-2014,1.23986e+06,454649,480962,485674,496516,86644.5,112398,191528,140293,1.2185e+06,1.23017e+06,58353.7,46680.3
17-01-2014,1.24656e+06,456720,495274,479809,512941,99566.5,91622.2,195228,138973,1.23132e+06,1.23881e+06,59183,51697.1
18-01-2014,1.14276e+06,438074,423487,438026,476210,69565.8,109215,181393,133789,1.12706e+06,1.1427e+06,54723.4,39080.4
