GWh,,,
Hydro reservoir in GWh,,,
Data was last updated 28-12-2018,,,
,NO,SE,FI
01 - 18,51959,17222,3415
02 - 17,50102,16533,3328
03 - 17,48484,15735,3213
04 - 17,46780,15049,3073
05 - 17,44240,14159,2929
06 - 17,41458,13006,2765
07 - 17,39043,12132,2657
08 - 17,37381,11406,2574
09 - 17,35222,10534,2457
10 - 17,32716,9540,2327
11 - 17,31142,8862,2246
12 - 17,29456,8156,2127
13 - 17,28601,7636,2040
14 - 17,28251,7398,1992
15 - 17,27589,7203,1989
16 - 17,26148,6838,1952
17 - 17,24236,6373,1956
18 - 17,23543,6615,2092
19 - 17,23183,6873,2184
20 - 17,28682,8474,2402
21 - 17,33857,11123,3033
22 - 17,37965,12696,3432
23 - 17,44950,15186,3707
24 - 17,50159,18185,3834
25 - 17,53631,20285,3911
26 - 17,55720,21751,3948
27 - 17,56950,22576,3906
28 - 17,58713,24418,3970
29 - 17,60102,25453,4012
30 - 17,61742,26000,3977
31 - 17,64004,26679,3981
32 - 17,65357,26900,3990
33 - 17,66620,27290,3955
34 - 17,66678,27381,3897
35 - 17,66334,27241,3915
36 - 17,66891,26887,3878
37 - 17,68380,27346,4038
38 - 17,68189,27182,4048
39 - 17,68088,26797,3997
40 - 17,70394,27180,3982
41 - 17,70449,27269,3991
42 - 17,70854,27470,4013
43 - 17,71179,27397,4007
44 - 17,70968,27244,3953
45 - 17,69864,26901,4030
46 - 17,68313,26302,4079
47 - 17,67072,25651,4077
48 - 17,64762,24901,4072
49 - 17,64229,24360,4079
50 - 17,61616,23368,4060
51 - 17,60398,22745,4042
52 - 17,59449,22188,4039
