Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 24-04-2017,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
01-01-2015,26.99,24.91,24.91,24.91,24.91,24.91,16.31,18.2,27.23,27.23,27.23,28.43,28.43,28.43,24.91,33.1,33.1,
02-01-2015,26.45,24.99,24.99,24.99,24.99,25.17,4.97,11.62,27.55,27.55,27.55,28.79,28.79,28.79,25.17,26.26,26.26,
03-01-2015,26.81,24.06,24.06,24.06,24.06,24.32,15.29,15.5,27.19,27.18,27.19,28.41,28.41,28.41,24.32,28.31,28.31,
04-01-2015,28.12,28.25,28.25,28.25,28.25,28.58,21.06,21.55,28.1,28.08,28.1,28.57,28.57,28.57,29.34,29.34,29.34,
05-01-2015,36.55,33.05,33.05,38.45,38.45,41.25,38,38.41,34.93,34.93,31.14,33.05,33.05,33.05,41.25,41.96,41.96,
06-01-2015,29.72,29.84,29.84,29.84,29.84,32.45,29.26,30.27,29,29,29,29.84,29.84,29.84,32.45,38.55,38.55,
07-01-2015,30.55,31.27,31.27,31.79,32.26,32.92,29.2,32.26,28.94,28.94,28.94,31.33,31.33,31.33,32.92,38.49,38.49,
08-01-2015,28.16,28.52,28.52,28.52,28.52,29.9,24.95,28.52,27.17,27.17,27.17,28.85,28.85,28.85,29.9,40.38,40.38,
09-01-2015,27.79,28.45,28.45,28.45,28.45,33.23,23.26,28.45,27.26,26.61,27.26,28.59,28.59,28.59,33.23,39.48,39.48,
10-01-2015,26.48,27.81,27.81,27.81,27.81,28.69,14.93,27.81,25.93,25.81,25.93,27.83,27.83,27.84,28.99,38.78,38.78,
11-01-2015,25.82,26.56,26.56,26.56,26.56,27.26,3.74,26.56,25.66,25.28,25.66,27.43,27.43,27.43,27.26,39.27,39.27,
12-01-2015,29.3,29.53,29.53,29.53,29.53,50.24,11.22,28.81,28.36,26.52,28.2,29.55,29.55,29.55,50.24,51.59,51.59,
13-01-2015,29.67,33.07,33.07,33.07,33.07,48.26,23.38,30.86,26.25,26.25,26.25,33.07,33.07,33.07,48.26,51.05,51.05,
14-01-2015,29.69,29.9,29.9,29.9,29.9,34.09,24.58,26.22,28.87,27.63,28.57,29.96,29.96,29.96,34.09,50.82,50.82,
15-01-2015,28.09,29.15,29.15,29.15,29.15,35.49,23.18,25.54,27.18,26.1,27.18,29.19,29.19,29.19,35.49,40.71,40.71,
16-01-2015,27.97,28.65,28.65,28.65,28.65,33.2,20.31,26.16,27.12,26.59,27.12,28.94,28.94,28.94,33.2,39.98,39.98,
17-01-2015,28.09,28.54,28.54,28.54,28.54,28.57,27.26,28.91,27.33,27.32,27.33,28.69,28.69,28.69,28.57,38.91,38.91,
18-01-2015,28.15,28.18,28.18,28.18,28.18,28.18,27.1,28.18,28,28,28,28.61,28.61,28.61,28.18,32.29,32.29,
19-01-2015,34.36,31.34,31.34,32.83,34.11,38.39,34.37,34.37,32.83,32.83,31.97,31.34,31.34,31.34,38.39,40.47,40.47,
20-01-2015,35.54,33.73,33.73,35.1,35.52,36.61,40.44,40.51,29.86,29.86,29.86,33.73,33.73,33.73,36.61,40.43,40.43,
21-01-2015,38.88,39.35,39.35,40.14,41.2,40.66,41.35,41.71,29.55,29.55,29.55,39.35,39.35,39.35,40.66,42.77,42.77,
22-01-2015,39.73,40.83,40.83,41.14,41.91,41.59,41.84,42.1,30.95,30.95,30.95,40.83,40.83,40.83,41.59,44.14,44.17,
23-01-2015,39.56,38.5,38.5,39.64,40.37,40.52,39.49,40.73,38.78,38.78,38.78,38.5,38.5,38.5,40.52,43.69,43.69,
24-01-2015,28.43,28.58,28.58,28.58,28.58,29.01,27.62,28.58,28.2,28.18,28.2,28.77,28.77,28.77,29.01,37.22,37.22,
25-01-2015,28.7,28.79,28.79,28.79,29.05,28.79,28.13,29.05,28.38,28.38,28.38,29.18,29.18,29.18,28.79,39.23,39.23,
26-01-2015,29.15,29.03,29.03,29.03,29.03,37.83,28.31,29.03,28.45,28.41,28.45,29.13,29.13,29.13,37.83,43.08,43.08,
27-01-2015,29.73,29.03,29.03,29.11,29.82,41.68,27.33,30.7,29.09,29.06,29.09,29.23,29.23,29.23,41.68,45.61,45.61,
28-01-2015,27.81,27.79,27.79,27.79,27.79,32.48,26.24,27.79,27.55,27.35,27.55,28.02,28.02,28.02,32.48,41.01,41.01,
29-01-2015,27.74,27.48,27.48,27.48,27.48,31.91,26.75,26.92,27.48,27.48,27.48,28.13,28.13,28.13,31.91,39.11,39.11,
30-01-2015,30.44,29.9,29.9,30.32,30.32,33.65,30.32,30.32,30.32,30.32,30.32,29.96,29.96,29.96,33.65,38.87,38.87,
31-01-2015,28.05,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.17,28.17,28.17,28.04,38.31,38.31,
01-02-2015,27.83,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,28.44,28.44,28.44,27.75,29.59,29.59,
02-02-2015,32.95,30.42,30.42,34.77,35.18,34.91,32.44,35.18,32.44,32.44,32.44,30.76,30.76,30.76,34.91,40.48,40.48,
03-02-2015,37.28,33.1,33.1,38.06,39.33,38.18,38.06,39.33,37.95,37.95,37.95,33.1,33.1,33.1,38.18,41.98,41.98,
04-02-2015,43.21,42.69,42.69,43.11,44.5,42.69,43.68,44.5,43.11,43.11,43.11,42.69,42.69,42.69,42.69,44.19,44.19,
05-02-2015,36.48,32.08,32.08,38.1,40.81,38.1,39.23,40.81,38.1,38.1,38.1,32.08,32.08,32.08,38.1,42.34,42.34,
06-02-2015,30.94,29.77,29.77,32.55,35.99,33.14,32.46,35.99,30.7,30.7,30.7,29.77,29.77,29.77,33.14,39.83,40.04,
07-02-2015,26.75,26.62,26.62,26.62,26.62,26.99,23.83,26.62,26.62,26.62,26.62,28.17,28.17,28.17,26.99,31.83,31.83,
08-02-2015,26.78,26.81,26.81,26.81,26.81,27.51,14.54,19,26.61,26.6,26.61,28.84,28.84,28.84,27.51,33.73,33.73,
09-02-2015,28.44,28.37,28.37,28.37,28.79,39.82,24.3,28.79,27.71,27.71,27.71,28.77,28.77,28.77,39.82,42.44,42.44,
10-02-2015,28.53,28.47,28.47,28.47,31.57,33.34,27.99,31.57,27.99,27.99,27.99,28.65,28.65,28.65,33.34,40.47,40.47,
11-02-2015,32.2,29.1,29.1,32.71,40.01,34.14,40.11,40.32,28.53,28.53,28.53,29.1,29.1,29.1,34.14,39.98,39.98,
12-02-2015,32.78,28.61,28.61,36.83,41.96,38.04,41.62,41.96,28.15,28.15,28.15,28.61,28.61,28.61,38.04,42.65,42.65,
13-02-2015,31.37,28.52,28.52,35.96,36.83,44.39,32.78,36.83,28.23,28.23,28.23,28.52,28.52,28.52,44.39,46.86,46.86,
14-02-2015,27.51,27.4,27.4,27.4,27.87,31.31,27.39,29.88,27.39,27.39,27.38,27.46,27.46,27.49,31.31,40.14,40.14,
15-02-2015,26.45,26.37,26.37,26.37,26.37,28.7,26.37,26.37,26.37,26.37,26.37,26.54,26.54,26.54,28.7,38.63,38.63,
16-02-2015,27.9,27.62,27.62,27.62,27.62,37.14,27.55,27.62,27.55,27.55,27.55,27.63,27.63,27.63,37.14,39.56,39.56,
17-02-2015,29.32,27.86,27.86,31.49,37.61,38.11,33.14,37.61,27.99,27.99,27.99,27.86,27.86,27.86,38.11,41.06,41.06,
18-02-2015,27.36,27.33,27.33,27.33,27.64,36.71,27.01,27.64,27.01,27.01,27.01,27.33,27.33,27.33,36.71,41.35,41.35,
19-02-2015,26.13,25.96,25.96,25.96,25.96,34.32,25.96,25.96,25.96,25.96,25.96,26.1,26.1,26.1,34.32,39,39,
20-02-2015,25.83,25.67,25.67,25.67,25.67,32.44,25.67,25.67,25.67,25.67,25.67,25.82,25.82,25.82,32.44,39.78,39.78,
21-02-2015,25.92,25.9,25.9,25.9,25.9,27.19,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,27.19,37.68,37.68,
22-02-2015,25.62,25.6,25.6,25.6,25.6,26.09,25.6,25.6,25.6,25.6,25.6,25.64,25.64,25.64,26.09,35.68,35.68,
23-02-2015,25.68,25.57,25.57,25.57,25.57,27.72,23.71,25.57,25.57,25.57,25.57,26.1,26.1,26.1,27.72,30.66,30.66,
24-02-2015,26.04,25.91,25.91,25.91,25.91,33.52,25.91,25.91,25.91,25.91,25.91,25.92,25.92,25.92,33.52,40.01,40.01,
25-02-2015,26.68,26.37,26.37,26.37,29.63,30.58,29.72,30.5,26.25,26.25,26.25,26.48,26.48,26.48,30.58,41.93,41.93,
26-02-2015,26.33,26.3,26.3,26.3,28.09,29.36,26.25,28.09,26.12,26.12,26.12,26.32,26.32,26.32,29.36,42.07,42.07,
27-02-2015,25.76,25.6,25.6,25.6,27.44,30.95,25.72,27.44,25.67,25.67,25.67,25.73,25.73,25.73,30.95,39.68,39.68,
28-02-2015,25.3,25.29,25.29,25.29,28.14,25.76,24.97,28.14,25.29,25.29,25.29,25.38,25.38,25.38,32.7,40.56,40.56,
01-03-2015,22.82,22.35,22.35,22.35,22.35,22.35,13.17,17.09,23.31,23.31,23.31,23.63,23.63,23.63,22.35,29.56,29.56,
02-03-2015,25.32,25.18,25.18,25.18,25.18,29.89,25.18,25.18,25.18,25.18,25.18,25.27,25.27,25.27,29.89,37.63,37.63,
03-03-2015,25.76,25.6,25.6,25.6,25.6,32.71,25.58,25.6,25.58,25.58,25.58,25.6,25.6,25.6,32.71,35.08,35.08,
04-03-2015,26.62,26.39,26.39,26.39,26.39,33.88,26.39,26.39,26.36,26.36,26.36,26.39,26.39,26.39,33.88,37.56,37.56,
05-03-2015,28.67,27.34,27.34,30.17,34.01,35.94,30.78,34.12,27.43,27.43,27.43,27.34,27.34,27.34,35.94,37.07,37.07,
06-03-2015,26.37,26.16,26.16,27.87,27.87,31.5,27.11,27.87,26.07,26.07,26.07,26.16,26.16,26.16,31.5,31.91,31.91,
07-03-2015,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,23.63,24.33,24.33,
08-03-2015,21.32,21.28,21.28,21.28,21.28,21.28,20.63,21.28,21.28,21.28,21.28,21.64,21.64,21.64,21.28,21.28,21.28,
09-03-2015,25.35,25.25,25.25,25.41,32.62,25.41,30.85,32.98,25.16,25.16,25.16,25.25,25.25,25.25,33.59,34.99,34.99,
10-03-2015,24.56,24.4,24.4,24.4,24.4,32.54,24.4,24.4,24.4,24.4,24.4,24.47,24.47,24.47,32.89,34.19,34.19,
11-03-2015,26.08,25.68,25.68,27.25,30.14,32.43,30.4,30.44,24.84,24.84,24.84,25.71,25.71,25.71,32.44,33.16,33.16,
12-03-2015,27.36,26.88,26.88,33.4,33.61,34.4,33.91,33.92,25.29,25.29,25.29,26.88,26.88,26.88,34.4,35.1,35.1,
13-03-2015,25.75,25.42,25.42,26.34,26.72,32.55,26.34,26.72,25.21,25.21,25.21,25.42,25.42,25.42,32.55,32.83,32.83,
14-03-2015,24.33,24.26,24.26,24.26,24.26,25.63,24.26,24.26,24.26,24.26,24.26,24.69,24.69,24.68,26.06,26.06,26.06,
15-03-2015,24.13,24.06,24.06,24.06,24.06,24.17,24.06,24.06,24.06,24.06,24.06,25.08,25.08,24.77,24.69,25.18,25.18,
16-03-2015,24.65,24.44,24.44,24.44,24.44,33.46,24.38,24.44,24.38,24.38,24.38,24.44,24.44,24.44,33.46,36.7,36.7,
17-03-2015,25.26,25.24,25.24,25.24,25.24,31.19,25.16,25.26,24.69,24.69,24.69,25.24,25.24,25.24,31.19,33.8,33.8,
18-03-2015,26.66,27.45,27.45,27.45,29.06,28.92,35.04,35.04,25.03,25.03,25.03,27.45,27.45,27.45,34.51,35.33,35.33,
19-03-2015,26.42,26.01,26.01,26.8,28.83,27.76,33.75,33.75,25.54,25.54,25.54,26.01,26.01,26.01,30.71,31.65,31.65,
20-03-2015,26.44,26.81,26.81,29.32,29.32,30.91,30.73,30.76,25.39,25.39,25.39,26.81,26.81,26.81,30.91,34,34,
21-03-2015,24.22,24.28,24.28,24.28,24.28,24.31,24.13,24.28,24.13,24.13,24.13,24.4,24.4,24.4,24.31,28.28,28.28,
22-03-2015,24.33,24.38,24.38,24.38,24.38,24.38,24.38,24.42,24.29,24.29,24.29,24.38,24.38,24.38,24.38,33.39,33.39,
23-03-2015,25.03,24.94,24.94,24.94,24.94,31.75,24.8,25.17,24.82,24.82,24.82,24.94,24.94,24.94,31.75,32.02,32.02,
24-03-2015,28.26,26.59,26.59,29.46,30.46,31.25,41.2,41.27,25.59,25.59,25.59,26.59,26.59,26.59,32.05,32.06,32.06,
25-03-2015,27.53,26.75,26.75,27.1,27.1,33.23,27.04,27.47,25.37,25.37,25.37,26.75,26.75,26.75,33.26,33.26,33.26,
26-03-2015,25.92,25.78,25.78,25.78,25.97,29.55,27.96,33.74,25.53,25.53,24.72,25.78,25.78,25.78,29.65,29.65,29.65,
27-03-2015,26.7,26.91,26.91,27.87,27.87,30.13,27.72,31.1,27.27,27.27,24.61,26.91,26.91,26.91,30.92,33.87,33.87,
28-03-2015,24.41,25,25,25,25,26.98,23.72,25,24.04,24.04,24.04,25,25,25,31.67,35.53,35.53,
29-03-2015,23.19,23.28,23.28,23.28,23.28,23.28,21.81,23.28,23.21,23.21,23.21,23.31,23.31,23.31,25.49,25.64,25.64,
30-03-2015,24.52,25.22,25.22,25.22,25.22,34.66,21.5,25.22,23.91,23.9,23.91,25.22,25.22,25.22,34.66,34.73,34.73,
31-03-2015,24.93,25.34,25.34,25.34,25.34,32.78,22.47,25.34,24.38,24.38,24.38,25.34,25.34,25.34,32.78,32.83,32.83,
01-04-2015,25.06,25.42,25.42,25.42,25.42,37.96,18.36,23.79,24.8,24.8,24.8,25.42,25.42,25.42,37.96,38.81,38.81,
02-04-2015,25.13,25.17,25.17,25.17,25.17,32.49,24.73,25.17,24.92,24.92,24.92,25.17,25.17,25.17,32.95,35.45,36.06,
03-04-2015,24.73,24.73,24.73,24.73,24.73,25.35,24.51,24.73,24.73,24.73,24.73,24.74,24.74,24.74,27.98,36.98,43.79,
04-04-2015,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.76,25.76,
05-04-2015,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,27.99,32.77,32.77,
06-04-2015,25.4,25.39,25.39,25.39,25.39,25.43,25.39,25.39,25.39,25.39,25.39,25.39,25.39,25.39,31.72,34.68,34.68,
07-04-2015,26.07,25.81,25.81,25.81,25.81,34.68,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,34.68,37.35,37.92,
08-04-2015,25.75,25.54,25.54,25.54,25.54,29.31,30.91,30.95,25.54,25.54,25.54,25.54,25.54,25.54,29.31,35.24,37.35,
09-04-2015,26.7,25.73,25.73,25.79,28.83,29.33,38.79,38.79,25.75,25.75,25.75,25.73,25.73,25.73,29.33,35.6,36.89,
10-04-2015,26.36,26.24,26.24,28.62,28.62,33.29,31.65,31.65,25,25,25,26.66,26.66,26.58,33.29,39.24,50.84,
11-04-2015,24.66,24.7,24.7,24.7,24.7,27.25,24.29,24.7,24.33,24.33,24.33,25.6,25.6,25.56,27.25,34.52,34.52,
12-04-2015,21.86,21.71,21.71,21.71,21.71,21.71,6.77,16.55,21.76,21.76,21.76,24.44,24.44,24.44,21.71,23.4,23.4,
13-04-2015,24.02,23.83,23.83,23.83,23.83,31.54,20.02,23.83,23.7,23.7,23.7,25.58,25.58,25.58,31.54,35,35.77,
