Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,,
Data was last updated 07-02-2017,,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
01-01-2015,00 - 01,27.48,27.38,27.38,27.38,27.38,27.38,25.02,27.38,27.4,27.4,27.4,28.16,28.16,28.16,27.38,30.03,30.03,
01-01-2015,01 - 02,26.68,23.37,23.37,23.37,23.37,23.37,18.29,18.29,27.07,27.07,27.07,28.05,28.05,28.05,23.37,29.59,29.59,
01-01-2015,02 - 03,26.23,19.33,19.33,19.33,19.33,19.33,16.04,16.04,26.93,26.93,26.93,27.98,27.98,27.98,19.33,29.56,29.56,
01-01-2015,03 - 04,25.95,17.66,17.66,17.66,17.66,17.66,14.6,14.6,26.83,26.83,26.83,27.94,27.94,27.94,17.66,29.5,29.5,
01-01-2015,04 - 05,25.91,17.53,17.53,17.53,17.53,17.53,14.95,14.95,26.81,26.81,26.81,27.95,27.95,27.95,17.53,17.53,17.53,
01-01-2015,05 - 06,26.24,18.07,18.07,18.07,18.07,18.07,14.5,14.5,26.97,26.97,26.97,28.07,28.07,28.07,18.07,30.52,30.52,
01-01-2015,06 - 07,26.81,25.23,25.23,25.23,25.23,25.23,10.76,10.76,27.07,27.07,27.07,28.39,28.39,28.39,25.23,30.51,30.51,
01-01-2015,07 - 08,26.82,26.8,26.8,26.8,26.8,26.8,12.01,12.01,26.8,26.8,26.8,28.48,28.48,28.48,26.8,30.52,30.52,
01-01-2015,08 - 09,26.96,26.97,26.97,26.97,26.97,26.97,12.39,12.39,26.97,26.97,26.97,28.47,28.47,28.47,26.97,30.53,30.53,
01-01-2015,09 - 10,26.74,26.29,26.29,26.29,26.29,26.29,14.04,14.04,26.98,26.98,26.98,28.49,28.49,28.49,26.29,26.29,26.29,
01-01-2015,10 - 11,26.75,26.06,26.06,26.06,26.06,26.06,14.68,14.68,27.06,27.06,27.06,28.5,28.5,28.5,26.06,26.06,26.06,
01-01-2015,11 - 12,26.77,25.56,25.56,25.56,25.56,25.56,16.08,16.08,27.13,27.13,27.13,28.53,28.53,28.53,25.56,25.56,25.56,
01-01-2015,12 - 13,26.79,25.91,25.91,25.91,25.91,25.91,16.08,16.08,27.09,27.09,27.09,28.57,28.57,28.57,25.91,25.91,25.91,
01-01-2015,13 - 14,26.59,25.42,25.42,25.42,25.42,25.42,16.05,25.42,27.01,27.01,27.01,28.6,28.6,28.6,25.42,25.42,25.42,
01-01-2015,14 - 15,27.01,26.78,26.78,26.78,26.78,26.78,16.04,26.78,26.98,26.98,26.98,28.65,28.65,28.65,26.78,45.01,45.01,
01-01-2015,15 - 16,27.62,27.51,27.51,27.51,27.51,27.51,16.1,27.51,27.51,27.51,27.51,28.7,28.7,28.7,27.51,45.08,45.08,
01-01-2015,16 - 17,28.29,28.32,28.32,28.32,28.32,28.32,23.93,28.32,28.32,28.32,28.32,28.58,28.58,28.58,28.32,46,46,
01-01-2015,17 - 18,28.34,28.36,28.36,28.36,28.36,28.36,26.9,28.36,28.36,28.36,28.36,28.55,28.55,28.55,28.36,46,46,
01-01-2015,18 - 19,28.22,28.18,28.18,28.18,28.18,28.18,26.36,28.18,28.18,28.18,28.18,28.52,28.52,28.52,28.18,46.01,46.01,
01-01-2015,19 - 20,27.91,27.81,27.81,27.81,27.81,27.81,23.98,27.81,27.81,27.81,27.81,28.51,28.51,28.51,27.81,46.02,46.02,
01-01-2015,20 - 21,27.54,27.46,27.46,27.46,27.46,27.46,16.09,16.09,27.46,27.46,27.46,28.63,28.63,28.63,27.46,45.08,45.08,
01-01-2015,21 - 22,27.13,27.06,27.06,27.06,27.06,27.06,14.08,14.08,27.06,27.06,27.06,28.78,28.78,28.78,27.06,31.57,31.57,
01-01-2015,22 - 23,26.92,26.4,26.4,26.4,26.4,26.4,12.44,12.44,27,27,27,28.66,28.66,28.66,26.4,28.05,28.05,
01-01-2015,23 - 00,25.96,18.36,18.36,18.36,18.36,18.36,0.04,0.04,26.83,26.83,26.83,28.49,28.49,28.49,18.36,28.07,28.07,
02-01-2015,00 - 01,24.79,17.78,17.78,17.78,17.78,17.78,−12.11,−12.11,26.71,26.71,26.71,28.16,28.16,28.16,17.78,28.1,28.1,
02-01-2015,01 - 02,22.23,9.62,9.62,9.62,9.62,9.62,−19.63,−19.63,26.41,26.41,26.41,28.22,28.22,28.22,9.62,9.62,9.62,
02-01-2015,02 - 03,20.93,7.67,7.67,7.67,7.67,7.67,−19.37,−19.37,26.2,26.2,26.2,28.15,28.15,28.15,7.67,7.67,7.67,
02-01-2015,03 - 04,18.57,10.83,10.83,10.83,10.83,10.83,−31.41,−31.41,25.6,25.6,25.6,28.19,28.19,28.19,10.83,10.83,10.83,
02-01-2015,04 - 05,18.59,23.14,23.14,23.14,23.14,23.14,−31.41,−31.41,24.74,24.74,24.74,28.24,28.24,28.24,23.14,23.14,23.14,
02-01-2015,05 - 06,24.55,26.1,26.1,26.1,26.1,26.1,−13.48,−13.48,26.1,26.1,26.1,28.45,28.45,28.45,26.1,26.1,26.1,
02-01-2015,06 - 07,27.1,27.25,27.25,27.25,27.25,27.25,0.08,0.08,27.25,27.25,27.25,28.85,28.85,28.85,27.25,28.48,28.48,
02-01-2015,07 - 08,28.34,28.37,28.37,28.37,28.37,28.37,10.06,28.37,28.37,28.37,28.37,28.97,28.97,28.97,28.37,28.37,28.37,
02-01-2015,08 - 09,28.4,28.37,28.37,28.37,28.37,28.37,14.25,28.37,28.37,28.37,28.37,29,29,29,28.37,28.37,28.37,
02-01-2015,09 - 10,28.38,28.32,28.32,28.32,28.32,28.32,14.56,28.32,28.32,28.32,28.32,29.14,29.14,29.14,28.32,28.32,28.32,
