Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2019,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
01-01-2018,00 - 01,26.31,26.33,26.33,26.33,26.33,26.33,21.8,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33
01-01-2018,01 - 02,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43
01-01-2018,02 - 03,26.09,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1
01-01-2018,03 - 04,24.63,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
01-01-2018,04 - 05,24.67,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74
01-01-2018,05 - 06,24.24,18.01,18.01,18.01,18.01,18.01,18.01,18.01,24.76,24.76,24.76,24.67,24.67,24.67,18.01,18.01,18.01
01-01-2018,06 - 07,24.18,17.78,17.78,17.78,17.78,17.78,10.18,10.18,24.98,24.98,24.98,24.98,24.98,24.98,17.78,17.78,17.78
01-01-2018,07 - 08,24.29,17.8,17.8,17.8,17.8,17.8,17.8,17.8,25.71,25.71,25.71,25.61,25.61,25.61,17.8,17.8,17.8
01-01-2018,08 - 09,24.15,19.76,19.76,19.76,19.76,19.76,19.76,19.76,25.48,25.48,25.48,25.48,25.48,25.48,19.76,19.76,19.76
01-01-2018,09 - 10,24.26,20.73,20.73,20.73,20.73,20.73,20.73,20.73,25.54,25.54,25.54,25.54,25.54,25.54,20.73,20.73,20.73
01-01-2018,10 - 11,25.84,24.76,24.76,24.76,24.76,24.76,24.76,24.76,26.07,26.07,26.07,26.07,26.07,26.07,24.76,24.76,24.76
01-01-2018,11 - 12,26.06,25.68,25.68,25.68,25.68,25.68,25.68,25.68,26.12,26.12,26.12,26.12,26.12,26.12,25.68,25.68,25.68
01-01-2018,12 - 13,25.86,24.09,24.09,24.09,24.09,24.09,16.56,19.99,26.16,26.16,26.16,26.16,26.16,26.16,24.09,24.09,24.09
