Dato,NO2-pris
1/1/19 0:00,"48,77"
1/1/19 1:00,"49,25"
1/1/19 2:00,"49,17"
1/1/19 3:00,"48,37"
1/1/19 4:00,"47,19"
1/1/19 5:00,"47,37"
1/1/19 6:00,"48,16"
1/1/19 7:00,"49,09"
1/1/19 8:00,"47,63"
1/1/19 9:00,"47,99"
1/1/19 10:00,"49,2"
1/1/19 11:00,"49,39"
1/1/19 12:00,"49,2"
1/1/19 13:00,"49,13"
1/1/19 14:00,"48,33"
1/1/19 15:00,"48,45"
1/1/19 16:00,"48,98"
1/1/19 17:00,"49,45"
1/1/19 18:00,"48,89"
1/1/19 19:00,"48,91"
1/1/19 20:00,"49,31"
1/1/19 21:00,"49,1"
1/1/19 22:00,"49,42"
1/1/19 23:00,"49,12"
1/2/19 0:00,"49,16"
1/2/19 1:00,"48,14"
1/2/19 2:00,"48,14"
1/2/19 3:00,"47,24"
1/2/19 4:00,"47,53"
1/2/19 5:00,"47,98"
1/2/19 6:00,"49,44"
1/2/19 7:00,"50,11"
1/2/19 8:00,"50,74"
1/2/19 9:00,"50,74"
1/2/19 10:00,"50,69"
1/2/19 11:00,"50,27"
1/2/19 12:00,"49,94"
1/2/19 13:00,"50,11"
1/2/19 14:00,"50,93"
1/2/19 15:00,"52,38"
1/2/19 16:00,"54,67"
1/2/19 17:00,"55,58"
1/2/19 18:00,"55,39"
1/2/19 19:00,"54,9"
1/2/19 20:00,"53,86"
1/2/19 21:00,"52,71"
1/2/19 22:00,"52,09"
1/2/19 23:00,"50,76"
1/3/19 0:00,"50,03"
1/3/19 1:00,"48,89"
1/3/19 2:00,"48,31"
1/3/19 3:00,"48,4"
1/3/19 4:00,"48,79"
1/3/19 5:00,"49,61"
1/3/19 6:00,"51,17"
1/3/19 7:00,"53,91"
1/3/19 8:00,"58,86"
1/3/19 9:00,"59,14"
1/3/19 10:00,"58,19"
1/3/19 11:00,"61,47"
1/3/19 12:00,62
1/3/19 13:00,"63,12"
1/3/19 14:00,"63,67"
1/3/19 15:00,"66,13"
1/3/19 16:00,"68,41"
1/3/19 17:00,"69,55"
1/3/19 18:00,"65,67"
1/3/19 19:00,"61,51"
1/3/19 20:00,"56,04"
1/3/19 21:00,"54,44"
1/3/19 22:00,"52,09"
1/3/19 23:00,"49,98"
1/4/19 0:00,"49,98"
1/4/19 1:00,"48,67"
1/4/19 2:00,"47,71"
1/4/19 3:00,"47,64"
1/4/19 4:00,"47,43"
1/4/19 5:00,"48,58"
1/4/19 6:00,"50,87"
1/4/19 7:00,"52,32"
1/4/19 8:00,"54,44"
1/4/19 9:00,"54,18"
1/4/19 10:00,"53,9"
1/4/19 11:00,"53,01"
1/4/19 12:00,"51,74"
1/4/19 13:00,"51,6"
1/4/19 14:00,"51,41"
1/4/19 15:00,"51,69"
1/4/19 16:00,"52,59"
1/4/19 17:00,"53,34"
1/4/19 18:00,"52,81"
1/4/19 19:00,"51,79"
1/4/19 20:00,"51,04"
1/4/19 21:00,"50,45"
1/4/19 22:00,"49,79"
1/4/19 23:00,"49,02"
1/5/19 0:00,"48,42"
1/5/19 1:00,"47,52"
1/5/19 2:00,"47,19"
1/5/19 3:00,47
1/5/19 4:00,"47,01"
1/5/19 5:00,"47,33"
1/5/19 6:00,"47,59"
1/5/19 7:00,"48,22"
1/5/19 8:00,"49,99"
1/5/19 9:00,"50,73"
1/5/19 10:00,"50,93"
1/5/19 11:00,"51,02"
1/5/19 12:00,"51,36"
1/5/19 13:00,"51,74"
1/5/19 14:00,"51,92"
1/5/19 15:00,"53,22"
1/5/19 16:00,"55,26"
1/5/19 17:00,"55,87"
1/5/19 18:00,"55,26"
1/5/19 19:00,"53,8"
1/5/19 20:00,"52,75"
