Dato,NO2-pris
2019-01-01 01:00:00,49.25
2019-01-01 02:00:00,49.17
2019-01-01 03:00:00,48.37
2019-01-01 04:00:00,47.19
2019-01-01 05:00:00,47.37
2019-01-01 06:00:00,48.16
2019-01-01 07:00:00,49.09
2019-01-01 08:00:00,47.63
2019-01-01 09:00:00,47.99
2019-01-01 10:00:00,49.2
2019-01-01 11:00:00,49.39
2019-01-01 12:00:00,49.2
2019-01-01 13:00:00,49.13
2019-01-01 14:00:00,48.33
2019-01-01 15:00:00,48.45
2019-01-01 16:00:00,48.98
2019-01-01 17:00:00,49.45
2019-01-01 18:00:00,48.89
2019-01-01 19:00:00,48.91
2019-01-01 20:00:00,49.31
2019-01-01 21:00:00,49.1
2019-01-01 22:00:00,49.42
2019-01-01 23:00:00,49.12
2019-01-02 00:00:00,49.16
2019-01-02 01:00:00,48.14
2019-01-02 02:00:00,48.14
2019-01-02 03:00:00,47.24
2019-01-02 04:00:00,47.53
2019-01-02 05:00:00,47.98
2019-01-02 06:00:00,49.44
2019-01-02 07:00:00,50.11
2019-01-02 08:00:00,50.74
2019-01-02 09:00:00,50.74
2019-01-02 10:00:00,50.69
2019-01-02 11:00:00,50.27
2019-01-02 12:00:00,49.94
2019-01-02 13:00:00,50.11
2019-01-02 14:00:00,50.93
2019-01-02 15:00:00,52.38
2019-01-02 16:00:00,54.67
2019-01-02 17:00:00,55.58
2019-01-02 18:00:00,55.39
2019-01-02 19:00:00,54.9
2019-01-02 20:00:00,53.86
2019-01-02 21:00:00,52.71
2019-01-02 22:00:00,52.09
2019-01-02 23:00:00,50.76
2019-01-03 00:00:00,50.03
2019-01-03 01:00:00,48.89
2019-01-03 02:00:00,48.31
2019-01-03 03:00:00,48.4
2019-01-03 04:00:00,48.79
2019-01-03 05:00:00,49.61
2019-01-03 06:00:00,51.17
2019-01-03 07:00:00,53.91
2019-01-03 08:00:00,58.86
2019-01-03 09:00:00,59.14
2019-01-03 10:00:00,58.19
2019-01-03 11:00:00,61.47
2019-01-03 12:00:00,62.0
