Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type,Approach,Model
"Heydari A., Majidi Nezhad M., Pirshayan E., Astiaso Garcia D., Keynia F., De Santoli L.",Short-term electricity price and load forecasting in isolated power grids based on composite neural network and gravitational search optimization algorithm,2020,2,"Electricity price forecasting is a key aspect for market participants to maximize their economic efficiency in deregulated markets. Nevertheless, due to its non-linearity and non-stationarity, the trend of the price is usually complicated to predict. On the other hand, the accuracy of short-term electricity price and load forecasting is fundamental for an efficient management of electric systems. An accurate prediction can benefit future plans and economic operations of the power systems’ operators. In this paper, a new and accurate combined model has been proposed for short-term load forecasting and short-term price forecasting in deregulated power markets. It includes variational mode decomposition, mix data modeling, feature selection, generalized regression neural network and gravitational search algorithm. A mixed data model for the price and load forecast has been considered and integrated with the original signal series of price and load and their decomposition. Throughout this model, the candidate input variables are chosen by a distinct hybrid feature selection. Two reliable electricity markets (Pennsylvania-New Jersey-Maryland and Spanish electricity markets) have been used to test the proposed forecasting model and the obtained results have been compared with different valid benchmark prediction models. Lastly, the real load data of Favignana Island's power grid have been considered to test the proposed model. The obtained results pinpointed that the proposed model's precision and stability is higher than in other benchmark forecasting models. © 2020 Elsevier Ltd",Electricity price forecasting; Feature selection; Generalized Regression Neural Network; Load forecasting; Optimization algorithm; Power grid management,Deregulation; Electric power plant loads; Electric power transmission networks; Feature extraction; Forecasting; Neural networks; Power markets; Predictive analytics; Deregulated power markets; Electricity price forecasting; Generalized regression neural networks; Gravitational search algorithms; Hybrid feature selections; Short term load forecasting; Short-term price forecasting; Spanish electricity markets; Electric load forecasting; algorithm; artificial neural network; benchmarking; electricity generation; electricity supply; forecasting method; market conditions; nonlinearity; optimization; power plant; precision; prediction; Aegadian Islands; Favignana; Italy; Maryland; New Jersey; Pennsylvania; Sicily; Trapani; United States,5,2,2,1,Article,1,c
"Halužan M., Verbič M., Zorić J.",Performance of alternative electricity price forecasting methods: Findings from the Greek and Hungarian power exchanges,2020,1,"This paper evaluates the performance of alternative algorithms for day-ahead electricity price forecasting. Forecasting performance is assessed based on evidence from the Greek and Hungarian Power Market simulation. The electricity price formation process is simulated on a long time series spanning from January 2015 to September 2018. The EPF models are structured upon the explanatory variables that are available to the market participants before the exchange gate closure, through the publicly available ENTSO-E transparency platform. Relationships between the electricity spot price and explanatory variables are estimated by the selected econometric, data mining, and machine learning algorithms. The econometric autoregressive model with exogeneous explanatory variables is a benchmark model, as the other alternative approaches are used to overcome the linearity bias in the ordinary least squares estimator. We analyse the impact of a different training sample size as well as the impact of training on an hourly clustered sample on the forecasting performance. The support vector machine algorithm turned out to be the best alternative approach, with the lowest mean absolute error and statistically confirmed better forecasts compared to the benchmark econometric autoregressive model. The majority of the tested algorithms perform better with smaller training samples, whereas neural network based approaches prefer large training samples. Models with hourly clustered training samples have higher accuracy based on the Hungarian evidence, while hourly non-clustered training is a superior training method based on the Greek findings. © 2020 Elsevier Ltd",Artificial neural networks; Data mining; Electricity price forecasting; ENTSOE-E transparency platform; Greek power exchange; Hungarian power exchange; Learning sample size; Machine learning; Rolling-window,Data mining; Forecasting; Learning algorithms; Power quality; Sampling; Support vector machines; Alternative algorithms; Electricity price forecasting; Electricity spot price; Forecasting performance; Network-based approach; Ordinary least squares estimators; Power market simulation; Support vector machine algorithm; Power markets; accuracy assessment; algorithm; alternative energy; artificial neural network; econometrics; error analysis; machine learning; numerical model; performance assessment; support vector machine; time series; vector autoregression; Alfold; Hungary,5,1,2,1,Article,"1, 4",a
"Ribeiro M.H.D.M., Stefenon S.F., Lima J.D.D., Nied A., Mariani V.C., Coelho L.D.S.",Electricity price forecasting based on self-adaptive decomposition and heterogeneous ensemble learning,2020,,"Electricity price forecasting plays a vital role in the financial markets. This paper proposes a self-adaptive, decomposed, heterogeneous, and ensemble learning model for short-term electricity price forecasting one, two, and three-months-ahead in the Brazilian market. Exogenous variables, such as supply, lagged prices and demand are considered as inputs signals of the forecasting model. Firstly, the coyote optimization algorithm is adopted to tune the hyperparameters of complementary ensemble empirical mode decomposition in the pre-processing phase. Next, three machine learning models, including extreme learning machine, gradient boosting machine, and support vector regression models, as well as Gaussian process, are designed with the intent of handling the components obtained through the signal decomposition approach with focus on time series forecasting. The individual forecasting models are directly integrated in order to obtain the final forecasting prices one to three-months-ahead. In this case, a grid of forecasting models is obtained. The best forecasting model is the one that has better generalization out-of-sample. The empirical results show the efficiency of the proposed model. Additionally, it can achieve forecasting errors lower than 4.2% in terms of symmetric mean absolute percentage error. The ranking of importance of the variables, from the smallest to the largest is, lagged prices, demand, and supply. This paper provided useful insights for multi-step-ahead forecasting in the electrical market, once the proposed model can enhance forecasting accuracy and stability. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Complementary ensemble empirical mode decomposition; Electricity price forecasting; Ensemble learning models; Exogenous variables; Short-term forecasting,Adaptive boosting; Costs; Forecasting; Machine learning; Signal processing; Support vector regression; Time series analysis; Electricity price forecasting; Ensemble empirical mode decomposition; Extreme learning machine; Heterogeneous ensembles; Machine learning models; Mean absolute percentage error; Optimization algorithms; Support vector regression models; Power markets,5,2,1,1,Article,6,"a, b"
"Zhang Y., Deng C., Zhao R., leto S.",A novel integrated price and load forecasting method in smart grid environment based on multi-level structure,2020,,"Prediction of load and price are two critical key in power system planning and operation. Most of the recent works in this area forecast the load and price signals separately but, a dynamic model in smart grid is evaluated while, the customers may have opportunity to react the proposed prices changing through shifting the electricity usages from expensive to cheaper hours. So, the load and price signals are coupled strongly which made the previous prediction models ineffective. In this research, a synthetic prediction approach has been proposed by considering the load and price signals, simultaneously. This method works as multi-input multi-output (MIMO) model based on least square support vector machine (LSSVM) forecast engine. Furthermore, a dyadic wavelet transform (DWT) is suggested in this approach to decompose the original signal into different small sub-signals. Beside of that, the modified mutual information (MMI) filter has been used to choose the best candidate input of forecast engine. The learning section is also coupled with novel modified optimization algorithm based on gravitational search algorithm (GSA) which called as modified GSA (MGSA). Finally, various forecasting errors have been considered as average mean absolute percentage error and error variance to get the comparison outcomes and performance of forecasting approaches. For this purpose, different markets have been considered as test case to show the efficiency of suggested approach. © 2020 Elsevier Ltd",DWT; Feature selection; Load and price prediction; LSSVM; MIMO model; Smart grids,Electric power system planning; Electric power transmission networks; Engines; Errors; Forecasting; Least squares approximations; MIMO systems; Predictive analytics; Signal processing; Smart power grids; Support vector machines; Wavelet transforms; Dyadic wavelet transform; Gravitational search algorithm (GSA); Least square support vector machines; Mean absolute percentage error; Multi-input-multi-output models; Optimization algorithms; Power system planning and operation; Price and load forecasting; Electric load forecasting,5,1,1,1,Article,4,
"Motamedi Sedeh O., Ostadi B.",Optimization of bidding strategy in the day-ahead market by consideration of seasonality trend of the market spot price,2020,,"Due to the liberalization of the electricity market, evaluation of competitor behaviors, as an uncertainty factor, is a critical information for a Generation Company (GenCo) to maximize its profit by optimizing bidding strategies. In this paper, a new bidding strategy model has been presented based on the Genetic Algorithm and a refined Monte Carlo simulation model. This process is done through the similarity function and consideration of the seasonality trend as the main characteristic of the electricity spot price. The main contributions of this paper include: (a): Consideration of the similarity value for all days in historical dates in the database, (b): Consideration of the seasonality trend of market clearing price by applying K-Means algorithm for clustering historical data based on demand, (c): Application of the proposed model for each cluster's data, (d): Performance evaluation of the fitness function of each generated strategy by a simulation model based on historical data. The proposed model has been tested for the 10 subsets of Iran's electricity market 2016. The obtained results show that the proposed model is statistically efficient, and the prediction accuracy of MCP by the proposed model can be improved by more than 25% and 11% compared with a simple simulation model and the hybrid of simulation and Q-learning model. © 2020 Elsevier Ltd",Deregulated market; Genetic algorithm; Monte Carlo simulation; Pay-as-bid; Similarity function,Electric industry; Function evaluation; Genetic algorithms; K-means clustering; Monte Carlo methods; Reinforcement learning; Day ahead market; Electricity spot price; Fitness functions; Generation companies; Market Clearing Price; Prediction accuracy; Similarity functions; Uncertainty factors; Power markets; computer simulation; electricity supply; genetic algorithm; Monte Carlo analysis; optimization; price dynamics; seasonality; Iran,5,1,1,1,Article,5,
"Fu T., Zhang S., Wang C.",Application and research for electricity price forecasting system based on multi-objective optimization and sub-models selection strategy,2020,,"In general, electricity prices reflect the cost to build, finance, maintain, and operate power plants and the electricity grid. Therefore, the cost-optimized scheduling of industrial loads with accurate price forecasts is very important. As such, recent studies have attempted to combine models to forecast electricity prices more accurately. Earlier combined models have tended to ignore the selection of sub-models and data analyses, leading to poor forecasting performance. In order to select the best forecasting models in a combined model, we propose a hybrid electricity price forecasting system that includes a data analysis module, a sub-model selection strategy module, optimized forecasting processing, and a model evaluation module. As such, the hybrid system fully exploits the advantages of a single model, thus improving the forecasting performance of the combined model. The experimental results show that the proposed system selects optimal sub-models effectively and successfully identifies future trend changes in the electricity price. Thus, the system can be an effective tool in the planning and implementation of smart grids. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",Combined model; Electricity prices; Hybrid forecasting system; Sub-models selection strategy,Costs; Electric power transmission networks; Forecasting; Hybrid systems; Multiobjective optimization; Power plants; Electricity grids; Electricity price forecasting; Electricity prices; Forecasting models; Forecasting performance; Industrial loads; Model evaluation; Price forecasts; Power markets,5,1,1,1,Article,6,"a, c"
Marcjasz G.,Forecasting electricity prices using deep neural networks: A robust hyper-parameter selection scheme,2020,1,"Deep neural networks are rapidly gaining popularity. However, their application requires setting multiple hyper-parameters, and the performance relies strongly on this choice. We address this issue and propose a robust ex-ante hyper-parameter selection procedure for the day-ahead electricity price forecasting that, when used jointly with a tested forecast averaging scheme, yields high performance throughout three-year long out-of-sample test periods in two distinct markets. Being based on a grid search with models evaluated on long samples, the methodology mitigates the noise induced by local optimization. Forecast averaging across calibration window lengths and hyper-parameter sets allows the proposed methodology to outperform a parameter-rich least absolute shrinkage and selection operator (LASSO)-estimated model and a deep neural network (DNN) with non-optimized hyper-parameters in terms of the mean absolute forecast error. © 2020 by the author. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/).",Artificial neural network; Deep learning; Electricity price forecasting; Hyper-parameter optimization; Machine learning,Costs; Deep neural networks; Forecasting; Power markets; Electricity price forecasting; Estimated model; Forecast errors; Forecasting electricity; Hyper-parameter; Least absolute shrinkage and selection operators; Local optimizations; Robust hyper-parameters; Neural networks,5,1,1,1,Article,1,a
"Lee C.-Y., Wu C.-E.",Short-term electricity price forecasting based on similar day-based neural network,2020,,"This paper presents four refined distance models to the application of forecasting short-term electricity price namely Euclidean norm, Manhattan distance, cosine coefficient, and Pearson correlation coefficient. The four refined models were constructed and used to select the days, which are like a reference day in electricity prices and loads, called similar days in this study. Using the similar days, the electricity prices of a forecast day were further obtained by similar day regression (SDR) and similar day based artificial neural network (SDANN). The simulation results of the case of the PJM (Pennsylvania, New Jersey and Maryland) interchange energy market indicate the superiority and availability of the selection 45 framework days and three similar days based on Pearson correlation coefficient model. © 2020 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/).",Artificial neural network; Electricity price; Linear regression; Similar-day method,Correlation methods; Costs; Forecasting; Power markets; Cosine coefficient; Electricity price forecasting; Electricity prices; Euclidean norm; Interchange energy; Manhattan distance; Pearson correlation coefficients; Refined model; Neural networks,5,1,1,1,Article,1,a
"Yang H., Schell K.R.",HFNet: Forecasting Real-Time Electricity Price via Novel GRU Architectures,2020,,"Electricity price forecasting is critical to numerous tasks in the power system such as strategic bidding, generation scheduling, optimal scheduling of storage reserves and system analysis. Most existing price forecasting models focus on hourly prediction for the day ahead market. This work focuses on the real-Time, 5-minute market, with the goal of developing a model able to capture both the long-and short-Term temporal distribution of the data. Extending the recent advances in deep learning models of time series forecasting, the proposed model-named HFnet-is a novel multi-branch Gated Recurrent Unit (GRU) architecture for electricity price forecasting. Extensive empirical analyses using real-Time data from the New York Independent System Operator (NYISO) illustrate the value of the proposed model when compared to state-of-Art prediction models, with an average reduction in error of 10%. © 2020 IEEE.",Deep Learning; feature engineering; GRU; price forecasting; Time Series Analysis; wavelet,Deep learning; Digital storage; Forecasting; Predictive analytics; Scheduling; Electricity price forecasting; Electricity prices; Empirical analysis; Generation scheduling; Independent system operators; Optimal scheduling; Strategic bidding; Temporal distribution; Power markets,5,1,1,1,Conference,2,
"MacIejowska K., Uniejewski B., Serafin T.",PCA forecast averaging - Predicting day-ahead and intraday electricity prices,2020,,"Recently, the development in combining point forecasts of electricity prices obtained with different length of calibration windows have provided an extremely efficient and simple tool for improving predictive accuracy. However, the proposed methods are strongly dependent on expert knowledge and may not be directly transferred from one to another model or market. Hence, we consider a novel extension and propose to use principal component analysis (PCA) to automate the procedure of averaging over a rich pool of predictions. We apply PCA to a panel of over 650 point forecasts obtained for different calibration windows length. The robustness of the approach is evaluated with three different forecasting tasks, i.e., forecasting day-ahead prices, forecasting intraday ID3 prices one day in advance, and finally very short term forecasting of ID3 prices (i.e., six hours before delivery). The empirical results are compared using the Mean Absolute Error measure and Giacomini and White test for conditional predictive ability (CPA). The results indicate that PCA averaging not only yields significantly more accurate forecasts than individual predictions but also outperforms other forecast averaging schemes. © 2020 by the authors.",Day-ahead market; Decision-making; Electricity price forecasting; EPF; Forecast averaging; Intraday market; Principal component analysis,Calibration; Costs; Day-ahead prices; Electricity prices; Expert knowledge; Individual prediction; Mean absolute error; Predictive abilities; Predictive accuracy; Very short term forecasting; Forecasting,5,1,"1, 3",1,Article,7,
