Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Document Type
"Contreras J., Espínola R., Nogales F.J., Conejo A.J.",ARIMA models to predict next-day electricity prices,2003,948.0,"Price forecasting is becoming increasingly relevant to producers and consumers in the new competitive electric power markets. Both for spot markets and long-term contracts, price forecasts are necessary to develop bidding strategies or negotiation skills in order to maximize benefit. This paper provides a method to predict next-day electricity prices based on the ARIMA methodology. ARIMA techniques are used to analyze time series and, in the past, have been mainly used for load forecasting, due to their accuracy and mathematical soundness. A detailed explanation of the aforementioned ARIMA models and results from mainland Spain and Californian markets are presented.",ARIMA models; Electricity markets; Forecasting; Market clearing price; Time series analysis,Electric loads; Electric power systems; Time series analysis; Price forecasting; Electricity,Article
"Nogales F.J., Contreras J., Conejo A.J., Espínola R.",Forecasting next-day electricity prices by time series models,2002,665.0,"In the framework of competitive electricity markets, power producers and consumers need accurate price forecasting tools. Price forecasts embody crucial information for producers and consumers when planning bidding strategies in order to maximize their benefits and utilities, respectively. This paper provides two highly accurate yet efficient price forecasting tools based on time series analysis: dynamic regression and transfer function models. These techniques are explained and checked against each other. Results and discussions from real-world case studies based on the electricity markets of mainland Spain and California are presented.",Electricity markets; Forecasting; Market clearing price; Time series analysis,Electricity markets; Electric industry; Electric load forecasting; Electric power utilization; Time series analysis; Transfer functions; Electric power systems,Article
"Conejo A.J., Plazas M.A., Espínola R., Molina A.B.",Day-ahead electricity price forecasting using the wavelet transform and ARIMA models,2005,646.0,"This paper proposes a novel technique to forecast day-ahead electricity prices based on the wavelet transform and ARIMA models. The historical and usually ill-behaved price series is decomposed using the wavelet transform in a set of better-behaved constitutive series. Then, the future values of these constitutive series are forecast using properly fitted ARIMA models. In turn, the ARIMA forecasts allow, through the inverse wavelet transform, reconstructing the future behavior of the price series and therefore to forecast prices. Results from the electricity market of mainland Spain in year 2002 are reported. © 2005 IEEE.",ARIMA models; Electricity market; Price forecasting; Wavelet transform,Costs; Data processing; Electric rates; Forecasting; Marketing; Mathematical models; Transfer functions; Wavelet transforms; ARIMA models; Electric price forecasting; Electricity market; Spain; Electric power systems,Article
"Garcia R.C., Contreras J., van Akkeren M., Garcia J.B.C.",A GARCH forecasting model to predict day-ahead electricity prices,2005,481.0,"Price forecasting is becoming increasingly relevant to producers and consumers in the new competitive electric power markets. Both for spot markets and long-term contracts, price forecasts are necessary to develop bidding strategies or negotiation skills in order to maximize profits. This paper provides an approach to predict next-day electricity prices based on the Generalized Autoregressive Conditional Heteroskedastic (GARCH) methodology that is already being used to analyze time series data in general. A detailed explanation of GARCH models is presented and empirical results from the mainland Spain and California deregulated electricity-markets are discussed. © 2005 IEEE.",Electricity markets; Forecasting; GARCH models; Time series analysis; Volatility,Costs; Deregulation; Electric utilities; Forecasting; Marketing; Mathematical models; Time series analysis; Electricity markets; Electricity prices; Generalized autoregressive conditional heteroskedastic models; Price forecasting; Price volatility; Electric power systems,Article
Szkuta B.R.,Electricity price short-term forecasting using artificial neural networks,1999,421.0,"This paper presents the System Marginal Price (SMP) short-term forecasting implementation using the Artificial Neural Networks (ANN) computing technique. The described approach uses the three-layered ANN paradigm with back-propagation. The retrospective SMP real-world data, acquired from the deregulated Victorian power system, was used for training and testing the ANN. The results presented in this paper confirm considerable value of the ANN based approach in forecasting the SMP.",,Backpropagation; Costs; Electric power generation; Forecasting; Learning systems; Marketing; Neural networks; Testing; Deregulated Victorian power system; Electricity market; Electricity price; Short term forecasting; System marginal price; Electric power systems,Article
"Conejo A.J., Contreras J., Espínola R., Plazas M.A.",Forecasting electricity prices for a day-ahead pool-based electric energy market,2005,332.0,"This paper considers forecasting techniques to predict the 24 market-clearing prices of a day-ahead electric energy market. The techniques considered include time series analysis, neural networks and wavelets. Within the time series procedures, the techniques considered comprise ARIMA, dynamic regression and transfer function. Extensive analysis is conducted using data from the PJM Interconnection. Relevant conclusions are drawn on the effectiveness and flexibility of any one of the considered techniques. Furthermore, they are exhaustively compared among themselves. © 2004 International Institute of Forecasters. Published by Elsevier B.V. All rights reserved.",Day-ahead price forecasting; Electricity market; Neural networks; Time series models; Wavelet models,,Article
Bunn D.W.,Forecasting loads and prices in competitive power markets,2000,321.0,"This paper provides a review of some of the main methodological issues and techniques which have become innovative in addressing the problem of forecasting daily loads and prices in the new competitive power markets. Particular emphasis is placed upon computationally intensive methods, including variable segmentation, multiple modeling, combinations, and neural networks for forecasting the demand side, and strategic simulation using artificial agents for the supply side.",,Artificial intelligence; Competition; Computer simulation; Electric load forecasting; Electric rates; Marketing; Mathematical models; Neural networks; Agent-based simulation; Electric utilities,Article
"Catalão J.P.S., Mariano S.J.P.S., Mendes V.M.F., Ferreira L.A.F.M.",Short-term electricity prices forecasting in a competitive market: A neural network approach,2007,302.0,"This paper proposes a neural network approach for forecasting short-term electricity prices. Almost until the end of last century, electricity supply was considered a public service and any price forecasting which was undertaken tended to be over the longer term, concerning future fuel prices and technical improvements. Nowadays, short-term forecasts have become increasingly important since the rise of the competitive electricity markets. In this new competitive framework, short-term price forecasting is required by producers and consumers to derive their bidding strategies to the electricity market. Accurate forecasting tools are essential for producers to maximize their profits, avowing profit losses over the misjudgement of future price movements, and for consumers to maximize their utilities. A three-layered feedforward neural network, trained by the Levenberg-Marquardt algorithm, is used for forecasting next-week electricity prices. We evaluate the accuracy of the price forecasting attained with the proposed neural network approach, reporting the results from the electricity markets of mainland Spain and California. © 2006 Elsevier B.V. All rights reserved.",Competitive market; Levenberg-Marquardt algorithm; Neural network; Price forecasting,Algorithms; Competition; Electricity; Feedforward neural networks; Forecasting; Marketing; Competitive market; Electricity market; Levenberg-Marquardt algorithm; Price forecasting; Cost accounting,Article
Amjady N.,Day-ahead price forecasting of electricity markets by a new fuzzy neural network,2006,287.0,"In this paper, an efficient method based on a new fuzzy neural network is proposed for short-term price forecasting of electricity markets. This fuzzy neural network has inter-layer and feed-forward architecture with a new hypercubic training mechanism. The proposed method predicts hourly market-clearing prices for the day-ahead electricity markets. By combination of fuzzy logic and an efficient learning algorithm, an appropriate model for the nonstationary behavior and outliers of the price series is presented. The proposed method is examined on the Spanish electricity market. It is shown that the method can provide more accurate results than the other price forecasting techniques, such as ARIMA time series, wavelet-ARIMA, MLP, and RBF neural networks. © 2006 IEEE.",Fuzzy neural network; Price forecast,Costs; Electric industry; Electric utilities; Feedforward neural networks; Fuzzy control; Learning algorithms; Mathematical models; Electricity markets; Fuzzy neural networks; Price forecasting; Electric load forecasting,Article
"Yun Z., Quan Z., Caixin S., Shaolan L., Yuming L., Yang S.",RBF neural network and ANFIS-based short-term load forecasting approach in real-time price environment,2008,284.0,"With the appearance of electricity markets, the variation of the price of electricity will influence usage custom of electric energy. This will complicate short-term load forecasting and challenge the existing forecasting methods that are applied to a fixed-price environment. In regard to the influence of real-time electricity prices on short-term load, a model to forecast short-term load is established by combining the radial basis function (RBF) neural network with the adaptive neural fuzzy inference system (ANFIS). The model first makes use of the nonlinear approaching capacity of the RBF network to forecast the load on the prediction day with no account of the factor of electricity price, and then, based on the recent changes of the real-time price, it uses the ANFIS system to adjust the results of load forecasting obtained by RBF network. This system integration will improve forecasting accuracy and overcome the defects of the RBF network. As shown in this paper by the results of an example of factual forecasting, the model presented can work effectively. © 2008 IEEE.",Adaptive neural fuzzy inference system; Power system; Radial basis function neural network; Real-time price; Short-term load forecasting,Feedforward neural networks; Forecasting; Fuzzy inference; Fuzzy systems; Image classification; Neural networks; Radial basis function networks; Adaptive neural fuzzy inference system; Electric energies; Electricity markets; Electricity pricing; Forecasting accuracy; Forecasting methods; Load forecasting; Power system; Radial basis function neural network; Radial basis function neural networks; RBF networks; RBF neural network; Real-time price; Short-term load forecasting; System integration; Electric load forecasting,Article
"Nicolaisen J., Petrov V., Tesfatsion L.",Market power and efficiency in a computational electricity market with discriminatory double-auction pricing,2001,260.0,"This study reports experimental market power and efficiency outcomes for a computational wholesale electricity market operating in the short run under systematically varied concentration and capacity conditions. The pricing of electricity is determined by means of a clearinghouse double auction with discriminatory midpoint pricing. Buyers and sellers use a modified Roth-Erev individual reinforcement learning algorithm to determine their price and quantity offers in each auction round. It is shown that high market efficiency is generally attained and that market microstructure is strongly predictive for the relative market power of buyers and sellers, independently of the values set for the reinforcement learning parameters. Results are briefly compared against results from an earlier study in which buyers and sellers instead engage in social mimicry learning via genetic algorithms.",Agent-based computational economics; Capacity; Concentration; Efficiency; Genetic algorithm social learning; Individual reinforcement learning; Market power; Repeated double auction; Restructuring; Wholesale electricity market,Commerce; Computational methods; Cost accounting; Economic and social effects; Electric power distribution; Genetic algorithms; Industrial economics; Computational economics; Market operations; Electric industry,Article
"Rodriguez C.P., Anders G.J.",Energy Price Forecasting in the Ontario Competitive Power System Market,2004,253.0,"This paper introduces a method for forecasting energy prices using artificial intelligence methods, such as neural networks and fuzzy logic, and a combination of the two. The new approach is compared with some of the exiting methods. Various factors affecting the market clearing price are investigated. Results for the Ontario electricity market are presented.",Artificial intelligence; Energy price forecasting; Fuzzy logic; Neural networks; Open access market,Artificial intelligence; Competition; Computational methods; Computer simulation; Electric load forecasting; Fuzzy sets; Marketing; Neural networks; Scheduling; Energy pricing forecasting; Open access market; Electric power systems,Article
"Conejo A.J., Nogales F.J., Arroyo J.M.",Price-taker bidding strategy under price uncertainty,2002,240.0,This paper provides a framework to obtain the optimal bidding strategy of a price-taker producer. An appropriate forecasting tool is used to estimate the probability density functions of next-day hourly market-clearing prices. This probabilistic information is used to formulate a self-scheduling profit maximization problem that is solved taking advantage of its particular structure. The solution of this problem allows deriving a simple yet informed bidding rule. Results from a realistic case study are discussed in detail.,Bidding strategy; Forecasting; MILP; Pool-based electricity market; Price-taker producer; Self-scheduling,Decision making; Matrix algebra; Probability density function; Problem solving; Scheduling; Price uncertainty; Price-taker bidding; Self-scheduling; Electric load forecasting,Article
"González A.M., San Roque A.M., García-González J.",Modeling and forecasting electricity prices with input/output hidden Markov models,2005,228.0,"In competitive electricity markets, in addition to the uncertainty of exogenous variables such as energy demand, water inflows, and availability of generation units and fuel costs, participants are faced with the uncertainty of their competitors' behavior. The analysis of electricity price time series reflects a switching nature, related to discrete changes in competitors' strategies, which can be represented by a set of dynamic models sequenced together by a Markov chain. In this paper, an Input-Output Hidden Markov Model (IOHMM) is proposed for analyzing and forecasting electricity spot prices. The model provides both good predictions in terms of accuracy as well as dynamic information about the market. In this way, different market states are identified and characterized by their more relevant explanatory variables. Moreover, a conditional probability transition matrix governs the probabilities of remaining in the same state, or changing to another, whenever a new market session is opened. The model has been successfully applied to real clearing prices in the Spanish electricity market. © 2005 IEEE.",Artificial neural networks; Electricity markets; Hidden Markov models; Modeling competitors' behavior; Price forecasting,Costs; Electric utilities; Forecasting; Learning algorithms; Markov processes; Mathematical models; Matrix algebra; Neural networks; Probability density function; Electricity markets; Hidden Markov models; Price forecasting; Probability transition matrix; Electric industry,Article
"Pindoriya N.M., Singh S.N., Singh S.K.",An adaptive wavelet neural network-based energy price forecasting in electricity markets,2008,218.0,"In a competitive electricity market, an accurate forecasting of energy prices is an important activity for all the market participants either for developing bidding strategies or for making investment decisions. An adaptive wavelet neural network (AWNN) is proposed in this paper for short-term price forecasting (STPF) in the electricity markets. A commonly used Mexican hat wavelet has been chosen as the activation function for hidden-layer neurons of feed-forward neural network (FFNN). To demonstrate the effectiveness of the proposed approach, day-ahead prediction of market clearing price (MCP) of Spain market, which is a duopoly market with a dominant player, and locational marginal price (LMP) forecasting in PJM electricity market, are considered. The forecasted results clearly show that AWNN has good prediction properties compared to other forecasting techniques, such as wavelet-ARIMA, multi-layer perceptron (MLP) and radial basis function (RBF) neural networks as well as recently proposed fuzzy neural network (FNN). © 2008 IEEE.",Adaptive wavelet neural network; Electricity markets; Feed-forward neural network; Locational marginal price forecasting; Short-term price forecasting,Activation energy; Artificial intelligence; Decision making; Electric load forecasting; Feedforward neural networks; Finance; Forecasting; Fuzzy neural networks; Image classification; Investments; Marketing; Radial basis function networks; Technological forecasting; Vegetation; Activation function; Adaptive wavelet neural network; Bidding strategies; Competitive electricity markets; Electricity markets; Energy pricing; Feed-forward neural network; Forecasting techniques; Fuzzy-neural-network; Investment decisions; Locational marginal price forecasting; Market clearing price; Market participants; Mexican Hat wavelet; Multi-Layer Perceptron; Prediction properties; Price forecasting; Radial basis function neural networks; Short-term price forecasting; Neural networks,Article
"Weron R., Misiorek A.",Forecasting spot electricity prices: A comparison of parametric and semiparametric time series models,2008,191.0,"This empirical paper compares the accuracy of 12 time series methods for short-term (day-ahead) spot price forecasting in auction-type electricity markets. The methods considered include standard autoregression (AR) models and their extensions - spike preprocessed, threshold and semiparametric autoregressions (i.e., AR models with nonparametric innovations) - as well as mean-reverting jump diffusions. The methods are compared using a time series of hourly spot prices and system-wide loads for California, and a series of hourly spot prices and air temperatures for the Nordic market. We find evidence that (i) models with system load as the exogenous variable generally perform better than pure price models, but that this is not necessarily the case when air temperature is considered as the exogenous variable; and (ii) semiparametric models generally lead to better point and interval forecasts than their competitors, and more importantly, they have the potential to perform well under diverse market conditions. © 2008 International Institute of Forecasters.",Autoregressive model; Conditional coverage; Electricity market; Interval forecasts; Nonparametric maximum likelihood; Price forecasts,,Article
"Catalão J.P.S., Pousinho H.M.I., Mendes V.M.F.",Hybrid wavelet-PSO-ANFIS approach for short-term electricity prices forecasting,2011,188.0,"A novel hybrid approach, combining wavelet transform, particle swarm optimization, and adaptive-network-based fuzzy inference system, is proposed in this paper for short-term electricity prices forecasting in a competitive market. Results from a case study based on the electricity market of mainland Spain are presented. A thorough comparison is carried out, taking into account the results of previous publications. Finally, conclusions are duly drawn. © 2010 IEEE.",Electricity market; fuzzy logic; neural networks; price forecasting; swarm optimization; wavelet transform,Adaptive network based fuzzy inference system; Competitive markets; Electricity market; Hybrid approach; Price forecasting; Short-term electricity prices forecasting; Swarm optimization; Commerce; Costs; Electric industry; Electric load forecasting; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Particle swarm optimization (PSO); Wavelet transforms,Article
"Amjady N., Keynia F.",Day-ahead price forecasting of electricity markets by mutual information technique and cascaded neuro-evolutionary algorithm,2009,186.0,"In a competitive electricity market, price forecasts are important for market participants. However, electricity price is a complex signal due to its nonlinearity, nonstationarity, and time variant behavior. In spite of much research in this area, more accurate and robust price forecast methods are still required. In this paper, a combination of a feature selection technique and cascaded neuro-evolutionary algorithm (CNEA) is proposed for this purpose. The feature selection method is an improved version of the mutual information (MI) technique. The CNEA is composed of cascaded forecasters where each forecaster consists of a neural network (NN) and an evolutionary algorithm (EA). An iterative search procedure is also incorporated in our solution strategy to fine-tune the adjustable parameters of both the MI technique and CNEA. The price forecast accuracy of the proposed method is evaluated by means of real data from the Pennsylvania-New Jersey-Maryland (PJM) and Spanish electricity markets. The method is also compared with some of the most recent price forecast techniques. © 2009 IEEE.",Cascaded neuro-evolutionary algorithm (CNEA); Iterative search procedure; Mutual information (MI); Price forecast,Algorithms; Costs; Electric load forecasting; Feature extraction; Forecasting; Marketing; Neural networks; Adjustable parameters; Cascaded neuro-evolutionary algorithm (CNEA); Competitive electricity markets; Complex signals; Day-ahead prices; Electricity markets; Electricity prices; Feature selection methods; Feature selections; Iterative search procedure; Market participants; Mutual information (MI); Neural-network; New jerseys; Non linearities; Non-stationarity; Price forecast; Solution strategies; Time variants; Evolutionary algorithms,Article
"Tan Z., Zhang J., Wang J., Xu J.",Day-ahead electricity price forecasting using wavelet transform combined with ARIMA and GARCH models,2010,174.0,"This paper proposes a novel price forecasting method based on wavelet transform combined with ARIMA and GARCH models. By wavelet transform, the historical price series is decomposed and reconstructed into one approximation series and some detail series. Then each subseries can be separately predicted by a suitable time series model. The final forecast is obtained by composing the forecasted results of each subseries. This proposed method is examined on Spanish and PJM electricity markets and compared with some other forecasting methods. © 2010 Elsevier Ltd.",ARIMA; GARCH; Price forecasting; Wavelet transform,Costs; Forecasting; Wavelet transforms; ARIMA; Electricity price forecasting; Forecasting methods; GARCH; GARCH models; Pjm electricity markets; Price forecasting; Time series modeling; Power markets; comparative study; electricity industry; energy market; forecasting method; price dynamics; time series; transform; wavelet analysis; Spain; United States,Article
"Troncoso Lora A., Riquelme Santos J.M., Gómez Expósito A., Martínez Ramos J.L., Riquelme Santos J.C.",Electricity market price forecasting based on weighted nearest neighbors techniques,2007,170.0,"This paper presents a simple technique to forecast next-day electricity market prices based on the weighted nearest neighbors methodology. First, it is explained how the relevant parameters defining the adopted model are obtained. Such parameters have to do with the window length of the time series and with the number of neighbors chosen for the prediction. Then, results corresponding to the Spanish electricity market during 2002 are presented and discussed. Finally, the performance of the proposed method is compared with that of recently published techniques. © 2007 IEEE.",Electricity market prices; Forecasting; Time series; Weighted nearest neighbors,Cost accounting; Costs; Forecasting; Industrial economics; Time series analysis; Electricity market prices; Price forecasting; Weighted nearest neighbors; Electric industry,Article
"Yamin H.Y., Shahidehpour S.M., Li Z.",Adaptive short-term electricity price forecasting using artificial neural networks in the restructured power markets,2004,162.0,"This paper proposes a comprehensive model for the adaptive short-term electricity price forecasting using Artificial Neural Networks (ANN) in the restructured power markets. The model consists: price simulation, price forecasting, and performance analysis. The factors impacting the electricity price forecasting, including time factors, load factors, reserve factors, and historical price factor are discussed. We adopted ANN and proposed a new definition for the MAPE using the median to study the relationship between these factors and market price as well as the performance of the electricity price forecasting. The reserve factors are included to enhance the performance of the forecasting process. The proposed model handles the price spikes more efficiently due to considering the median instead of the average. The IEEE 118-bus system and California practical system are used to demonstrate the superiority of the proposed model. © 2004 Elsevier Ltd. All rights reserved.",Artificial neural network; Load; Median; Price forecasting; Reserve; Restructured power market,Computer simulation; Costs; Data processing; Data transfer; Electric industry; Electric load management; Electricity; Forecasting; Information analysis; Marketing; Mathematical models; Load; Median; Price forecasting; Reserve; Restructured power market; Neural networks,Article
"Mandal P., Senjyu T., Urasaki N., Funabashi T., Srivastava A.K.",A novel approach to forecast electricity price for PJM using neural network and similar days method,2007,160.0,"Price forecasting in competitive electricity markets is critical for consumers and producers in planning their operations and managing their price risk, and it also plays a key role in the economic optimization of the electric energy industry. This paper explores a technique of artificial neural network (ANN) model based on similar days (SD) method in order to forecast day-ahead electricity price in the PJM market. To demonstrate the superiority of the proposed model, publicly available data acquired from the PJM Interconnection were used for training and testing the ANN. The factors impacting the electricity price forecasting, including time factors, load factors, and historical price factors, are discussed. Comparison of forecasting performance of the proposed ANN model with that of forecasts obtained from similar days method is presented. Daily and weekly mean absolute percentage error (MAPE) of reasonably small value and forecast mean square error (FMSE) of less than 7$MWh were obtained for the PJM data, which has correlation coefficient of determination R2 of 0.6744 between load and electricity price. Simulation results show that the proposed ANN model based on similar days method is capable of forecasting locational marginal price (LMP) in the PJM market efficiently and accurately. © 2007 IEEE.",Day-ahead electricity market; Electricity supply industry; Forecasting; Load forecasting; Neural nets; Neural network; Power markets; Price forecasting; Pricing; Similarity technique,Costs; Electric utilities; Forecasting; Marketing; Mean square error; Neural networks; Optimization; Forecast mean square error; Mean absolute percentage error; Price forecasting; Similar days method; Electricity,Article
"Chen X., Dong Z.Y., Meng K., Xu Y., Wong K.P., Ngan H.W.",Electricity price forecasting with extreme learning machine and bootstrapping,2012,157.0,"Artificial neural networks (ANNs) have been widely applied in electricity price forecasts due to their nonlinear modeling capabilities. However, it is well known that in general, traditional training methods for ANNs such as back-propagation (BP) approach are normally slow and it could be trapped into local optima. In this paper, a fast electricity market price forecast method is proposed based on a recently emerged learning method for single hidden layer feed-forward neural networks, the extreme learning machine (ELM), to overcome these drawbacks. The new approach also has improved price intervals forecast accuracy by incorporating bootstrapping method for uncertainty estimations. Case studies based on chaos time series and Australian National Electricity Market price series show that the proposed method can effectively capture the nonlinearity from the highly volatile price data series with much less computation time compared with other methods. The results show the great potential of this proposed approach for online accurate price forecasting for the spot market prices analysis. © 1969-2012 IEEE.",Bootstrapping; extreme learning machine; interval forecast; price forecast,Bootstrapping; Bootstrapping method; Chaos time series; Computation time; Data series; Electricity market; Electricity price forecasting; Electricity prices; Extreme learning machine; Forecast accuracy; Hidden layers; interval forecast; Learning methods; Local optima; National electricity markets; Non-Linearity; Nonlinear modeling; Price forecasting; Price forecasts; Spot market; Training methods; Uncertainty estimation; Volatile prices; Electric load forecasting; Forecasting; Learning systems; Neural networks; Costs,Article
"Sioshansi R., Short W.",Evaluating the impacts of real-time pricing on the usage of wind generation,2009,153.0,"One of the impediments to large-scale use of wind generation within power systems is its nondispatchability and variable and uncertain real-time availability. Operating constraints on conventional generators such as minimum generation points, forbidden zones, and ramping limits as well as system constraints such as power flow limits and ancillary service requirements may force a system operator to curtail wind generation in order to ensure feasibility. Furthermore, the pattern of wind availability and electricity demand may not allow wind generation to be fully utilized in all hours. One solution to these issues, which could reduce these inflexibilities, is the use of real-time pricing (RTP) tariffs which can both smooth-out the diurnal load pattern in order to reduce the impact of binding unit operating and system constraints on wind utilization, and allow demand to increase in response to the availability of costless wind generation. We use and analyze a detailed unit commitment model of the Texas power system with different estimates of demand elasticities to demonstrate the potential increases in wind generation from implementing RTP. © 2009 IEEE.",Power system economics; Real-time pricing; Unit commitment; Variable renewable energy resources; Wind power generation,Ancillary service; Demand elasticities; Electricity demands; Load patterns; Non-dispatchability; Operating constraints; Power flows; Power system economics; Power systems; Real-time pricing; System constraints; System operator; Time availability; Unit commitment; Unit commitments; Variable renewable energy resources; Wind generation; Wind utilizations; Costs; Economics; Electric power generation; Electric power transmission networks; Energy resources; Internet protocols; Power transmission; Rapid thermal annealing; Real time systems; Wind power,Article
