Name,Explination,Count,ID
MAE,,14,"1, 5, 11, 12, 13, 22, 24, 25, 37, 41, 46, 47, 48, 51"
RMSE,,16,"1, 7, 9, 11, 13, 14, 15, 18, 22, 26, 29, 32, 37, 41, 46, 51"
MAPE,,22,"1, 6, 7, 8, 11, 12, 13, 14, 16, 17, 24, 27, 31, 32, 37, 41, 46, 47, 48, 49, 50, 53"
CRPS,,7,"1, 7, 10, 15, 18, 19, 26"
None,,2,"2, 45"
PL,,4,"3, 5, 21, 35"
WS,,7,"3, 23, 38, 39, 40, 41, 42"
BS,,1,4
MDAE,,1,5
SMAPE,,1,7
MWE,,2,"9, 36"
APD,,1,10
ES,,2,"10, 18"
VS,,1,10
AbCE,,2,"11, 49"
MSE,,4,"12, 17, 28, 50"
MDM,,1,12
APE,,1,16
CRPSS,,1,19
R^2,,2,"20, 28"
UC,,8,"21, 23, 30, 42, 42, 47, 48, 51"
CC,,3,"21, 30, 42"
MDAPE,,1,22
PIW,,3,"23, 30, 43"
RI,,2,"24, 25"
Max PE,,2,"27, 50"
SDE,,2,"27, 32"
CFI,,1,28
RMSEA,,1,28
off-ratio,,1,29
AIC,,1,32
SSE,,1,32
PINC,,5,"33, 34, 38, 40, 41"
PICP,,7,"33, 34, 38, 39, 40, 41, 46"
ACE,,7,"33, 34, 38, 40, 41, 43, 44"
ECR,,1,33
SC,,1,34
CPA,,1,35
WU,,1,36
PINAW,,4,"38, 39, 41, 46"
CWC,,4,"38, 39, 40, 41"
ECP,,2,"43, 52"
TIC,,1,46
AWD,,1,46
Max AE,,1,50
RF,,1,52
