SID,Title,Representing probability approach,Performance metric(s) used,Reported results
S1,Probabilistic price forecasting for day-ahead and intraday markets: Beyond the statistical model,Interval,"MAE, RMSE, MAPE, CRPS","In terms of point forecast, the mean absolute error was 3.03 e/MWh for day-ahead market and a maximum value of 2.53 e/MWh was obtained for intraday session 6. The probabilistic forecast results show sharp forecast intervals and deviations from perfect calibration below 7% for all market sessions. In addition, MAE was fixed in 3.03 e/MWh, the RMSE in 4.04 e/MWh, the MAPE in 8.54% and the CRPS in 1.22%."
S2,Forecasting electricity prices with historical statistical information using neural networks and clustering techniques,Interval,None,Only visual representation of results
S3,Medium-Term Probabilistic Forecasting of Electricity Prices: A Hybrid Approach,Interval,"PL, WS",See paper
S4,Medium-term probabilistic forecasting of extremely low prices in electricity markets: Application to the Spanish case,Interval,BS,See paper
S5,Probabilistic forecasting of hourly electricity prices in the medium-term using spatial interpolation techniques,Interval,"PL, MAE, MDAE","Best PL results for 4 out 5 different percentiles. The one case where traditional models benchmarked are better is the lowest percentile, which might be reasonable as extremely low prices are difficult to model. MAE, MdAE for were for system state: 11.40,  7.57; Load levels: 11.79, 7.82, respectively."
S6,Extreme Interval Electricity Price Forecasting of Wholesale Markets Integrating ELM and Fuzzy Inference,Threshold,MAPE,ELM-fuzzy was better for the 85.71% of the examined cases. 
S7,Bayesian deep learning based method for probabilistic forecast of day-ahead electricity prices,Density,"RMSE, MAPE, SMAPE, CRPS","Italy: RMSE 9, MAPE 11.3, SMAPE 11.5, CRPS: 7.46
Belgian: RMSE 11.3, MAPE: 15.4, SMAPE: 16.1, CRPS: 9.21"
S8,Short-Term Hybrid Probabilistic Forecasting Model for Electricity Market Prices,Interval,MAPE,"Average MAPE of 4.65% (spanish) and 5.88% (PJM), Weekly error variance of 0.0014 (Spanish) and 0.0026 (PJM), "
S9,Multivariate exponential smoothing and dynamic factor model applied to hourly electricity price analysis,Density,"MWE, RMSE","best model RMSE: OMEL (0.256), Powernext (0.417), Nord Pool (0.182)"
S10,Conditional Density Forecast of Electricity Price Based on Ensemble ELM and Logistic EMOS,Density,"CRPS, APD, ES, VS","The presented results are:, CRPS avg: 1.9806, DM testing statistic t_n are all negative, implying bettter predictive skill for logistic, APD Both models perform poorly toward ends, logistic distribution achieves avg improve of 20.43%, ES and VS are for covariance structures"
S11,Electricity price forecasting with extreme learning machine and bootstrapping,Interval,"MAE, MAPE, RMSE, AbCE",From 0.12% ACE to 2.26% ACE
S12,Mid-term electricity market clearing price forecasting with sparse data: A case in newly-reformed yunnan electricity market,Interval,"MAE, MSE, MAPE, MDM","MAE as low as 3.10%, MAPE average 3.80%"
S13,Prediction and explanation of the formation of the Spanish day-ahead electricity price through machine learning regression,Interval,"MAE, RMSE, MAPE","RMSE = 2.78 €/MWh, MAE = 1.94 €/MWh, and MAPE = 5.9 %"
S14,Probabilistic forecasting of electricity prices using kernel regression,Density,"MAPE, RMSE","MAPE: 9.38%, IQR: 13.22, RMSE: 34.17"
S15,Comparing the forecasting performances of linear models for electricity prices with high RES penetration,Density,"RMSE, CRPS","Reported here for BVARX. Germany: RMSE: 6.642 CRPS: 3.451, Denmark: RMSE: 8.451 CRPS: 5.208, Italy: RMSE: 7.506 CRPS: 4.014, Spain: RMSE: 0.806 CRPS: 2.353."
S16,Short-term electricity price forecasting model using interval-valued autoregressive process,Threshold,"APE, MAPE",Absolute percentage error = 10.71%. Mean absolute percentage error is 4.95%
S17,Forecasting prices and volatilities using a hybrid fundamental econometric model,Other,"MSE, MAPE","Many results in paper, the best one is an average MAPE of 9.84%"
S18,Probabilistic multivariate electricity price forecasting using implicit generative ensemble post-processing,Density,"CRPS, ES, RMSE","Only IGEP model results are reported here: ES: 16.294, CRPS: 2.693, RMSE: 6.014"
S19,Predictive densities for day-ahead electricity prices using time-adaptive quantile regression,Density,"CRPS, CRPSS",average CRPS for QR-E: 25.18 and 23.06 for two different sets of quantiles. Average CRPS for Q_clim: 22.51 (Lower tail) and 12.15 (upper tail). CRPSS for QR-E: 0.55
S20,Forecasting hourly electricity prices for bidding optimization,Interval,R^2,"reports R^2 range for different external factors coefficient, but nothing more than a box-whisker plot on the actual forecasting results."
S21,Probabilistic electricity price forecasting with Bayesian stochastic volatility models,Density,"UC, CC, PL","In more cases than not the Bayesian approach is superior to the non-bayesian approach in terms of UC. Many results, see paper for more info. "
S22,A study of electricity price volatility for the Brazilian energy market,Interval,"MAE, RMSE, MDAPE","MAPEs are as low as 0.0018 (note, not sure if these are percentages really…), RMSE = 0.1058, MdAPE = -135"
S23,Probabilistic forecasting of electricity spot prices using Factor Quantile Regression Averaging,Interval,"UC, PIW, WS","FQRA results: 50% PI: Uncond. Avg. 46.66%, Mean (STD) 6.56 (4.37), Median (IQR) 5.59 (5.00), Winkler Score 14.04. 90% PI: Uncond. Avg. 86.84%, Mean (STD) 16.91 (10.25), Median (IQR) 14.31 (12.28), WInkler Score 25.11"
S24,Probabilistic electricity price forecasting models by aggregation of competitive predictors,Density,"MAPE, MAE, RI","Results from PPFMCP models, showed that PPFMCP model 2 was the best probabilistic model from the point of view of the mean absolute error values, as well as from the point of view of LI and RI values"
S25,New probabilistic price forecasting models: Application to the Iberian electricity market,Density,"MAE, RI",Difficult to assess results. RI = 84.2% for the best model (PPFM23 and MAE = 5.5
S26,Probabilistic forecasting of day-ahead electricity prices for the Iberian electricity market,Interval,"RMSE, CRPS","Not that great, best models seem to be KQR, QRNN and LQR at different periods. See paper or notes for more."
S27,Application of Gaussian process to locational marginal pricing forecasting,Interval,"MAPE, Max PE, SDE","Marginal improvements, some improvement in interpretability of errors. Average error: 1.97%, Max error: 8.71%, SD of Error: 1.82%."
S28,Improving electricity market price forecasting with factor models for the optimal generation bid,Interval,"R^2, MSE, CFI, RMSEA",the 3-factor model achieves CFI 0.775 and RMSEA 0.190. 
S29,A day-ahead electricity price prediction based on a fuzzy-neuro autoregressive model in a deregulated electricity market,Threshold,"RMSE, off-ratio","Total RMS: 9.23%
Ranging from 1% to 10%. Off ratio 1.1%. "
S30,Merging quantile regression with forecast averaging to obtain more accurate interval forecasts of Nord Pool spot prices,Interval,"UC, CC, PIW",Results: 49.77% and 89.33% unconditional coverage for the 50% and 90% PIs. See noters or paper for more.
S31,Hybrid forecasting model for short-term electricity market prices with renewable integration,Density,MAPE,"Spanish MAPE: 4.65%, PJM MAPE: 5.88%"
S32,Probability Prediction Method of Short-Term Electricity Price Based on Quantile Neural Network Model,Density,"MAPE, RMSE, SDE, AIC, SSE",The minimum value of its MAPE reaches 1.88.
S33,Probabilistic Forecasting of Hourly Electricity Price by Generalization of ELM for Usage in Improved Wavelet Neural Network,Interval,"PINC, PICP, ACE, ECR","Pretty good, see notes or paper for specifics"
S34,Probabilistic electricity price forecasting by improved clonal selection algorithm and wavelet preprocessing,Interval,"PICP, PINC, ACE, SC","All best results except last SC are from autumn australia week. For 90% PI: best results are PICP 89.28%, ACE -0.72%, SC 9.21 For 95% PI: best results are PCIP 95.24%, ACE 0.24%, SC 10.45 (summer). For more, see paper or notes."
S35,Averaging predictive distributions across calibration windows for day-ahead electricity price forecasting,Interval,"PL, CPA","QRM beats QRA on both datasets. Averaging Probabilistic Forecasts across Calibration Windows: QRA(14:7:364) best window. QRM(14:7:364) also yields good forecasts that are more accurate than QRM(T) for all T, but is in turn outperformed by more sparse sets of windows. In particular, QRM(14:7:28,308:28:364) denoted by black stars and QRM(14:28:70,308:28:364) denoted by dark red squares outperform all other combinations. In addition, they are computationally efficient—they require computing probabilistic forecasts for only six calibration windows. CPA results confirms the same"
S36,"Distributional modeling and short-term forecasting of electricity prices by Generalized Additive Models for Location, Scale and Shape",Density,"MWE, WU","See paper, too many results"
S37,Forecasting of electricity price through a functional prediction of sale and purchase curves,Density,"MAE, MAPE, RMSE",The NPFAR model leads to the best performance in 21 hours over 24. NPFAR model is significantly better than all other models in 16 hours over 24. See notes or paper for probabilistic results
S38,Prediction Interval Estimation of Electricity Prices Using PSO-Tuned Support Vector Machines,Interval,"PICP, PINC, ACE, PINAW, CWC, WS",See paper or notes for tables of results.
S39,Prediction interval estimation for electricity price and demand using support vector machines,Interval,"CWC, PINAW, PICP, WS",Provides results for each individual month in test. Results doesn't look too bad.. See paper or notes.
S40,Prediction interval estimations for electricity demands and prices: A multi-objective approach,Interval,"CWC, WS, ACE, PICP, PINC","Does outperform bencmarks, but hard to say how good it is. See paper or notes for more info."
S41,Point and interval forecasting of real-time and day-ahead electricity prices by a novel hybrid approach,Interval,"MAE, MAPE, RMSE, PINC, PICP, ACE, PINAW, CWC, WS","Point: MAE: 1.23, MAPE: 3.68%, RMSE: 1.89; PIs: ACE: 2.395, Score: -0.99, PINAW: 10.0175, CWC: 10.0175"
S42,Prediction intervals for electricity demand and price using functional data,Interval,"UC, CC, WS, UC","See paper, large tables of results"
S43,Pareto Optimal Prediction Intervals of Electricity Price,Interval,"ECP, ACE, PIW","NCP=80% gave ECP 80.07%, ACE 0.07%, AWPI 0.2147. NCP=90% gave: ECP 90.71%, ACE 0.71%, AWPI 0.2829"
S44,A hybrid approach for probabilistic forecasting of electricity price,Interval,ACE,0-7% ACE in the 95% confidence interval. 
S45,Electricity market clearing price forecasting in a deregulated electricity market,Threshold,None,None
S46,A novel system for multi-step electricity price forecasting for electricity market management,Interval,"MAE, RMSE, MAPE, TIC, PICP, PINAW, AWD","Results look average, they improve with the developed model but are not that good. See paper for more info."
S47,Neural network-based market clearing price prediction and confidence interval estimation with an improved extended Kalman filter method,Density,"MAE, MAPE, UC","MAE: 5.7 ($), MAPE: 11.1%"
S48,Energy clearing price prediction and confidence interval estimation with cascaded neural networks,Density,"MAE, MAPE, UC","MAE: 4.54 ($), MAPE: 8.80%, MAPE of ISO-NE: 9.73%, 51 days outside CI (of XX), Coverage: 66.6%"
S49,A statistical approach for interval forecasting of the electricity price,Interval,"MAPE, AbCE","MAPE and ACE are 8.4% and 4.38%, respectively, for june 2005. See table below for results in May, Aug and Dec."
S50,Electricity price forecasting with confidence-interval estimation through an extended ARIMA approach,Density,"Max AE, Max PE, MSE, MAPE","Case 1: Max AE=1.3811, Max RE=5.88, MSE=0.1447, Mean-RE1.45. Case 2: Max AE=12.1382, Max RE=12.14, MSE=10.347, Mean-RE1.57."
S51,Electricity price forecasting using sale and purchase curves: The X-Model,Interval,"UC, MAE, RMSE",Point forecasting: MAE of 4.35 and RMSE of 6.46. See paper/notes for evaluation of percentiles.
S52,Probabilistic mid- and long-term electricity price forecasting,Interval,"RF, ECP","Probability of x h-price below 0: We see that overall the forecasted probability for a negative price is about 0.77% for the X-Model whereas the observed prices exhibit a relative frequency of 0.88% which is with a relative error of about 10%
remarkably close for such a long forecasting horizon.

Empirical coverage: The lower quantiles till 35% seem to be overrepresented by around 30%, which means that our model underestimated the probability for low prices. The quantiles around 50–95% seem to be underrepresented which means that our model estimated the likelihood of higher prices too high
"
S53,Probabilistic day-ahead system marginal price forecasting with ANN for the Turkish electricity market,Interval,MAPE,"Point, avg MAPE: 8.165%"
