Authors,Title,Year,Cited by,Link,Abstract,Author Keywords,Index Keywords
"Clò S., Cataldi A., Zoppoli P.",The merit-order effect in the Italian power market: The impact of solar and wind generation on national wholesale electricity prices,2015,131.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921279335&doi=10.1016%2fj.enpol.2014.11.038&partnerID=40&md5=21fe71955b1d9066b9db7c99edda6cfe,"Italy promoted one of the most generous renewable support schemes worldwide which resulted in a high increase of solar power generation. We analyze the Italian day-ahead wholesale electricity market, finding empirical evidence of the merit-order effect. Over the period 2005-2013 an increase of 1. GWh in the hourly average of daily production from solar and wind sources has, on average, reduced wholesale electricity prices by respectively 2.3€/MWh and 4.2€/MWh and has amplified their volatility. The impact on prices has decreased over time in correspondence with the increase in solar and wind electricity production. We estimate that, over the period 2009-2013, solar production has generated higher monetary savings than wind production, mainly because the former is more prominent than the latter. However, in the solar case, monetary savings are not sufficient to compensate the cost of the related supporting schemes which are entirely internalized within end-user tariffs, causing a reduction of the consumer surplus, while the opposite occurs in the case of wind. © 2014 Elsevier Ltd.",Electricity price; Feed-in tariff; Italian wholesale power market; Merit-order effect; Renewables,Commerce; Costs; Power markets; Solar energy; Solar power generation; Electricity prices; Feed-in tariff; Ordering effects; Renewables; Solar production; Supporting scheme; Wholesale electricity; Wholesale electricity markets; Electric power generation; alternative energy; electricity supply; energy market; power generation; price determination; renewable resource; solar power; wind power; Italy
Sioshansi R.,Evaluating the impacts of real-time pricing on the cost and value of wind generation,2010,112.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951667836&doi=10.1109%2fTPWRS.2009.2032552&partnerID=40&md5=f31a4db42c257b1be175aa80de1095c5,"One of the costs associated with integrating wind generation into a power system is the cost of redispatching the system in real-time due to day-ahead wind resource forecast errors. One possible way of reducing these redispatch costs is to introduce demand response in the form of real-time pricing (RTP), which could allow electricity demand to respond to actual real-time wind resource availability using price signals. A day-ahead unit commitment model with day-ahead wind forecasts and a real-time dispatch model with actual wind resource availability is used to estimate system operations in a high wind penetration scenario. System operations are compared to a perfect foresight benchmark, in which actual wind resource availability is known day-ahead. The results show that wind integration costs with fixed demands can be high, both due to real-time redispatch costs and lost load. It is demonstrated that introducing RTP can reduce redispatch costs and eliminate loss of load events. Finally, social surplus with wind generation and RTP is compared to a system with neither and the results demonstrate that introducing wind and RTP into a market can result in superadditive surplus gains. © 2010 IEEE.",Power system economics; Real-time pricing; Unit commitment; Wind forecast errors; Wind power generation,Power system economics; Real time pricing; Unit commitments; Wind forecast errors; Wind forecasts; Cost reduction; Electric power generation; Electric power systems; Errors; Integration; Internet protocols; Weather forecasting; Wind power; Electric load forecasting
"Zugno M., Morales J.M., Pinson P., Madsen H.",Pool strategy of a price-maker wind power producer,2013,100.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881022094&doi=10.1109%2fTPWRS.2013.2252633&partnerID=40&md5=0293fa9e41e0d66c8be183547a650a06,"We consider the problem of a wind power producer trading energy in short-term electricity markets. The producer is a price-taker in the day-ahead market, but a price-maker in the balancing market, and aims at optimizing its expected revenues from these market floors. The problem is formulated as a mathematical program with equilibrium constraints (MPEC) and cast as a mixed-integer linear program (MILP), which can be solved employing off-the-shelf optimization software. The optimal bid is shown to deliver significantly improved performance compared to traditional bids such as the conditional mean or median forecast of wind power distribution. Finally, sensitivity analyses are carried out to assess the impact on the offering strategy of the producer's penetration in the market, of the correlation between wind power production and residual system deviation, and of the shape of the forecast distribution of wind power production. © 1969-2012 IEEE.",Electricity markets; mathematical programs with equilibrium constraints; offering strategies; price-maker; wind power,Electricity market; Forecast distribution; Mathematical program with equilibrium constraints; Mathematical programs with equilibrium constraints; Mixed integer linear program; offering strategies; price-maker; Wind power distribution; Commerce; Costs; Electric power generation; Integer programming; Optimization; Wind power; Weather forecasting
"De Vany A.S., Walls W.D.",Cointegration analysis of spot electricity prices: Insights on transmission efficiency in the western US,1999,83.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032720526&doi=10.1016%2fS0140-9883%2899%2900019-5&partnerID=40&md5=c1c207a4eb8e753dec987da2879d72eb,"The US Energy Policy Act of 1992 promoted the development of spot markets for electric power by requiring utilities to open their transmission systems to wholesale power sales. In this paper, we specify and estimate a vector error correction model using peak and off-peak electricity spot prices during 1994-1996 covering 11 regional markets in the western United States and test these prices for evidence of market integration. The results show evidence of an efficient and stable wholesale power market.",Electricity spot markets; Market integration; Open transmission,Electricity spot markets; Market integrations; Open transmission systems; Energy policy; Error correction; Laws and legislation; Mathematical models; Sales; Electric utilities; cointegration analysis; electricity supply; energy market; price dynamics; United States
"Hobbs B.F., Hu M.-C., Iñón J.G., Stoft S.E., Bhavaraju M.P.",A dynamic analysis of a demand curve-based capacity market proposal: The PJM reliability pricing model,2007,81.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947323149&doi=10.1109%2fTPWRS.2006.887954&partnerID=40&md5=1b3a4912731b12fc1e2af3dcc94ecff3,"Because of high generation adequacy standards in the power industry, some peaking capacity operates for a limited time during the year and may not receive sufficient energy revenues to meet its fixed costs. This is particularly true when energy prices are capped in order to mitigate market power. The northeastern U.S. independent system operators (ISOs) have responded to this issue by establishing capacity obligations for loads and markets for installed capacity, thus providing a capacity revenue stream to generators. The installed capacity (ICAP) markets in the northeastern U.S. markets are a response to this need for additional incentives to construct generation. The Federal Energy Regulatory Commission (FERC) has accepted the PJM Interconnection's (PJM) proposal to replace the present fixed ICAP requirement that is placed upon load serving entities (LSEs) with a demand curve-based system in which the ISO would be responsible for acquiring ""residual"" capacity on behalf of LSEs. The demand curve approach pays more when reserve margins are smaller and provides a reduced incentive for investment when installed reserves are above the target. Another goal is to make revenues more predictable for generators, making investment less costly and, ultimately, lowering prices for consumers. A dynamic representative agent model is presented for projecting effects upon reserve margins, generator profitability, and consumer costs and is applied to alternative demand curves proposed for the PJM market. The consumer costs resulting from a sloped demand curve are robustly lower compared to the present fixed requirement under a wide range of assumptions concerning behavior of generation owners, including risk attitudes, bidding behavior, and willingness to build capacity as a function of forecast profit. The cost savings arise from lower capital costs to generators due to reduced risk and risk premiums. Also, average installed capacity is less for the same level of reliability because of reduced fluctuations in installed reserves. © 2007 IEEE.",Economics; Power generation economics; Power generation peaking capacity,Costs; Electric industry; Electric power generation; Forecasting; Industrial economics; Investments; Marketing; Mathematical models; Reliability theory; Independent system operators; Power generation economics; Power generation peaking capacity; Reliability pricing model; Electric power systems
"Fanone E., Gamba A., Prokopczuk M.",The case of negative day-ahead electricity prices,2013,79.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872372662&doi=10.1016%2fj.eneco.2011.12.006&partnerID=40&md5=a6caefc98e3d89d4d43b4fb3d82e2212,"In recent years, Germany has significantly increased its share of electricity produced from renewable sources, which is mainly due to the Renewable Energy Act (EEG). The EEG substantially impacts the dynamics of intra-day electricity prices by increasing the likelihood of negative prices. In this paper, we present a non-Gaussian process to model German intra-day electricity prices and propose an estimation procedure for this model. Most importantly, our model is able to generate extreme positive and negative spikes. A simulation study demonstrates the ability of our model to capture the characteristics of the data. © 2011 Elsevier B.V.",Electricity; Fractional integration; Lévy processes; Negative prices; Price spikes,Electricity prices; Estimation procedures; Fractional integration; Negative prices; Non-Gaussian process; Price spike; Renewable energies; Renewable sources; Simulation studies; Electricity; Gaussian noise (electronic); Costs; alternative energy; electricity supply; energy market; energy policy; Gaussian method; model test; model validation; price dynamics; renewable resource; Germany
Rathmann M.,Do support systems for RES-E reduce EU-ETS-driven electricity prices?,2007,75.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750200370&doi=10.1016%2fj.enpol.2005.11.029&partnerID=40&md5=ffa45863349388a0451b2d174ea3aaee,"Support systems for electricity from renewable energy sources (RES-E) can reduce electricity prices which have also been influenced by a CO2 emission trading scheme (ETS): Additional RES-E substitutes electricity from fossil fuels, and thus CO2-emissions are reduced. The demand for emission reductions is lowered, as a result the CO2-price is also reduced. Consequently the wholesale price for electricity decreases. However, most RES-E support systems are financed via the electricity market, which increases the retail electricity price. An assessment for Germany shows that retail electricity prices in the first trading period of the EU-ETS 2005-2007 are lowered by 2.6 Euro / MWh due to additional RES-E. Considering the complete EU, the effect is substantially higher. This paper describes the effect and the influence of different policy designs. It develops an approach for assessing the effect and applies it for the case of Germany and roughly estimates the effect for the EU. © 2005 Elsevier Ltd. All rights reserved.",Electricity prices; Emissions trading; Renewables,Air pollution control; Carbon dioxide; Electric rates; Energy policy; Gas emissions; Renewable energy resources; Electricity prices; Emission trading scheme; Support system; Electric utilities; electricity; emissions trading; energy market; energy policy; renewable resource; Central Europe; Eurasia; Europe; Germany
Kumar M.D.,Impact of electricity prices and volumetric water allocation on energy and groundwater demand management: Analysis from Western India,2005,75.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543116193&doi=10.1016%2fS0301-4215%2803%2900196-4&partnerID=40&md5=fc074e2579b0b5925f446d47a9b6eca5,"In recent years, power tariff policy has been increasingly advocated as a mean to influence groundwater use and withdrawal decisions of farmers in view of the failure of existing direct and indirect regulations on groundwater withdrawal in India. Many researchers argue that pro rata electricity tariff, with built in positive marginal cost of pumping could bring about efficient use of the resource, though some argue that the levels of tariff in which demand becomes elastic to pricing are too high to be viable from political and socio-economic points of view. The paper presents a theoretical model to analyze farmers' response to changes in power tariff and water allocation regimes vis à vis energy and groundwater use. It validates the model by analyzing water productivity in groundwater irrigation under different electricity pricing structures and water allocation regimes. Water productivity was estimated using primary data of gross crop inputs, cost of all inputs, and volumetric water inputs. The analysis shows that unit pricing of electricity influences groundwater use efficiency and productivity positively. It also shows that the levels of pricing at which demand for electricity and groundwater becomes elastic to tariff are socio-economically viable. Further, water productivity impacts of pricing would be highest when water is volumetrically allocated with rationing. Therefore, an effective power tariff policy followed by enforcement of volumetric water allocation could address the issue of efficiency, sustainability and equity in groundwater use in India. © 2003 Elsevier Ltd. All rights reserved.",Overall gross water productivity; Overall net water productivity; Overall net water productivity exclusive of irrigation cost,Electric industry; Groundwater; Irrigation; Public policy; Regulatory compliance; Volumetric water allocation; Water productivity; Energy policy; demand-side management; energy market; groundwater abstraction; resource management; tariff structure; water use; Asia; Eurasia; India; South Asia
"Ford A., Vogstad K., Flynn H.",Simulating price patterns for tradable green certificates to promote electricity generation from wind,2007,74.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750194934&doi=10.1016%2fj.enpol.2005.10.014&partnerID=40&md5=0426f7b49b50d8b3877be70707f41cd6,"This article uses computer simulation to anticipate the price dynamics in a market for Tradable Green Certificates (TGCs). These markets have been used in Europe to promote generation of electricity from renewable resources like wind. Similar markets have been proposed in the United States of America (USA) where the certificates are called Renewable Energy Credits (RECs). The certificates are issued to the generating companies for each megawatt-hour of renewable electricity generation. The companies may sell the certificates in a market, and the revenues from certificate sales provide an extra incentive to invest in new generating capacity. Proponents argue that this market-based incentive can be designed to support government mandates for a growing fraction of electricity generation from renewable sources. In the USA, these mandates are set by the states and are known as Renewable Portfolio Standards (RPS). We simulate the price dynamics of a market designed to support an aggressive mandate for wind generation in the northwestern USA. The simulations show that the certificate price climbs rapidly to the cap in the early years after the market opens. Investors then react to these high prices with construction of new wind capacity. After a few years, wind generation meets, and then exceeds the requirement. We show that this pattern appears again and again when the simulations are repeated with wide variations in the estimates of behavioral parameters. We use the model to study the impact of different trading strategies by the wind companies and by the distribution companies. We also study the simulated market response if the USA adopts the carbon allowance market envisioned in The Climate Stewardship Act. The article concludes with recommendations for policy makers involved in TGC market design. © 2005 Elsevier Ltd. All rights reserved.",Renewable energy credits; Renewable portfolio standards; Tradable green certificates,Computer simulation; Cost benefit analysis; Economics; Electric power generation; Marketing; Mathematical models; Sales; Price patterns; Renewable energy credits (RECs); Renewable portfolio standards; Tradable green certificates; Wind power; electricity generation; energy market; price dynamics; renewable resource; wind power; Eurasia; Europe; North America; United States
"Vucetic S., Tomsovic K., Obradovic Z.",Discovering price-load relationships in California's electricity market,2001,70.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035340577&doi=10.1109%2f59.918299&partnerID=40&md5=85bdbc3c034fc2e0ccac73bbd0dfcceb,"This paper reports on characterizing recent price behavior in the California electricity market. Market participants, that is, producers, consumers and traders, are highly motivated by the potential for profits to develop strategies to explore, and exploit, the limits of system operation. These strategies should be reflected in the market as different price to load relationships. We show that a number of regimes, i.e., characteristic behaviors, exist in the price time series, and provide a brief analysis of each regime. Knowledge of the number of regimes, their characteristics and switching dynamics allows insight into the market and power system performance.",Deregulation; Electricity market; Power industry; Power system economics; Price prediction; Time series,Algorithms; Deregulation; Electric power systems; Electric rates; Industrial economics; Marketing; Electricity market; Power industry; Power system economics; Price prediction; Price-load relationships; Regime discovery algorithm; Electric utilities
"Benini M., Marracci M., Pelacchi P., Venturini A.",Day-ahead market price volatility analysis in deregulated electricity markets,2002,69.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038000598&partnerID=40&md5=ed5831d6964e837cad3d2479a75c18ad,"The electricity market experiences pronounced short term volatility due to its peculiarities, first of all continuos load variations associated to the impossibility to profitably store electric energy. Electricity price forecast is extremely important for all market players and in particular for generating companies, that must manage their units, and the associated economic risk, in the short, medium and long term. In general, price volatility depends on a large number of parameters such as: fuel prices (often related to currency exchange rates), availability of generating units, hydro generation production, demand elasticity and variations, network congestion and management rules of any specific electricity market. This study provides an analysis of day-ahead spot market price volatility in Spain, California, UK and PJM markets. Electricity prices for the years 1999 and 2000 have been used for the study. The analysis has been carried out on the basis of an original definition of price volatility.",Energy management; Power system economics; Risk analysis; Strategic planning,Deregulation; Electric energy storage; Electric loads; Energy management; Industrial economics; Risk assessment; Strategic planning; Fuel prices; Price volatility; Electricity
Centolella P.,The integration of Price Responsive Demand into Regional Transmission Organization (RTO) wholesale power markets and system operations,2010,68.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949264276&doi=10.1016%2fj.energy.2009.06.046&partnerID=40&md5=b0bd204e3c884bf495e78270047cf6de,"A number of states and utilities are pursuing demand response based on dynamic and time-differentiated retail prices and utility investments in Advanced Metering Infrastructure (AMI), often as part of Smart Grid initiatives. These developments could produce large amounts of Price Responsive Demand, demand that predictably responds to changes in wholesale prices. Price Responsive Demand could provide significant reliability and economic benefits. However, existing RTO tariffs present potential barriers to the development of Price Responsive Demand. Effectively integrating Price Responsive Demand into RTO markets and operations will require changes in demand forecasting, scarcity pricing reform, synchronization of scarcity pricing with capacity markets, tracking voluntary hedging by price responsive loads, and a non-discriminatory approach in curtailments in capacity emergencies. The article describes changes in RTO policies and systems needed incorporate Price Responsive Demand.",Capacity markets; Demand forecasting; Price Responsive Demand; Regional Transmission Organization; Scarcity pricing,Commerce; Dynamic response; Economics; Electric load forecasting; Integration; Investments; Regenerators; Capacity markets; Demand forecasting; Demand response; Economic benefits; Number of state; ON dynamics; Potential barriers; Power markets; Price responsive demand; Price-responsive loads; Regional transmission organization; Retail price; Smart grid; System operation; Whole sale prices; Costs; cost-benefit analysis; demand analysis; market development; price dynamics; tariff structure
"López-Lezama J.M., Contreras J., Padilha-Feltrin A.",Location and contract pricing of distributed generation using a genetic algorithm,2012,65.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855821724&doi=10.1016%2fj.ijepes.2011.10.032&partnerID=40&md5=cc17100648976ad44145b4ecedfeb822,"This paper presents an approach based on a specialized genetic algorithm (GA) to determine the location and contract pricing of dispatchable distributed generation (DG) units in distribution systems. The proposed approach is based on a nonlinear bilevel programming framework that involves the interests of two different agents: the DG owner who procures the maximization of the profits obtained from the energy sales, and the Distribution Company (DisCo), which procures the minimization of the payments incurred in attending the forecasted demand. To meet the forecasted demand the DisCo can purchase energy either from the wholesale energy market or from the DG units within its network. The proposed GA determines both the location and contract pricing of the DG units that would render maximum profits to the DG owner, subject to the minimization of payments procured by the DisCo. To show the effectiveness of the proposed approach, several tests were carried out on a modified IEEE 34-bus and 85-bus distribution networks. © 2011 Elsevier Ltd. All rights reserved.",Distributed generation; Distribution systems; Genetic algorithms; Nonlinear bilevel programming,Contract pricing; DG unit; Distributed generation units; Distribution companies; Distribution systems; Nonlinear bilevel programming; Wholesale energy market; Distributed power generation; Profitability; Genetic algorithms
"Jia L., Kim J., Thomas R.J., Tong L.",Impact of data quality on real-time locational marginal price,2014,64.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897621622&doi=10.1109%2fTPWRS.2013.2286992&partnerID=40&md5=6891800ee5ff326ffb894d7c7098eafe,"The problem of characterizing impacts of data quality on real-time locational marginal price (LMP) is considered. Because the real-time LMP is computed from the estimated network topology and system state, bad data that cause errors in topology processing and state estimation affect real-time LMP. It is shown that the power system state space is partitioned into price regions of convex polytopes. Under different bad data models, the worst case impacts of bad data on real-time LMP are analyzed. Numerical simulations are used to illustrate worst case performance for IEEE-14 and IEEE-118 networks. © 1969-2012 IEEE.",Bad data detection; cyber security of smart grid; locational marginal price (LMP); power system state estimation; real-time market,Electric power transmission networks; Location; State estimation; Topology; Bad data detections; Locational marginal prices; Power system state estimation; Real-time market; Smart grid; Smart power grids
