Authors,Title,Year,Source title,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output
"Westgaard S., Fleten S.-E., Negash A., Botterud A., Bogaard K., Verling T.H.",Performing price scenario analysis and stress testing using quantile regression: A case study of the Californian electricity market,2021,Energy,,"This paper uses quantile regression to demonstrate how electricity price distributions are linked to fundamental supply and demand variables. It investigates the California electricity market (zone SP15) for selected trading hours using data from January 8, 2013 to September 24, 2016. The approach quantifies a non-linear relationship between the fundamentals and electricity prices, just as predicted by the merit order curve. Natural gas, greenhouse gas allowance prices and load all have a positive effect on electricity prices, with the effect increasing with the quantiles. In contrast, solar production and wind production both have a negative effect on electricity prices. The effect of solar production increases with quantiles, whereas the effect of wind production decreases with quantiles. This paper also includes a stress testing case study in which a producer faces the risk of high solar and wind production, and investigates the effect on the lower tail of the price distribution. Overall, the results demonstrate how the proposed approach can be a helpful risk management tool for participants in the electricity market. © 2020 The Author(s)",California electricity market; Quantile regression; Risk management,Costs; Electric industry; Greenhouse gases; Power markets; Risk management; Electricity prices; Non-linear relationships; Price scenarios; Quantile regression; Solar and winds; Solar production; Stress Testing; Supply and demand; Greenhouse effect; electricity; energy market; performance assessment; regression analysis; scenario analysis; testing method; California; United States,4,2,1,2
Jasiński T.,Use of new variables based on air temperature for forecasting day-ahead spot electricity prices using deep neural networks: A new approach,2020,Energy,,"The paper presents a way of creating three new, innovative variables based on air temperature to be used in forecasts of electricity demand and prices. The forecasting methods developed so far, especially in the area of energy prices, either did not use temperature data or were based on data that had not undergone pre-processing, which made it difficult for the model to use their potential. Newly developed variables have a linear relationship with the demand for electricity. This paper describes in detail the procedure for determining the parameters of new variables using the electricity market in Poland (a country in Central Europe) as a case study. The proposed approach allows both to avoid data clustering into different seasons and to precisely determine the temperatures at which the nature of the dependence with the demand for electricity changes. The validity of the proposed new variables in prognostic models has been confirmed by their use in deep neural networks. The proposed approach allows reducing the sMAPE by up to 15.3%. The designed new explanatory variables can be used not only in models based on artificial intelligence tools, but also in other forecasting methods that allow the use of exogenous inputs. © 2020 Elsevier Ltd",Air temperature-based variable; Artificial neural network; Electricity price; Forecasting,Atmospheric temperature; Clustering algorithms; Costs; Deep neural networks; Forecasting; Neural networks; Artificial intelligence tools; Electricity demands; Explanatory variables; Forecasting methods; Linear relationships; Prognostic model; Spot electricity prices; Temperature data; Power markets; air temperature; artificial neural network; computer simulation; demand-side management; electricity supply; energy planning; forecasting method; price determination; Poland [Central Europe],5,2,1,1
"Narajewski M., Ziel F.",Ensemble forecasting for intraday electricity prices: Simulating trajectories,2020,Applied Energy,,"Recent studies concerning the point electricity price forecasting have shown evidence that the hourly German Intraday Continuous Market is weak-form efficient. Therefore, we take a novel, advanced approach to the problem. A probabilistic forecasting of the hourly intraday electricity prices is performed by simulating trajectories in every trading window to receive a realistic ensemble to allow for more efficient intraday trading and redispatch. A generalized additive model is fitted to the price differences with the assumption that they follow a zero-inflated distribution, precisely a mixture of the Dirac and the Student's t-distributions. Moreover, the mixing term is estimated using a high-dimensional logistic regression with lasso penalty. We model the expected value and volatility of the series using i.a. autoregressive and no-trade effects or load, wind and solar generation forecasts and accounting for the non-linearities in e.g. time to maturity. Both the in-sample characteristics and forecasting performance are analysed using a rolling window forecasting study. Multiple versions of the model are compared to several benchmark models and evaluated using probabilistic forecasting measures and significance tests. The study aims to forecast the price distribution in the German Intraday Continuous Market in the last 3 h of trading, but the approach allows for application to other continuous markets, especially in Europe. The results prove superiority of the mixture model over the benchmarks gaining the most from the modelling of the volatility. They also indicate that the introduction of XBID reduced the market volatility. © 2020 Elsevier Ltd",Continuous-trade markets; Electricity price forecasting; Ensemble forecasting; Generalized additive models; Intraday market; Lasso; Logistic regression; Power markets; Probabilistic forecasting; Scenario simulation; Short-term forecasting; Trajectories; XBID; Zero-inflated distribution,Commerce; Costs; Logistic regression; Mixtures; Solar power generation; Electricity price forecasting; Electricity prices; Ensemble forecasting; Forecasting performance; Generalized additive model; Market volatility; Probabilistic forecasting; Student's t distribution; Forecasting; electricity; ensemble forecasting; market conditions; performance assessment; price determination; simulation; Europe,4,1,2,2
"Heydari A., Majidi Nezhad M., Pirshayan E., Astiaso Garcia D., Keynia F., De Santoli L.",Short-term electricity price and load forecasting in isolated power grids based on composite neural network and gravitational search optimization algorithm,2020,Applied Energy,2,"Electricity price forecasting is a key aspect for market participants to maximize their economic efficiency in deregulated markets. Nevertheless, due to its non-linearity and non-stationarity, the trend of the price is usually complicated to predict. On the other hand, the accuracy of short-term electricity price and load forecasting is fundamental for an efficient management of electric systems. An accurate prediction can benefit future plans and economic operations of the power systems’ operators. In this paper, a new and accurate combined model has been proposed for short-term load forecasting and short-term price forecasting in deregulated power markets. It includes variational mode decomposition, mix data modeling, feature selection, generalized regression neural network and gravitational search algorithm. A mixed data model for the price and load forecast has been considered and integrated with the original signal series of price and load and their decomposition. Throughout this model, the candidate input variables are chosen by a distinct hybrid feature selection. Two reliable electricity markets (Pennsylvania-New Jersey-Maryland and Spanish electricity markets) have been used to test the proposed forecasting model and the obtained results have been compared with different valid benchmark prediction models. Lastly, the real load data of Favignana Island's power grid have been considered to test the proposed model. The obtained results pinpointed that the proposed model's precision and stability is higher than in other benchmark forecasting models. © 2020 Elsevier Ltd",Electricity price forecasting; Feature selection; Generalized Regression Neural Network; Load forecasting; Optimization algorithm; Power grid management,Deregulation; Electric power plant loads; Electric power transmission networks; Feature extraction; Forecasting; Neural networks; Power markets; Predictive analytics; Deregulated power markets; Electricity price forecasting; Generalized regression neural networks; Gravitational search algorithms; Hybrid feature selections; Short term load forecasting; Short-term price forecasting; Spanish electricity markets; Electric load forecasting; algorithm; artificial neural network; benchmarking; electricity generation; electricity supply; forecasting method; market conditions; nonlinearity; optimization; power plant; precision; prediction; Aegadian Islands; Favignana; Italy; Maryland; New Jersey; Pennsylvania; Sicily; Trapani; United States,5,2,2,1
"Halužan M., Verbič M., Zorić J.",Performance of alternative electricity price forecasting methods: Findings from the Greek and Hungarian power exchanges,2020,Applied Energy,1,"This paper evaluates the performance of alternative algorithms for day-ahead electricity price forecasting. Forecasting performance is assessed based on evidence from the Greek and Hungarian Power Market simulation. The electricity price formation process is simulated on a long time series spanning from January 2015 to September 2018. The EPF models are structured upon the explanatory variables that are available to the market participants before the exchange gate closure, through the publicly available ENTSO-E transparency platform. Relationships between the electricity spot price and explanatory variables are estimated by the selected econometric, data mining, and machine learning algorithms. The econometric autoregressive model with exogeneous explanatory variables is a benchmark model, as the other alternative approaches are used to overcome the linearity bias in the ordinary least squares estimator. We analyse the impact of a different training sample size as well as the impact of training on an hourly clustered sample on the forecasting performance. The support vector machine algorithm turned out to be the best alternative approach, with the lowest mean absolute error and statistically confirmed better forecasts compared to the benchmark econometric autoregressive model. The majority of the tested algorithms perform better with smaller training samples, whereas neural network based approaches prefer large training samples. Models with hourly clustered training samples have higher accuracy based on the Hungarian evidence, while hourly non-clustered training is a superior training method based on the Greek findings. © 2020 Elsevier Ltd",Artificial neural networks; Data mining; Electricity price forecasting; ENTSOE-E transparency platform; Greek power exchange; Hungarian power exchange; Learning sample size; Machine learning; Rolling-window,Data mining; Forecasting; Learning algorithms; Power quality; Sampling; Support vector machines; Alternative algorithms; Electricity price forecasting; Electricity spot price; Forecasting performance; Network-based approach; Ordinary least squares estimators; Power market simulation; Support vector machine algorithm; Power markets; accuracy assessment; algorithm; alternative energy; artificial neural network; econometrics; error analysis; machine learning; numerical model; performance assessment; support vector machine; time series; vector autoregression; Alfold; Hungary,5,1,2,1
"Lisi F., Shah I.",Forecasting next-day electricity demand and prices based on functional models,2020,Energy Systems,,"Efficient modeling and forecasting of electricity demand and prices is an important issue in competitive electricity markets. This work investigates the forecasting performance of several models for the 1-day-ahead prediction of demand and prices on four electricity markets (APX Power-UK, Nord Pool, PJM and IPEX). All the models are based on two steps: a nonparametric estimation of some deterministic components, followed by the choice of a suitable model for the residual stochastic component. This latter step includes univariate and multivariate as well as parametric and nonparametric models, with particular emphasis on the functional approach, that models the whole daily profile as a single functional observation. More specifically, the models involved are: a linear model and a nonlinear (nonparametric) autoregressive model, a vector autoregressive model and four autoregressive functional specifications. Prediction covers a whole year. Comparisons are based both on descriptive statistics and on statistical tests of equal forecasting accuracy. Though results partly depend on specific markets, a double functional model always proved to be the best- or no different from the best-model, highlighting the effectiveness of the functional approach. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","APX, NP, IPEX, PJM; Electricity demand forecasting; Electricity prices forecasting; Functional models; Nonparametric models","Commerce; Costs; Electric power utilization; Forecasting; Stochastic models; Stochastic systems; APX, NP, IPEX, PJM; Electricity demand forecasting; Electricity prices forecasting; Functional model; Non-parametric model; Power markets",4,2,2,2
"Ribeiro M.H.D.M., Stefenon S.F., Lima J.D.D., Nied A., Mariani V.C., Coelho L.D.S.",Electricity price forecasting based on self-adaptive decomposition and heterogeneous ensemble learning,2020,Energies,,"Electricity price forecasting plays a vital role in the financial markets. This paper proposes a self-adaptive, decomposed, heterogeneous, and ensemble learning model for short-term electricity price forecasting one, two, and three-months-ahead in the Brazilian market. Exogenous variables, such as supply, lagged prices and demand are considered as inputs signals of the forecasting model. Firstly, the coyote optimization algorithm is adopted to tune the hyperparameters of complementary ensemble empirical mode decomposition in the pre-processing phase. Next, three machine learning models, including extreme learning machine, gradient boosting machine, and support vector regression models, as well as Gaussian process, are designed with the intent of handling the components obtained through the signal decomposition approach with focus on time series forecasting. The individual forecasting models are directly integrated in order to obtain the final forecasting prices one to three-months-ahead. In this case, a grid of forecasting models is obtained. The best forecasting model is the one that has better generalization out-of-sample. The empirical results show the efficiency of the proposed model. Additionally, it can achieve forecasting errors lower than 4.2% in terms of symmetric mean absolute percentage error. The ranking of importance of the variables, from the smallest to the largest is, lagged prices, demand, and supply. This paper provided useful insights for multi-step-ahead forecasting in the electrical market, once the proposed model can enhance forecasting accuracy and stability. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Complementary ensemble empirical mode decomposition; Electricity price forecasting; Ensemble learning models; Exogenous variables; Short-term forecasting,Adaptive boosting; Costs; Forecasting; Machine learning; Signal processing; Support vector regression; Time series analysis; Electricity price forecasting; Ensemble empirical mode decomposition; Extreme learning machine; Heterogeneous ensembles; Machine learning models; Mean absolute percentage error; Optimization algorithms; Support vector regression models; Power markets,5,2,1,1
Ghasemi-Marzbali A.,"A developed short-term electricity price and load forecasting method based on data processing, support vector machine, and virus colony search",2020,Energy Efficiency,,"Surely, electricity market participants need an accurate estimate for the price and load signals to properly manage their programs to increase their profits. Regarding the two-way interaction between suppliers and consumers, they are able to manage their required profile. Therefore, the individual price or load forecasting is not acceptable and cannot capture their related pattern. Therefore, this paper presents a new forecasting method for price and load signals in simultaneous configuration. This method consists of three main parts: the first part proposes two data preprocessing methods based on wavelet transform to remove noisy term and mutual information to select best features with maximum relevancy and minimum redundancy. The second part suggests a learning engine based on a least square support vector machine (LSSVM) with self-adaptive kernel functions and generalized autoregressive conditional heteroscedasticity (GARCH) time series to extract the linear and nonlinear patterns. Finally, the last part employs a new modified virus colony search algorithm (VCS) to efficiently set the LSSVM control parameters to use its all capacity. Simulations are carried out for three well-known Australia’s, New York’s, and Ontario’s electricity markets. The obtained results show the acceptable results. © 2020, Springer Nature B.V.",Feature selection; Optimization; Price/load forecast; Smart grid; Support vector machine; Wavelet transform,Data handling; Electric power plant loads; Forecasting; Learning systems; Power markets; Support vector machines; Viruses; Wavelet transforms; Adaptive kernel functions; Data preprocessing; Forecasting methods; Generalized autoregressive conditional heteroscedasticity; Least square support vector machines; Market participants; Mutual informations; Two-way interaction; Electric load forecasting; algorithm; data processing; electricity supply; forecasting method; optimization; pattern recognition; price determination; smart grid; support vector machine; transform,5,1,1,1
"Zhang Y., Deng C., Zhao R., leto S.",A novel integrated price and load forecasting method in smart grid environment based on multi-level structure,2020,Engineering Applications of Artificial Intelligence,,"Prediction of load and price are two critical key in power system planning and operation. Most of the recent works in this area forecast the load and price signals separately but, a dynamic model in smart grid is evaluated while, the customers may have opportunity to react the proposed prices changing through shifting the electricity usages from expensive to cheaper hours. So, the load and price signals are coupled strongly which made the previous prediction models ineffective. In this research, a synthetic prediction approach has been proposed by considering the load and price signals, simultaneously. This method works as multi-input multi-output (MIMO) model based on least square support vector machine (LSSVM) forecast engine. Furthermore, a dyadic wavelet transform (DWT) is suggested in this approach to decompose the original signal into different small sub-signals. Beside of that, the modified mutual information (MMI) filter has been used to choose the best candidate input of forecast engine. The learning section is also coupled with novel modified optimization algorithm based on gravitational search algorithm (GSA) which called as modified GSA (MGSA). Finally, various forecasting errors have been considered as average mean absolute percentage error and error variance to get the comparison outcomes and performance of forecasting approaches. For this purpose, different markets have been considered as test case to show the efficiency of suggested approach. © 2020 Elsevier Ltd",DWT; Feature selection; Load and price prediction; LSSVM; MIMO model; Smart grids,Electric power system planning; Electric power transmission networks; Engines; Errors; Forecasting; Least squares approximations; MIMO systems; Predictive analytics; Signal processing; Smart power grids; Support vector machines; Wavelet transforms; Dyadic wavelet transform; Gravitational search algorithm (GSA); Least square support vector machines; Mean absolute percentage error; Multi-input-multi-output models; Optimization algorithms; Power system planning and operation; Price and load forecasting; Electric load forecasting,5,1,1,1
"Motamedi Sedeh O., Ostadi B.",Optimization of bidding strategy in the day-ahead market by consideration of seasonality trend of the market spot price,2020,Energy Policy,,"Due to the liberalization of the electricity market, evaluation of competitor behaviors, as an uncertainty factor, is a critical information for a Generation Company (GenCo) to maximize its profit by optimizing bidding strategies. In this paper, a new bidding strategy model has been presented based on the Genetic Algorithm and a refined Monte Carlo simulation model. This process is done through the similarity function and consideration of the seasonality trend as the main characteristic of the electricity spot price. The main contributions of this paper include: (a): Consideration of the similarity value for all days in historical dates in the database, (b): Consideration of the seasonality trend of market clearing price by applying K-Means algorithm for clustering historical data based on demand, (c): Application of the proposed model for each cluster's data, (d): Performance evaluation of the fitness function of each generated strategy by a simulation model based on historical data. The proposed model has been tested for the 10 subsets of Iran's electricity market 2016. The obtained results show that the proposed model is statistically efficient, and the prediction accuracy of MCP by the proposed model can be improved by more than 25% and 11% compared with a simple simulation model and the hybrid of simulation and Q-learning model. © 2020 Elsevier Ltd",Deregulated market; Genetic algorithm; Monte Carlo simulation; Pay-as-bid; Similarity function,Electric industry; Function evaluation; Genetic algorithms; K-means clustering; Monte Carlo methods; Reinforcement learning; Day ahead market; Electricity spot price; Fitness functions; Generation companies; Market Clearing Price; Prediction accuracy; Similarity functions; Uncertainty factors; Power markets; computer simulation; electricity supply; genetic algorithm; Monte Carlo analysis; optimization; price dynamics; seasonality; Iran,5,1,1,1
