Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type
"Zhao J.H., Dong Z.Y., Xu Z., Wong K.P.",A statistical approach for interval forecasting of the electricity price,2008,124,"Electricity price forecasting is a difficult yet essential task for market participants in a deregulated electricity market. Rather than forecasting the value, market participants are sometimes more interested in forecasting the prediction interval of the electricity price. Forecasting the prediction interval is essential for estimating the uncertainty involved in the price and thus is highly useful for making generation bidding strategies and investment decisions. In this paper, a novel data mining-based approach is proposed to achieve two major objectives: 1) to accurately forecast the value of the electricity price series, which is widely accepted as a nonlinear time series; 2) to accurately estimate the prediction interval of the electricity price series. In the proposed approach, support vector machine (SVM) is employed to forecast the value of the price. To forecast the prediction interval, we construct a statistical model by introducing a heteroscedastic variance equation for the SVM. Maximum likelihood estimation (MLE) is used to estimate model parameters. Results from the case studies on real-world price data prove that the proposed method is highly effective compared with existing methods such as GARCH models. © 2008 IEEE.",Data mining; Electricity market price forecasting; Interval forecasting; Support vector machine,Data mining; Forecasting; Marketing; Maximum likelihood estimation; Operating costs; Support vector machines; Time series analysis; Electricity market price forecasting; Interval forecasting; Prediction interval; Electric industry,4,1,1,2,Article
"Bordignon S., Bunn D.W., Lisi F., Nan F.",Combining day-ahead forecasts for British electricity prices,2013,79,"This paper considers how well the approach of combining forecasts extends to the context of electricity prices. With the increasing popularity of regime switching and time-varying parameter models for predicting power prices, the multi model and evolutionary considerations that usually support the combining of simpler time series methods may be less applicable when the individual models incorporate these features. We address this question with a backtesting analysis on British day-ahead prices. Furthermore, given the volatility of power prices and concerns about accurate forecasting under extreme price excursions, we evaluate the results using various error metrics including expected shortfall. The comparisons are furthermore carefully simulated to consider model selection uncertainty in order to realistically test the value of combining as an ex ante policy. Overall, our results support combining for both accurate operational planning and risk management. © 2011 Elsevier B.V.",ARMAX; Electricity price forecasting; Forecasts combination; Markov regime switching; Prediction accuracy; Time-varying parameter regression,ARMAX; Electricity price forecasting; Forecasts combination; Prediction accuracy; Regime switching; Time varying parameter; Electric load forecasting; Forecasting; Risk management; Time varying control systems; Costs; accuracy assessment; comparative study; electricity supply; energy market; energy planning; energy policy; forecasting method; Markov chain; model test; model validation; parameterization; risk assessment; time series analysis; United Kingdom,"3, 4",1,1,1,Article
"Zheng K., Wang Y., Liu K., Chen Q.",Locational Marginal Price Forecasting: A Componential and Ensemble Approach,2020,1,"Short-term locational marginal price (LMP) forecasting is the traditional problem of market participants and other institutions maximizing their profit. Most electricity market organizers in the world release the data of LMP along with its three components, i.e., the energy, congestion, and loss components. The series of the three components have their own patterns and driving factors, and can be utilized to improve the accuracy of LMP forecasting. However, most existing studies have focused on direct LMP forecasting and have barely noticed this characteristic. In this paper, we aim to bridge the gap between the released data of the three components and LMP forecasting through a componential and ensemble approach. Three individual forecasting models are selected and trained for these components, and an ensemble framework that stacks the summation LMP results and the direct results is proposed to enhance the overall accuracy and robustness. Numerical experiments with real market data are conducted to show the good performance of this novel approach. © 2010-2012 IEEE.",electricity market; Locational marginal price; model stacking%; short-term forecasting; tree-based regression,Power markets; Driving factors; Ensemble approaches; Forecasting models; Locational marginal price forecasting; Market participants; Numerical experiments; Overall accuracies; Three component; Forecasting,4,1,1,1,Article
"Zhou M., Yan Z., Ni Y.X., Li G., Nie Y.",Electricity price forecasting with confidence-interval estimation through an extended ARIMA approach,2006,74,"Accurate electricity price forecasting is a crucial issue concerned by market participants either for developing bidding strategies or for making investment decisions. Due to the complicated factors affecting electricity prices, accurate price forecasting turns out to be very difficult. The autoregressive integrated moving average (ARIMA) approach has been extended to make hourly market clearing price (MCP) forecasting in electricity spot markets with error correction and confidence interval estimation. The ARIMA model used for forecasting price and the method to implement price forecasting are presented first. Then the ARIMA approach is extended to include error correction for improving accuracy of price forecasting. Moreover, the confidence interval of the forecasted prices is estimated assuming the residual errors are in gaussian or uniform distribution. Hourly MCP forecasting of the Californian Power Market is used as a computer example, and the comparison with conventional ARIMA approach is given. Computer test results show clearly that the suggested extended ARIMA approach for spot price forecasting is very effective with satisfactory accuracy. It can work under very worse market conditions with high price volatility.",,Decision making; Electricity; Error correction; Estimation; Investments; '; Bidding strategies; Electricity prices; Market clearing price (MCP); Electric load forecasting,4,1,1,2,Article
Serinaldi F.,"Distributional modeling and short-term forecasting of electricity prices by Generalized Additive Models for Location, Scale and Shape",2011,47,"In the context of the liberalized and deregulated electricity markets, price forecasting has become increasingly important for energy company's plans and market strategies. Within the class of the time series models that are used to perform price forecasting, the subclasses of methods based on stochastic time series and causal models commonly provide point forecasts, whereas the corresponding uncertainty is quantified by approximate or simulation-based confidence intervals. Aiming to improve the uncertainty assessment, this study introduces the Generalized Additive Models for Location, Scale and Shape (GAMLSS) to model the dynamically varying distribution of prices. The GAMLSS allow fitting a variety of distributions whose parameters change according to covariates via a number of linear and nonlinear relationships. In this way, price periodicities, trends and abrupt changes characterizing both the position parameter (linked to the expected value of prices), and the scale and shape parameters (related to price volatility, skewness, and kurtosis) can be explicitly incorporated in the model setup. Relying on the past behavior of the prices and exogenous variables, the GAMLSS enable the short-term (one-day ahead) forecast of the entire distribution of prices. The approach was tested on two datasets from the widely studied California Power Exchange (CalPX) market, and the less mature Italian Power Exchange (IPEX). CalPX data allow comparing the GAMLSS forecasting performance with published results obtained by different models. The study points out that the GAMLSS framework can be a flexible alternative to several linear and nonlinear stochastic models. © 2011 Elsevier B.V.",Electricity market price; GAMLSS models; Interval forecasting; Liberalized energy markets; Point forecasting,Electricity market; Energy markets; GAMLSS models; Interval forecasting; Point forecasting; Commerce; Computer simulation; Costs; Deregulation; Electricity; Forecasting; Statistical methods; Stochastic systems; Time series; Stochastic models; assessment method; commodity price; electricity generation; energy market; forecasting method; numerical model; price determination; stochasticity; time series analysis; uncertainty analysis,4,1,1,2,Article
"Gulay E., Duru O.",Hybrid modeling in the predictive analytics of energy systems and prices,2020,,"The aim of this paper is to illustrate the nature of the residuals of a forecasting process and to propose a hybrid approach with linear and nonlinear components predicted by corresponding methodologies. It is a common practice that residuals are assumed to be unpredictable or are reiterated into a model as lagged variables to capture any information remaining in the residual data. The central argument of this paper is that residuals from energy price forecasting can still carry predictive information in its complex and nonlinear form. Although the linear modeling is initially very accurate, reiterating residuals in linear structures is a mismatch of data type and methodology. In this regard, the proposed algorithm hybridizes or combines linear components captured by the Autoregressive Distributed Lag Model (ARDL) and nonlinear components processed by the Empirical Mode Decomposition (EMD) and an Artificial Neural Network (ANN) to improve post-sample accuracy. The conventional reiterative process can improve in-sample accuracy, which literally has no value for business forecasting practices. Through a fair benchmark comparison, including methodologies of other combinations, the proposed algorithm is cross-validated by predictive accuracy gain in the out-of-sample (holdout) dataset. © 2020 Elsevier Ltd",Combination forecasting; Energy markets; Energy prices; Price discovery; Price forecasting; Residual modeling,Costs; Forecasting; Neural networks; Signal processing; Autoregressive distributed lag models; Benchmark comparison; Business forecasting; Empirical Mode Decomposition; Linear components; Nonlinear components; Predictive accuracy; Predictive information; Predictive analytics; accuracy assessment; algorithm; artificial neural network; data set; energy market; forecasting method,"4, 5",2,1,1,Article
"Roungkvist J.S., Enevoldsen P., Xydis G.",High-resolution electricity spot price forecast for the danish power market,2020,1,"Energy markets with a high penetration of renewables are more likely to be challenged by price variations or volatility, which is partly due to the stochastic nature of renewable energy. The Danish electricity market (DK1) is a great example of such a market, as 49% of the power production in DK1 is based on wind power, conclusively challenging the electricity spot price forecast for the Danish power market. The energy industry and academia have tried to find the best practices for spot price forecasting in Denmark, by introducing everything from linear models to sophisticated machine-learning approaches. This paper presents a linear model for price forecasting-based on electricity consumption, thermal power production, wind production and previous electricity prices-to estimate long-term electricity prices in electricity markets with a high wind penetration levels, to help Utilities and asset owners to develop risk management strategies and for asset valuation. © 2020 by the authors.",Big data; Electricity spot price forecast; Power markets; Renewable energy; Wind power,academic research; best management practice; electricity generation; energy market; estimation method; machine learning; price dynamics; stochasticity; wind power; Denmark,4,2,1,1,Article
"Wang J., Yang W., Du P., Niu T.",Outlier-robust hybrid electricity price forecasting model for electricity market management,2020,5,"Electricity market management is of great importance for cleaner production in the development of society. However, despite this significance, electricity price forecasting remains a challenging task. Hybrid models are widely employed for forecasting electricity price, which has the characteristics of being non-stationarity, random, and non-linear. Despite their success, current hybrid models require improvement. In particular, data preprocessing, artificial intelligence optimization, feature selection, and basic forecasting engine selection should be considered. In this study, in addition to these issues, we consider the negative influence of outliers on the modeling of electricity price. In particular, a novel outlier-robust hybrid model is developed for forecasting electricity price, which combines a basic forecasting engine called outlier-robust extreme learning machine model and three new algorithms. Specifically, a new optimizer called chaotic sine cosine algorithm is developed to obtain the ideal parameters for phase space reconstruction, and then a novel feature selection method is developed to construct the optimal features in the modeling of electricity price. Moreover, an effective data preprocessing method is proposed for effective forecasting by capturing electricity price features. Subsequently, experiments based on electricity price data from the electricity markets of Australia and Singapore demonstrate that the proposed model is superior to other benchmark models. Further, the model can be a reliable forecasting method not only in electricity market management, but also in modeling time series with complex nonlinear characteristics and outliers. © 2019 Elsevier Ltd",Electricity market; Electricity price; Hybrid model; Multi-step forecasting,Commerce; Electric industry; Engines; Feature extraction; Forecasting; Machine learning; Phase space methods; Pollution control; Statistics; Electricity price forecasting; Electricity prices; Extreme learning machine; Feature selection methods; Hybrid model; Multi-step forecasting; Nonlinear characteristics; Phase space reconstruction; Power markets,"4, 5",2,1,1,Article
"Jónsson T., Pinson P., Madsen H., Nielsen H.A.",Predictive densities for day-ahead electricity prices using time-adaptive quantile regression,2014,32,"A large part of the decision-making problems actors of the power system are facing on a daily basis requires scenarios for day-ahead electricity market prices. These scenarios are most likely to be generated based on marginal predictive densities for such prices, then enhanced with a temporal dependence structure. A semi-parametric methodology for generating such densities is presented: it includes: (i) a time-adaptive quantile regression model for the 5%-95% quantiles; and (ii) a description of the distribution tails with exponential distributions. The forecasting skill of the proposed model is compared to that of four benchmark approaches and the well-known the generalist autoregressive conditional heteroskedasticity (GARCH) model over a three-year evaluation period. While all benchmarks are outperformed in terms of forecasting skill overall, the superiority of the semi-parametric model over the GARCH model lies in the former's ability to generate reliable quantile estimates. © 2014 by the authors.",Density forecasting; Electricity prices; Non-stationarity; Quantile regression; Stochastic processes,Costs; Decision making; Forecasting; Random processes; Regression analysis; Stochastic systems; Autoregressive conditional heteroskedasticity; Day-ahead electricity market; Density forecasting; Electricity prices; Exponential distributions; Non-stationarities; Quantile regression; Semi-parametric modeling; Power markets,4,1,1,2,Article
"Ziel F., Steinert R.",Electricity price forecasting using sale and purchase curves: The X-Model,2016,29,"Our paper aims to model and forecast the electricity price by taking a completely new perspective on the data. It will be the first approach which is able to combine the insights of market structure models with extensive and modern econometric analysis. Instead of directly modeling the electricity price as it is usually done in time series or data mining approaches, we model and utilize its true source: the sale and purchase curves of the electricity exchange. We will refer to this new model as X-Model, as almost every deregulated electricity price is simply the result of the intersection of the electricity supply and demand curve at a certain auction. Therefore we show an approach to deal with a tremendous amount of auction data, using a subtle data processing technique as well as dimension reduction and lasso based estimation methods. We incorporate not only several known features, such as seasonal behavior or the impact of other processes like renewable energy, but also completely new elaborated stylized facts of the bidding structure. Our model is able to capture the non-linear behavior of the electricity price, which is especially useful for predicting huge price spikes. Using simulation methods we show how to derive prediction intervals for probabilistic forecasting. We describe and show the proposed methods for the day-ahead EPEX spot price of Germany and Austria. © 2016 Elsevier B.V.",Auction data; Bidding behavior; Electricity price forecasting; Price spikes; Probabilistic forecasting; Supply and demand curves,Costs; Data handling; Data mining; Economics; Energy policy; Forecasting; Auction data; Bidding behavior; Electricity price forecasting; Price spike; Probabilistic forecasting; Supply and demand; Power markets; computer simulation; data processing; econometrics; electricity generation; energy market; forecasting method; model test; numerical model; price dynamics; probability; Austria; Germany,4,1,1,2,Article
"Zhang J., Tan Z., Wei Y.",An adaptive hybrid model for short term electricity price forecasting,2020,8,"With the large-scale renewable energy integration into the power grid, the features of electricity price has become more complex, which makes the existing models hard to obtain a satisfactory results. Hence, more accurate and stable forecasting models need to be developed. In this paper, a new adaptive hybrid model based on variational mode decomposition (VMD), self-adaptive particle swarm optimization (SAPSO), seasonal autoregressive integrated moving average (SARIMA) and deep belief network (DBN) is proposed for short term electricity price forecasting. The effectiveness of the proposed model is verified by using data from Australian, Pennsylvania-New Jersey-Maryland (PJM) and Spanish electricity markets. Empirical results show that the proposed model can significantly improve the forecasting accuracy and stability. © 2019 Elsevier Ltd",DBN; Electricity price forecasting; SAPSO; SARIMA; VMD,Electric power transmission networks; Forecasting; Particle swarm optimization (PSO); Adaptive particle swarm optimizations; Deep belief network (DBN); Electricity price forecasting; Renewable energy integrations; SAPSO; SARIMA; Seasonal autoregressive integrated moving averages; Spanish electricity markets; Power markets; alternative energy; electricity; energy market; model; price determination; Maryland; New Jersey; Pennsylvania; Spain; United States,"4, 5",2,1,1,Article
"Ziel F., Steinert R.",Probabilistic mid- and long-term electricity price forecasting,2018,27,"The liberalization of electricity markets and the development of renewable energy sources has led to new challenges for decision makers. These challenges are accompanied by an increasing uncertainty about future electricity price movements. The increasing amount of papers, which aim to model and predict electricity prices for a short period of time provided new opportunities for market participants. However, the electricity price literature seem to be very scarce on the issue of medium- to long-term price forecasting, which is mandatory for investment and political decisions. Our paper closes this gap by introducing a new approach to simulate electricity prices with hourly resolution for several months up to three years. Considering the uncertainty of future events we are able to provide probabilistic forecasts which are able to detect probabilities for price spikes even in the long-run. As market we decided to use the EPEX day-ahead electricity market for Germany and Austria. Our model extends the X-Model which mainly utilizes the sale and purchase curve for electricity day-ahead auctions. By applying our procedure we are able to give probabilities for the due to the EEG practical relevant event of six consecutive hours of negative prices. We find that using the supply and demand curve based model in the long-run yields realistic patterns for the time series of electricity prices and leads to promising results considering common error measures. © 2018 Elsevier Ltd",Electricity prices; Long-term; Negative prices; Probabilistic forecasting; Renewable energy; Supply and demand,Commerce; Costs; Curve fitting; Decision making; Forecasting; Investments; Renewable energy resources; Electricity prices; Long-term; Negative prices; Probabilistic forecasting; Renewable energies; Supply and demand; Power markets,4,"2, 3",1,2,Article
"McHugh C., Coleman S., Kerr D., McGlynn D.",Forecasting Day-ahead Electricity Prices with A SARIMAX Model,2019,,"Electricity prices display nonlinear behaviour making it difficult to forecast prices in the market. In addition, various external factors influence electricity prices therefore predicting the day-ahead electricity price is subject to other factors fluctuating. Time-series models learn to follow past market trends and then use historical information as training input to predict future output. This paper focusses on understanding and interpreting statistical approaches for electricity price forecasting and explains these techniques through time-series application with real energy data. The model considered here is a Seasonal AutoRegressive Integrated Moving Average model with eXogenous variables (SARIMAX) as electricity prices follow a seasonal pattern controlled by various external factors. By applying algorithm rules for differencing to remove continuing trends, the data becomes stationary and parameters, 14 external factors, are chosen to predict day ahead electricity prices. In the presented experimental results, the Root Mean Square Error (RMSE) was reasonably low and the model accurately predicted electricity prices. © 2019 IEEE.",electricity price forecasting; exogenous variables; SARIMAX modelling; seasonality; short-term,Artificial intelligence; Autoregressive moving average model; Costs; Forecasting; Mean square error; Time series; Electricity price forecasting; Exogenous variables; Historical information; Root mean square errors; Seasonal autoregressive integrated moving averages; Seasonality; Short term; Statistical approach; Power markets,4,1,1,1,Conference
"Singh P.K., Singh N., Negi R.",Short-Term Price Forecasting with Renewable Integration in Smart Grids Using ARIMA-ANN-ANFIS Hybrid Model,2019,,"The load and price forecasting are two main problems in the electricity markets, but the consumers should be able to react to the electricity prices and handle their electricity utilization. The wind power penetration in smart grids has become highly complex in real time matching of the electricity consumption and production in the power systems due to its high variability. Thus, it is of great importance to achieve short-term prediction of electricity price accurately. In this paper, taking high wind power penetration and Nord Pool power market into concern, authors proposed a hybrid ARIMA-ANN-ANFIS model to forecast daily price for each month from January to April 2014. The performance of the proposed model has been evaluated in terms of MAE, MAPE, RMSE and variance. The simulation results of the proposed model have shown superiority for short term price forecasting as compared to ARIMA, ANN and hybrid ARIMA-ANN models separately. © 2019 IEEE.",Adaptive network based fuzzy inference system (ANFIS); artificial neural network (ANN); Autoregressive integrated moving average (ARIMA); Electricity price forecast; MAE; MAPE; RMSE; Smart grid integration; Variance; Wind power,Autoregressive moving average model; Electric power transmission networks; Electric power utilization; Forecasting; Fuzzy inference; Power markets; Real time systems; Wind power; Electricity prices; Electricity-consumption; Price forecasting; Real-time matching; Renewable integration; Short term prediction; Short-term price forecasting; Wind power penetration; Smart power grids,"4, 5",1,1,1,Conference
